u,v,key,osmid,oneway,lanes,name,highway,junction,reversed,length,geometry,bridge,access,ref,maxspeed
1492216062,7340291953,0,"[845874634, 782352931, 782352930]",True,3,青山公路－洲頭段 Castle Peak Road – Chau Tau,secondary,,False,37.813,"LINESTRING (114.0805928 22.5022292, 114.080559 22.502201, 114.0804743 22.502124, 114.0803378 22.5019843)",yes,,,
1492216085,1492216094,0,135960985,True,1,,primary_link,,False,40.22,"LINESTRING (114.0827586 22.5033576, 114.0826921 22.5034261, 114.0826629 22.503447, 114.082617 22.5034703, 114.082538 22.5034849, 114.0824695 22.5034849, 114.0824161 22.5034813)",,,,
1492216085,1492216102,0,499854763,True,1,落馬洲路 Lok Ma Chau Road,primary_link,,False,27.007,"LINESTRING (114.0827586 22.5033576, 114.0827407 22.503486, 114.0827301 22.5035255, 114.0827112 22.5035961)",,,,
1492216094,7340291964,0,"[499854766, 848445073, 832252986, 832252987, 157803647]",True,2,青山公路－洲頭段 Castle Peak Road – Chau Tau,secondary,,False,163.91,"LINESTRING (114.0824161 22.5034813, 114.0822141 22.503393, 114.0819452 22.5032537, 114.0815333 22.5030316, 114.0814588 22.5029861, 114.0813487 22.5029155, 114.0812464 22.5028368, 114.0811635 22.5027594, 114.081107 22.5027066, 114.0810842 22.5026856)",,,,
1492216100,1492216128,0,135960999,True,1,,secondary_link,,False,45.574999999999996,"LINESTRING (114.0823859 22.5035329, 114.0824791 22.5036175, 114.0825159 22.5036765, 114.0825467 22.5037647, 114.0825475 22.503831, 114.0825383 22.5038925)",,,,
1492216100,598503086,0,848445070,True,1,青山公路－洲頭段 Castle Peak Road – Chau Tau,secondary,,False,33.214999999999996,"LINESTRING (114.0823859 22.5035329, 114.0825745 22.5036056, 114.0826851 22.5036461)",,,,
1492216102,598503086,0,157803659,True,,落馬洲路 Lok Ma Chau Road,tertiary,intersection,False,6.172,"LINESTRING (114.0827112 22.5035961, 114.0826851 22.5036461)",,,,
1492216102,1492216094,0,157803652,True,1,青山公路－洲頭段 Castle Peak Road – Chau Tau,secondary,intersection,False,32.897,"LINESTRING (114.0827112 22.5035961, 114.0825958 22.5035537, 114.0824161 22.5034813)",,,,
1492216125,7884099177,0,"[1074799778, 157803654]",False,2,青山公路－洲頭段 Castle Peak Road – Chau Tau,secondary,,False,924.2460000000002,"LINESTRING (114.0833339 22.5037859, 114.0834741 22.5038004, 114.0837021 22.503813, 114.0839412 22.5038112, 114.084463 22.5037854, 114.0844737 22.5037849, 114.0845334 22.5037819, 114.0845998 22.5037786, 114.0848027 22.5037691, 114.0850961 22.5037991, 114.0852615 22.503815, 114.0854277 22.5038472, 114.0857521 22.5039241, 114.0862417 22.5040542, 114.0869701 22.504232, 114.0874371 22.5043462, 114.0876335 22.5043854, 114.0878381 22.5044159, 114.0880181 22.5044326, 114.0882714 22.5044406, 114.0892271 22.5044697, 114.089311 22.5044722, 114.0893938 22.5044762, 114.0894253 22.5044777, 114.0895191 22.5044823, 114.0895585 22.5044879, 114.0897611 22.5045147, 114.089987 22.5045608, 114.0900459 22.504578, 114.0901234 22.5045794, 114.0902953 22.5045769, 114.0903359 22.5045763, 114.0905408 22.5045787, 114.0909575 22.5046166, 114.0912136 22.5046237, 114.0915952 22.5046308, 114.0919102 22.5046237, 114.0921817 22.5046071, 114.0922274 22.5046013)",,,,
1492216125,5084610584,0,"[848445066, 135960927]",True,"['1', '2']",青山公路－洲頭段 Castle Peak Road – Chau Tau,secondary,,False,59.859,"LINESTRING (114.0833339 22.5037859, 114.0831175 22.5037259, 114.0829659 22.5036813, 114.0827796 22.5036203)",,,,
1492216128,1480669368,0,134713232,True,1,落馬洲路 Lok Ma Chau Road,tertiary,,False,31.554000000000002,"LINESTRING (114.0825383 22.5038925, 114.0824939 22.5039538, 114.0824271 22.5040186, 114.0823432 22.5041109)",,,,
1700554314,6062651144,0,135960960,True,1,,primary_link,,False,56.71199999999999,"LINESTRING (114.0855812 22.5028386, 114.0854889 22.5030701, 114.085408 22.5031209, 114.0853237 22.503132, 114.0852217 22.5031347)",,no,,
1700554314,6482141887,0,1004100319,False,2,古洞路 Kwu Tung Road,tertiary,,False,614.321,"LINESTRING (114.0855812 22.5028386, 114.0876941 22.5035467, 114.0878819 22.5035982, 114.0883312 22.5037602, 114.088497 22.5038158, 114.0886348 22.503862, 114.0888521 22.5039116, 114.0889425 22.5039259, 114.0890399 22.5039413, 114.089241 22.5039426, 114.089364 22.5039246, 114.0894768 22.5038898, 114.0897461 22.5038066, 114.0899703 22.5037224, 114.0905611 22.5035324, 114.090815 22.5034699, 114.0910523 22.5034273, 114.091267 22.5034032)",,,,
1700554314,598503145,0,1004100319,False,2,古洞路 Kwu Tung Road,tertiary,,True,193.906,"LINESTRING (114.0855812 22.5028386, 114.0850689 22.5026553, 114.0847242 22.5025041, 114.0844479 22.5023616, 114.0839034 22.5020506)",,,,
