u,v,key,osmid,oneway,ref,name,highway,reversed,length,geometry,lanes,bridge
3969348321,7973259232,0,135906440,True,,泰然六路,tertiary,False,1.664,"LINESTRING (114.023931 22.5352052, 114.0239152 22.5352019)",,
5187524611,5187524614,0,231532385,False,,,residential,True,124.836,"LINESTRING (114.0227415 22.5316404, 114.0228424 22.5305216)",2,
5187524611,6020564583,0,40954706,True,,滨河大道辅路,primary,False,72.842,"LINESTRING (114.0227415 22.5316404, 114.022901 22.5316195, 114.0230854 22.5315885, 114.0232761 22.5315525, 114.0234373 22.5315157)",,
5187524614,5187524611,0,231532385,False,,,residential,False,124.836,"LINESTRING (114.0228424 22.5305216, 114.0227415 22.5316404)",2,
5187527928,1491785594,0,40954706,True,,滨河大道辅路,primary,False,59.369,"LINESTRING (114.0200061 22.5317133, 114.0202075 22.5317327, 114.0203844 22.5317443, 114.0205823 22.5317544)",,
5187527928,498857809,0,535068820,True,,,trunk_link,False,92.13,"LINESTRING (114.0200061 22.5317133, 114.0204592 22.5318501, 114.0208578 22.5319733)",,
6020564583,6020564649,0,40954706,True,,滨河大道辅路,primary,False,69.497,"LINESTRING (114.0234373 22.5315157, 114.0235998 22.5314929, 114.0239386 22.5314529, 114.0241068 22.5314258)",,
6020564583,2323527544,0,638856655,True,,福强路,primary_link,False,95.56800000000001,"LINESTRING (114.0234373 22.5315157, 114.0236215 22.5314612, 114.0240689 22.5313214, 114.0243228 22.5312521)",,
6020564634,498877595,0,638856658,True,,车公庙立交,primary_link,False,96.524,"LINESTRING (114.0247972 22.5323224, 114.0247311 22.5322363, 114.0246527 22.532159, 114.0245569 22.5320947, 114.0244326 22.5320368, 114.0242988 22.5319956, 114.0241519 22.5319726, 114.0239888 22.531968)",,
6020564634,7858813311,0,846895339,True,,,primary_link,False,165.46200000000002,"LINESTRING (114.0247972 22.5323224, 114.0248058 22.5320861, 114.0248161 22.5320287, 114.0248395 22.5319683, 114.0248715 22.5319112, 114.0249164 22.5318648, 114.0249846 22.5318204, 114.0250691 22.5317839, 114.0252598 22.5317238, 114.0253237 22.5317176, 114.0253812 22.5317202, 114.025445 22.5317325, 114.0255866 22.5317696, 114.0256386 22.5317932, 114.0256882 22.5318307, 114.0257201 22.5318846, 114.0257267 22.5319406, 114.0257254 22.5319953, 114.0257129 22.5320537)",2,
6020564649,498877573,0,1050532706,True,,滨河大道辅路,primary,False,77.863,"LINESTRING (114.0241068 22.5314258, 114.0248377 22.5312399)",,
7276028445,498867870,0,135913061,True,,滨河大道辅路,primary,False,60.513,"LINESTRING (114.0212609 22.5323506, 114.0209318 22.5323374, 114.0206723 22.5323265)",1,
7276028445,7973259340,0,779229116,False,,,unclassified,True,106.595,"LINESTRING (114.0212609 22.5323506, 114.0212416 22.5324573, 114.021072 22.5332932)",,
7616135765,5187524611,0,40954706,True,,滨河大道辅路,primary,False,40.96,"LINESTRING (114.0223457 22.5316853, 114.0225464 22.5316648, 114.0227415 22.5316404)",,
7616135774,7616135775,0,815469507,True,,,primary_link,False,58.65,"LINESTRING (114.0386329 22.5304675, 114.0391461 22.5306988)",1,
7719526814,498877595,0,135913061,True,,滨河大道辅路,primary,False,92.203,"LINESTRING (114.0248562 22.5317543, 114.0239888 22.531968)",1,
7858813299,7973114570,0,135913061,True,,滨河大道辅路,primary,False,32.361000000000004,"LINESTRING (114.0285294 22.5308367, 114.0283971 22.5308758, 114.0282287 22.5309236)",1,
7858813299,2529179564,0,"[854903588, 854903590]",True,,泰然三路,residential,False,200.571,"LINESTRING (114.0285294 22.5308367, 114.0284974 22.5308638, 114.0284771 22.5308831, 114.0284598 22.5309043, 114.0284479 22.5309276, 114.028439 22.5309554, 114.0283886 22.5311939, 114.0280816 22.5325776)",,
7858813311,2529179605,0,40953703,True,,车公庙立交,primary_link,False,152.546,"LINESTRING (114.0257129 22.5320537, 114.025658 22.5321607, 114.0256133 22.5322621, 114.0255747 22.5323654, 114.0255361 22.5324874, 114.0254004 22.5330128, 114.0253684 22.5331237, 114.025329 22.5332339, 114.0252736 22.5333606)",2,
7965680828,7965680871,0,996208022,True,,滨河大道辅路,primary,False,232.302,"LINESTRING (114.0391527 22.5310742, 114.0369057 22.5308358)",1,
