u,v,key,osmid,oneway,lanes,name,highway,reversed,length,geometry
9196975057,2320152527,0,532106268,False,2,金洲路,tertiary,True,93.554,"LINESTRING (114.1279242 22.5868703, 114.1279295 22.587347, 114.1279458 22.5874258, 114.1279885 22.5875065, 114.128049 22.5875732, 114.1281347 22.5876461)"
9196975057,9196975054,0,996001656,True,1,金稻田路,tertiary_link,False,34.756,"LINESTRING (114.1279242 22.5868703, 114.1278985 22.5868228, 114.1278635 22.5867926, 114.1278203 22.5867754, 114.1277665 22.5867678, 114.1277012 22.58677, 114.1276366 22.5867838)"
9196975057,9196975060,0,1077837447,False,2,金洲路,tertiary,False,42.0,"LINESTRING (114.1279242 22.5868703, 114.1279228 22.5867377, 114.1279223 22.5866978, 114.12792 22.5864926)"
9196975060,9196975061,0,1077837447,False,2,金洲路,tertiary,False,8.89,"LINESTRING (114.12792 22.5864926, 114.127909 22.5864133)"
9196975060,9196975054,0,1077837446,True,2,金稻田路,tertiary,False,43.536,"LINESTRING (114.12792 22.5864926, 114.1277666 22.5866533, 114.1277321 22.5866894, 114.1276366 22.5867838)"
9196975060,9196975057,0,1077837447,False,2,金洲路,tertiary,True,42.0,"LINESTRING (114.12792 22.5864926, 114.1279223 22.5866978, 114.1279228 22.5867377, 114.1279242 22.5868703)"
9196975061,9196975060,0,1077837447,False,2,金洲路,tertiary,True,8.89,"LINESTRING (114.127909 22.5864133, 114.12792 22.5864926)"
9196975061,3969579136,0,996001658,True,2,金稻田路,tertiary,False,305.215,"LINESTRING (114.127909 22.5864133, 114.1298045 22.5844185, 114.1298388 22.5843924, 114.1298865 22.5843685)"
9199902910,8549666508,0,996519966,False,2,东湖路,tertiary,True,6.256,"LINESTRING (114.1373206 22.5806353, 114.1373401 22.580582)"
9199902910,1145386240,0,184030475,False,2,东湖路,tertiary,False,485.02599999999995,"LINESTRING (114.1373206 22.5806353, 114.1372813 22.5807427, 114.1372655 22.5807859, 114.1367157 22.5823316, 114.1362477 22.5836658, 114.1362284 22.5837126, 114.1362053 22.5837611, 114.1361815 22.5838047, 114.1361457 22.5838623, 114.1361085 22.5839147, 114.1360706 22.5839636, 114.1360251 22.5840189, 114.1359808 22.5840698, 114.135927 22.5841252, 114.1358718 22.5841762, 114.1358115 22.5842226, 114.1357501 22.584265, 114.1356813 22.5843033, 114.1356025 22.5843415, 114.1355267 22.5843753, 114.1354407 22.5844065, 114.1353492 22.5844333)"
9655063428,4472714118,0,450353141,False,,,residential,False,4.594,"LINESTRING (114.1305115 22.5888177, 114.1304832 22.5887857)"
