u,v,key,osmid,oneway,highway,reversed,length,ref,name,geometry,bridge,lanes,maxspeed
4472714124,6723372014,0,715368977,False,residential,True,300.05999999999995,,祝福路,"LINESTRING (114.1373171 22.5779063, 114.1391843 22.5772862, 114.1392418 22.5771938, 114.1390441 22.5766993, 114.1390367 22.5766671, 114.1390375 22.5766353, 114.1390527 22.5766007, 114.1390819 22.5765672, 114.1391632 22.5765222)",,,
4472714132,4472714283,0,450353143,False,residential,False,89.351,,祝愿路,"LINESTRING (114.1372181 22.5759672, 114.1372754 22.5761044, 114.1374185 22.5764748, 114.1374405 22.5766036, 114.1373761 22.5767224)",,,
4472714132,2920173609,0,972309903,True,trunk,False,162.332,G107,布心路辅路,"LINESTRING (114.1372181 22.5759672, 114.1370157 22.5760599, 114.1369227 22.5761007, 114.1368444 22.576135, 114.1367228 22.5761991, 114.1366209 22.5762455, 114.1364935 22.5762914, 114.1357578 22.5765167)",,,
4472714280,8703615324,0,920874825,False,residential,False,137.453,,祝寿路,"LINESTRING (114.1391723 22.5782945, 114.1397144 22.5780915, 114.1395746 22.577694, 114.1395528 22.5776125, 114.1395422 22.5775164, 114.1395337 22.5774192)",,,
4472714283,4472714124,0,450353143,False,residential,False,131.783,,祝愿路,"LINESTRING (114.1373761 22.5767224, 114.1373171 22.5779063)",,,
4472714283,4472714132,0,450353143,False,residential,True,89.351,,祝愿路,"LINESTRING (114.1373761 22.5767224, 114.1374405 22.5766036, 114.1374185 22.5764748, 114.1372754 22.5761044, 114.1372181 22.5759672)",,,
4472714283,6080171669,0,647431553,False,residential,False,173.981,,,"LINESTRING (114.1373761 22.5767224, 114.136506 22.5770214, 114.135852 22.5772351, 114.1357839 22.5772577)",,,
5091912839,5091912840,0,522921536,False,tertiary,False,260.877,,东晓路,"LINESTRING (114.1322323 22.5770366, 114.1316136 22.5747611)",,,
5091912839,9761601784,0,542049641,True,trunk,False,576.617,G107,布心路辅路,"LINESTRING (114.1322323 22.5770366, 114.1329173 22.5768411, 114.1330753 22.5767759, 114.1332155 22.576701, 114.13347 22.576552, 114.1336029 22.5764803, 114.1337588 22.5764207, 114.1374861 22.5752416)",,,
5091912840,2883507446,0,219498390,False,tertiary,False,340.031,,太安路,"LINESTRING (114.1316136 22.5747611, 114.1344388 22.5731656)",,,
5091912840,5091912841,0,522921536,False,tertiary,False,303.173,,东晓路,"LINESTRING (114.1316136 22.5747611, 114.1308804 22.57212)",,,
