u,v,key,osmid,oneway,name,highway,reversed,length,geometry,lanes,access,bridge,maxspeed,tunnel
2042441665,2042407638,0,135913046,False,新洲二街,residential,True,135.431,"LINESTRING (114.0413397 22.5261525, 114.0415564 22.5249511)",2,,,,
2042441665,310170187,0,135913046,False,新洲二街,residential,False,122.27,"LINESTRING (114.0413397 22.5261525, 114.041311 22.5262341, 114.041267 22.5263281, 114.0408657 22.5271607)",2,,,,
2268753043,1783922791,0,166998814,False,水围五街,residential,False,56.97,"LINESTRING (114.0581364 22.5227912, 114.0583456 22.5223167)",,,,,
2268753043,1783922848,0,166998814,False,水围五街,residential,True,96.581,"LINESTRING (114.0581364 22.5227912, 114.0580164 22.5232925, 114.058024 22.5233744, 114.0579886 22.5236454)",,,,,
2268753043,1783922822,0,217589457,False,水围六街,residential,False,77.967,"LINESTRING (114.0581364 22.5227912, 114.0579662 22.5227452, 114.0574074 22.5225958)",,,,,
2268771702,8167985588,0,545243407,False,皇岗公园一街,residential,True,162.93699999999998,"LINESTRING (114.0564256 22.5243809, 114.0563666 22.5248989, 114.0563492 22.5258009, 114.0563476 22.5258432)",,,,,
2268995250,2268995259,0,217604715,False,石厦‎北八街,residential,True,147.188,"LINESTRING (114.0480836 22.5299591, 114.04868 22.5299632, 114.0495166 22.5299719)",,,,,
2268995259,8167985726,0,96329679,False,石厦‎北三街,residential,True,106.139,"LINESTRING (114.0495166 22.5299719, 114.0495152 22.5299236, 114.0495158 22.5298779, 114.0495307 22.5290175)",2,,,,
2268995259,2268995250,0,217604715,False,石厦‎北八街,residential,False,147.188,"LINESTRING (114.0495166 22.5299719, 114.04868 22.5299632, 114.0480836 22.5299591)",,,,,
2268995262,2868296660,0,217604716,False,,residential,False,5.151,"LINESTRING (114.0458403 22.5241764, 114.0457925 22.5241624)",1,,,,
2268995262,2268995297,0,217604716,False,,residential,True,96.203,"LINESTRING (114.0458403 22.5241764, 114.0467206 22.5244719)",1,,,,
2268995262,8167985624,0,282885049,False,,residential,False,174.35399999999998,"LINESTRING (114.0458403 22.5241764, 114.0456915 22.5245434, 114.0456563 22.5246302, 114.0456454 22.5246572, 114.0455779 22.5247615, 114.0455397 22.5248044, 114.0455098 22.5248485, 114.0455098 22.5250742, 114.0454863 22.5256736)",,,,,
2268995297,2268995262,0,217604716,False,,residential,False,96.203,"LINESTRING (114.0467206 22.5244719, 114.0458403 22.5241764)",1,,,,
