u,v,key,osmid,oneway,name,highway,reversed,length,geometry,lanes,bridge,maxspeed
2550463233,2550463204,0,248219668,True,,tertiary,False,45.606,"LINESTRING (113.9858223 22.5627556, 113.9859757 22.5631405)",,,
2550463233,2550463263,0,248219654,False,,residential,False,457.812,"LINESTRING (113.9858223 22.5627556, 113.9875175 22.5620803, 113.988068 22.5634196, 113.9880707 22.563484, 113.9880432 22.5635442, 113.9879654 22.5635888, 113.9873572 22.5638555, 113.9872472 22.5639571)",,,
2550463254,2550463042,0,248219652,True,,tertiary,False,118.194,"LINESTRING (113.9863581 22.5642989, 113.9859584 22.5633021)",,,
2550463254,3663282460,0,248219675,False,,residential,False,8.19,"LINESTRING (113.9863581 22.5642989, 113.9864309 22.5642688)",,,
2550463263,2550463233,0,248219654,False,,residential,True,457.812,"LINESTRING (113.9872472 22.5639571, 113.9873572 22.5638555, 113.9879654 22.5635888, 113.9880432 22.5635442, 113.9880707 22.563484, 113.988068 22.5634196, 113.9875175 22.5620803, 113.9858223 22.5627556)",,,
2550463263,2550463148,0,248219675,False,,residential,False,168.52700000000002,"LINESTRING (113.9872472 22.5639571, 113.9873202 22.5639686, 113.9873702 22.5640019, 113.9874296 22.5641726, 113.9874296 22.5642271, 113.9874075 22.5642873, 113.9873706 22.5643187, 113.9873136 22.5643566, 113.986812 22.5645473, 113.9867591 22.564554, 113.9867108 22.5645367, 113.9866759 22.564502, 113.986641 22.564445, 113.9866035 22.5643138, 113.9866109 22.5642551, 113.9866377 22.5641832)",,,
2550463263,2550463148,1,248219675,False,,residential,True,67.795,"LINESTRING (113.9872472 22.5639571, 113.9871232 22.5639876, 113.9870166 22.5640165, 113.9868469 22.5640792, 113.9867483 22.5641206, 113.9866377 22.5641832)",,,
2550463305,2550463221,0,248219672,True,,tertiary,False,41.58,"LINESTRING (113.9858855 22.5631393, 113.9857444 22.5627888)",,,
2550463305,2550463204,0,248219663,True,,tertiary,False,9.591000000000001,"LINESTRING (113.9858855 22.5631393, 113.9859166 22.5631304, 113.9859443 22.5631307, 113.9859757 22.5631405)",,,
2550463315,2550463213,0,248219670,False,,residential,False,82.729,"LINESTRING (113.9871333 22.5609181, 113.986397 22.5612201)",,,
2550463315,2550463092,0,248219674,False,,residential,False,265.255,"LINESTRING (113.9871333 22.5609181, 113.9869093 22.5601327, 113.9852731 22.5605711)",,,
2550463315,2550463188,0,248219674,False,,residential,True,214.95499999999998,"LINESTRING (113.9871333 22.5609181, 113.9871732 22.5610579, 113.9853957 22.5617682)",,,
2550463337,1116448489,0,96327311,True,南坪快速路,trunk,False,257.709,"LINESTRING (113.9873475 22.5686413, 113.9874875 22.5681261, 113.9875293 22.5678846, 113.9875425 22.5676539, 113.9875367 22.567412, 113.9875006 22.5671345, 113.9874314 22.5668597, 113.9873458 22.5666273, 113.9872325 22.5663873)",3,,
2550463337,2550463194,0,248219669,True,,unclassified,False,126.036,"LINESTRING (113.9873475 22.5686413, 113.9873956 22.5682282, 113.9874078 22.5680792, 113.9874027 22.5679582, 113.9873737 22.5678226, 113.9873006 22.5675208)",,,
2553922005,2553922265,0,248624220,False,,unclassified,False,89.574,"LINESTRING (113.9804078 22.5649603, 113.9812484 22.564745)",,,
2553922005,2553922010,0,248624217,False,,unclassified,True,89.137,"LINESTRING (113.9804078 22.5649603, 113.9805711 22.5655447, 113.9806247 22.5657365)",,,
2553922005,2553922134,0,248624220,False,,unclassified,True,43.181,"LINESTRING (113.9804078 22.5649603, 113.9801985 22.5650128, 113.980002 22.5650622)",,,
2553922007,2553922045,0,248624220,False,,unclassified,True,277.21000000000004,"LINESTRING (113.9811165 22.5656127, 113.9812394 22.5660363, 113.981309 22.5660699, 113.9820897 22.5658704, 113.9825509 22.5657306, 113.9828835 22.5656141, 113.9829346 22.5655162, 113.982838 22.5651793)",,,
2553922007,2553922045,1,248624234,False,,unclassified,False,183.235,"LINESTRING (113.9811165 22.5656127, 113.9811826 22.5655949, 113.9816096 22.5654783, 113.982838 22.5651793)",,,
2553922007,2553922010,0,248624234,False,,unclassified,True,52.342,"LINESTRING (113.9811165 22.5656127, 113.9808174 22.565688, 113.9806247 22.5657365)",,,
2553922010,2553922005,0,248624217,False,,unclassified,False,89.137,"LINESTRING (113.9806247 22.5657365, 113.9805711 22.5655447, 113.9804078 22.5649603)",,,
2553922010,2553922007,0,248624234,False,,unclassified,False,52.342,"LINESTRING (113.9806247 22.5657365, 113.9808174 22.565688, 113.9811165 22.5656127)",,,
2553922045,2553922007,0,248624220,False,,unclassified,False,277.21,"LINESTRING (113.982838 22.5651793, 113.9829346 22.5655162, 113.9828835 22.5656141, 113.9825509 22.5657306, 113.9820897 22.5658704, 113.981309 22.5660699, 113.9812394 22.5660363, 113.9811165 22.5656127)",,,
2553922045,2553922007,1,248624234,False,,unclassified,True,183.235,"LINESTRING (113.982838 22.5651793, 113.9816096 22.5654783, 113.9811826 22.5655949, 113.9811165 22.5656127)",,,
2553922045,2553922153,0,248624220,False,,unclassified,True,211.60899999999998,"LINESTRING (113.982838 22.5651793, 113.9826342 22.5644462, 113.982551 22.5644115, 113.9814429 22.5646952)",,,
2553922067,2553922181,0,96395027,False,,tertiary,False,20.654,"LINESTRING (113.9811739 22.5644821, 113.9813671 22.5644304)",,,
2553922067,2550450255,0,96395027,False,,tertiary,True,50.892,"LINESTRING (113.9811739 22.5644821, 113.9806978 22.5646093)",,,
2553922134,2553922005,0,248624220,False,,unclassified,False,43.181,"LINESTRING (113.980002 22.5650622, 113.9801985 22.5650128, 113.9804078 22.5649603)",,,
2553922153,2553922265,0,248624220,False,,unclassified,True,20.725,"LINESTRING (113.9814429 22.5646952, 113.9812484 22.564745)",,,
2553922153,2553922045,0,248624220,False,,unclassified,False,211.60899999999998,"LINESTRING (113.9814429 22.5646952, 113.982551 22.5644115, 113.9826342 22.5644462, 113.982838 22.5651793)",,,
2553922181,2550450324,0,96395027,False,,tertiary,False,129.957,"LINESTRING (113.9813671 22.5644304, 113.9825849 22.5641122)",,,
2553922181,2553922067,0,96395027,False,,tertiary,True,20.654,"LINESTRING (113.9813671 22.5644304, 113.9811739 22.5644821)",,,
2553922181,2553922153,0,248624215,True,,unclassified,False,30.456,"LINESTRING (113.9813671 22.5644304, 113.9814429 22.5646952)",,,
2553922265,2553922153,0,248624220,False,,unclassified,False,20.725,"LINESTRING (113.9812484 22.564745, 113.9814429 22.5646952)",,,
2553922265,2553922005,0,248624220,False,,unclassified,True,89.574,"LINESTRING (113.9812484 22.564745, 113.9804078 22.5649603)",,,
2553922265,2553922067,0,248624224,True,,unclassified,False,30.218,"LINESTRING (113.9812484 22.564745, 113.9811739 22.5644821)",,,
3663282460,2550463254,0,248219675,False,,residential,True,8.19,"LINESTRING (113.9864309 22.5642688, 113.9863581 22.5642989)",,,
3663282460,2550463254,1,"[248219667, 248219652]",True,,tertiary,False,59.873000000000005,"LINESTRING (113.9864309 22.5642688, 113.9865029 22.5644437, 113.9864997 22.5645256, 113.9864284 22.5644707, 113.9863581 22.5642989)",,,
3663282460,2550463148,0,248219675,False,,residential,False,23.270000000000003,"LINESTRING (113.9864309 22.5642688, 113.9865566 22.5642168, 113.9866377 22.5641832)",,,
6388671809,1116457346,0,996877048,True,龙珠大道,primary,False,495.55,"LINESTRING (113.9848293 22.5601668, 113.9838691 22.5604314, 113.9832707 22.5605935, 113.9802103 22.5614576)",,,60
6872433082,2550463222,0,504921631,False,,residential,True,382.442,"LINESTRING (113.9880001 22.5653416, 113.9878589 22.5653496, 113.9877362 22.5653482, 113.9876404 22.5653411, 113.9875427 22.5653242, 113.9874441 22.5652946, 113.9872649 22.5652194, 113.9868515 22.565037, 113.9866928 22.5649625, 113.9865549 22.5648922, 113.9863705 22.5647727, 113.9861825 22.5646283, 113.9860311 22.5644923, 113.9850399 22.5634655)",,,
10097406487,2550450289,0,248218097,False,,residential,False,128.122,"LINESTRING (113.9830737 22.5623789, 113.9825191 22.5624071, 113.9824709 22.5624145, 113.9824218 22.5624301, 113.9818803 22.5626499)",,,
