u,v,key,osmid,oneway,lanes,highway,reversed,length,geometry,name,ref,maxspeed,access,bridge
2530742222,1982876589,0,187658597,False,,residential,True,171.836,"LINESTRING (114.0675014 22.5397598, 114.0675071 22.5391737, 114.0674802 22.5390077, 114.0674212 22.5389259, 114.0672227 22.5388764, 114.0666787 22.538849)",,,,,
2530742232,2298877655,0,245978175,False,,residential,True,204.611,"LINESTRING (114.0640406 22.5377022, 114.064028 22.5381021, 114.0637574 22.5387354, 114.0636747 22.5392895, 114.0635882 22.5394727)",,,,,
2530742232,8516154914,0,996755159,True,3,secondary,False,75.136,"LINESTRING (114.0640406 22.5377022, 114.063942 22.5376955, 114.0638219 22.5376913, 114.0633094 22.5376857)",福华路,,,,
2530742238,2530742241,0,245978169,False,,residential,True,26.293,"LINESTRING (114.066295 22.5397299, 114.0663006 22.5394935)",,,,,
2530742238,2530742285,0,245978173,False,,residential,True,38.436,"LINESTRING (114.066295 22.5397299, 114.0666691 22.5397397)",,,,,
2530742241,2530742238,0,245978169,False,,residential,False,26.293,"LINESTRING (114.0663006 22.5394935, 114.066295 22.5397299)",,,,,
2530742285,1982876589,0,245978166,False,,residential,True,99.046,"LINESTRING (114.0666691 22.5397397, 114.0666787 22.538849)",,,,,
2530742285,2530742238,0,245978173,False,,residential,False,38.436,"LINESTRING (114.0666691 22.5397397, 114.066295 22.5397299)",,,,,
2530742285,2530742222,0,245978173,False,,residential,True,85.508,"LINESTRING (114.0666691 22.5397397, 114.0675014 22.5397598)",,,,,
2653614515,6033482425,0,1051842304,True,2,primary,False,126.338,"LINESTRING (114.0717386 22.5319709, 114.0705086 22.5319583)",滨河大道辅路,,40,yes,
2653614528,2657830319,0,40998266,True,,primary,False,68.49,"LINESTRING (114.0725166 22.5316358, 114.0731833 22.5316485)",滨河大道辅路,,,,
2653614537,2657406464,0,259898788,True,,trunk_link,False,85.522,"LINESTRING (114.0759439 22.53193, 114.0751204 22.5320439)",滨河大道辅路,,,,
