u,v,key,osmid,oneway,ref,name,highway,reversed,length,geometry,lanes,bridge,tunnel
2789096589,2789096589,0,"[923403589, 923403590, 923403591, 923403594, 923403595]",True,,清笋南路,residential,False,606.084,"LINESTRING (114.1116182 22.5789839, 114.1116602 22.5794523, 114.1116515 22.5795084, 114.1116368 22.5795617, 114.111614 22.5796242, 114.1115905 22.5796787, 114.111563 22.5797301, 114.1115307 22.5797791, 114.1114918 22.579825, 114.1114489 22.5798658, 114.1114093 22.5799005, 114.1113644 22.5799339, 114.1113123 22.5799691, 114.1112557 22.5800014, 114.1111921 22.5800305, 114.1110732 22.5800812, 114.1110254 22.5801022, 114.1109811 22.5801276, 114.1109321 22.5801616, 114.1108953 22.5801957, 114.1108591 22.5802341, 114.1108255 22.5802762, 114.1107994 22.5803177, 114.1107759 22.580366, 114.1107578 22.580413, 114.1107469 22.5804548, 114.1107389 22.5805031, 114.1107348 22.5805539, 114.1107348 22.5806053, 114.1107365 22.5806682, 114.1107887 22.5812964, 114.1107185 22.5813019, 114.1106577 22.5806279, 114.1106569 22.5805724, 114.1106573 22.5805191, 114.1106623 22.5804679, 114.110674 22.5804116, 114.1106959 22.5803454, 114.1107221 22.5802928, 114.1107615 22.5802307, 114.1107956 22.5801886, 114.11083 22.5801523, 114.110865 22.5801195, 114.1109123 22.5800838, 114.1109622 22.5800516, 114.1109993 22.5800296, 114.1110841 22.579992, 114.1111447 22.5799681, 114.1111895 22.5799475, 114.1112403 22.5799208, 114.1113133 22.5798758, 114.1113505 22.5798496, 114.111385 22.5798194, 114.1114505 22.5797508, 114.1114823 22.5797132, 114.111508 22.579674, 114.1115286 22.579633, 114.1115501 22.5795748, 114.1115635 22.5795104, 114.1115699 22.5794549, 114.1116182 22.5789839)","['1', '2']",,
3012276503,9201427130,0,1050747502,True,,梨园路,tertiary,False,8.674,"LINESTRING (114.1078832 22.5723243, 114.1079645 22.5723455)",2,,
3012276503,9201427117,0,219503249,True,,宝岗路,secondary,False,131.141,"LINESTRING (114.1078832 22.5723243, 114.1078836 22.5722716, 114.1078801 22.5721973, 114.1078751 22.5721684, 114.1078572 22.5720678, 114.1078473 22.5720294, 114.1076324 22.5711704)",,,
3012276511,9553523418,0,1050747503,True,,宝岗路,secondary,False,69.149,"LINESTRING (114.1076651 22.5729783, 114.1077391 22.5728459, 114.107788 22.572747, 114.1078218 22.5726703, 114.1078508 22.5725799, 114.1078621 22.5725342, 114.1078762 22.5724367, 114.1078797 22.572395)",,,
3012276517,2286399006,0,219489369,True,,泥岗路辅路,primary,False,111.856,"LINESTRING (114.1063883 22.5741564, 114.1073032 22.5747025)",,,
3012276517,3012276511,0,297352973,True,,泥岗宝岗立交,secondary_link,False,206.104,"LINESTRING (114.1063883 22.5741564, 114.1065841 22.5742085, 114.1066807 22.574216, 114.1067934 22.5741887, 114.1068669 22.57414, 114.1069382 22.5740351, 114.107186 22.5735728, 114.107311 22.5733863, 114.1075213 22.5731021, 114.1076651 22.5729783)",,,
3012276520,3012461604,0,"[297367959, 297352975]",True,,清水河三路,tertiary,False,473.37300000000005,"LINESTRING (114.1072064 22.5738841, 114.1071136 22.5740855, 114.1069623 22.5744314, 114.1064527 22.5755435, 114.1060407 22.5764755, 114.1059672 22.5766184, 114.1058932 22.5767454, 114.1057886 22.5769138, 114.105692 22.57705, 114.1053798 22.577448, 114.105302 22.5775545, 114.1052307 22.5776692, 114.1052133 22.5777053)",,yes,
3012276520,3012277449,0,"[297352976, 297352969]",True,,泥岗宝岗立交,secondary_link,False,400.496,"LINESTRING (114.1072064 22.5738841, 114.1070761 22.574296, 114.1070117 22.5744669, 114.1069006 22.5747311, 114.1065422 22.5755411, 114.106427 22.5758191, 114.1064125 22.5758853, 114.1064178 22.5759422, 114.10645 22.5759918, 114.106501 22.5760314, 114.1065493 22.5760537, 114.1066458 22.5760735, 114.1067183 22.5760685, 114.1067837 22.5760445, 114.1068389 22.5759918, 114.1068776 22.5759281, 114.1070385 22.575465, 114.1070439 22.5753857, 114.1070294 22.5753107, 114.1070036 22.5752396, 114.1069172 22.5751067)",,yes,
3012276531,2286399006,0,297352971,True,,泥岗宝岗立交,secondary_link,False,207.054,"LINESTRING (114.1077613 22.5730148, 114.1076822 22.5732359, 114.1075374 22.5735803, 114.1074478 22.5737702, 114.1073808 22.5738915, 114.1072145 22.5742011, 114.1071431 22.5743505, 114.1071296 22.5744067, 114.1071263 22.5744546, 114.1071398 22.5745051, 114.1071624 22.5745507, 114.1073032 22.5747025)",,,
3012276531,3012276520,0,996519935,True,,宝岗路,secondary,False,112.20600000000002,"LINESTRING (114.1077613 22.5730148, 114.1076043 22.5732663, 114.1072064 22.5738841)",,,
