u,v,key,osmid,lanes,name,highway,oneway,reversed,length,bridge,geometry,tunnel
7649330606,7889043402,0,241102578,2,青山公路－古洞段 Castle Peak Road – Kwu Tung,secondary,False,False,254.453,,"LINESTRING (114.1103916 22.5028392, 114.1104207 22.5028352, 114.1113596 22.5027076, 114.1125195 22.5025499, 114.1128021 22.5025262, 114.1128444 22.5025242)",
7649330606,598512061,0,241102578,2,青山公路－古洞段 Castle Peak Road – Kwu Tung,secondary,False,True,347.433,,"LINESTRING (114.1103916 22.5028392, 114.1101531 22.5028719, 114.1099482 22.5028999, 114.1088322 22.5029959, 114.1081127 22.5030549, 114.1072408 22.5031136, 114.1070249 22.5031277)",
7649330606,7649330589,0,819082484,,燕崗路 Yin Kong Road,residential,False,False,225.88099999999997,,"LINESTRING (114.1103916 22.5028392, 114.1103741 22.5028931, 114.1103039 22.5032271, 114.1101986 22.5036755, 114.1101977 22.5037197, 114.1101995 22.5037492, 114.1102119 22.503782, 114.1102332 22.5038099, 114.1103122 22.5038656, 114.1103503 22.5038992, 114.1103529 22.5039164, 114.1103005 22.5043068, 114.1103051 22.5043482, 114.1103255 22.5043982, 114.1103441 22.5044252, 114.1103716 22.5044473, 114.1104079 22.5044604, 114.1107166 22.5044727)",
7874627976,3971771863,0,844162475,2,坑頭路 Hang Tau Road,unclassified,False,True,189.891,,"LINESTRING (114.1044119 22.5001854, 114.1044637 22.5003329, 114.1044912 22.5004192, 114.1045095 22.5004944, 114.1045257 22.5005892, 114.10454 22.5007329, 114.1045513 22.5008893, 114.1045746 22.5009888, 114.1046041 22.5010634, 114.1046411 22.5011211, 114.1046894 22.5011733, 114.1049414 22.5013548, 114.1052661 22.5015822)",
7888948356,7649330589,0,819082485,,,residential,False,True,175.77299999999994,,"LINESTRING (114.1120538 22.5038911, 114.1119809 22.5039037, 114.1119436 22.5039091, 114.1118936 22.5039074, 114.111883 22.503907, 114.1118282 22.503879, 114.1118066 22.5038549, 114.1117038 22.5038805, 114.1115668 22.5039145, 114.1114374 22.5039467, 114.1113955 22.5039571, 114.1113604 22.5039592, 114.1112999 22.503963, 114.1111556 22.5039722, 114.1111123 22.5039852, 114.1110503 22.5040306, 114.1110269 22.5040652, 114.1110117 22.5041128, 114.1109949 22.5041667, 114.1109936 22.5041733, 114.1109709 22.5042846, 114.1109673 22.5043023, 114.110945 22.5043647, 114.1109157 22.5044014, 114.1108972 22.504419, 114.1108806 22.5044349, 114.1108731 22.5044384, 114.1108268 22.5044598, 114.110766 22.5044739, 114.1107166 22.5044727)",
7888948356,7649330589,1,"[819082484, 845575774]",,燕崗路 Yin Kong Road,residential,False,True,262.78599999999994,,"LINESTRING (114.1120538 22.5038911, 114.1120656 22.5039082, 114.1121043 22.5040147, 114.1121468 22.5041316, 114.1121555 22.5041555, 114.1121782 22.5042179, 114.112199 22.504275, 114.1122241 22.5043099, 114.1122368 22.5043276, 114.1123038 22.5045171, 114.1123076 22.5045299, 114.112328 22.5045978, 114.1123167 22.504619, 114.1121176 22.5046918, 114.112091 22.5046959, 114.1120176 22.5046762, 114.1119681 22.5046746, 114.1118608 22.5046981, 114.1117685 22.5047205, 114.111737 22.5047186, 114.1117177 22.5047163, 114.1116822 22.504712, 114.1116366 22.5047139, 114.111394 22.5047749, 114.1113558 22.504775, 114.1113108 22.5047692, 114.1112661 22.5047468, 114.1110827 22.5046444, 114.1110725 22.5046387, 114.110907 22.5045579, 114.1108909 22.50455, 114.1107618 22.504485, 114.1107166 22.5044727)",
7888948356,7889043402,0,845575774,,,residential,False,False,242.14299999999997,,"LINESTRING (114.1120538 22.5038911, 114.1120368 22.5038665, 114.1120209 22.5038278, 114.1119727 22.5037107, 114.1119351 22.5036205, 114.1118904 22.5035557, 114.1118528 22.5035144, 114.1118172 22.5034524, 114.1118142 22.503413, 114.1118294 22.503367, 114.1119636 22.5031886, 114.1120032 22.5031229, 114.1120114 22.5030684, 114.1120012 22.5030102, 114.1119229 22.5028693, 114.1119138 22.5028365, 114.1119242 22.5028177, 114.1119931 22.502795, 114.1120561 22.502767, 114.112608 22.502691, 114.1127895 22.5026709, 114.1128123 22.5026536, 114.1128391 22.5025586, 114.1128444 22.5025242)",
7889043402,6739112282,0,241102578,2,青山公路－古洞段 Castle Peak Road – Kwu Tung,secondary,False,False,306.522,,"LINESTRING (114.1128444 22.5025242, 114.1131465 22.50251, 114.1132715 22.5025096, 114.1133711 22.5025092, 114.1134524 22.5025089, 114.1139089 22.5025272, 114.1145568 22.502579, 114.1149432 22.5025898, 114.115171 22.5025834, 114.1152994 22.5025672, 114.1154465 22.5025294, 114.115638 22.5024485, 114.1157752 22.502371)",
7889043402,7649330606,0,241102578,2,青山公路－古洞段 Castle Peak Road – Kwu Tung,secondary,False,True,254.45299999999997,,"LINESTRING (114.1128444 22.5025242, 114.1128021 22.5025262, 114.1125195 22.5025499, 114.1113596 22.5027076, 114.1104207 22.5028352, 114.1103916 22.5028392)",
7889043402,7888948356,0,845575774,,,residential,False,True,242.14300000000006,,"LINESTRING (114.1128444 22.5025242, 114.1128391 22.5025586, 114.1128123 22.5026536, 114.1127895 22.5026709, 114.112608 22.502691, 114.1120561 22.502767, 114.1119931 22.502795, 114.1119242 22.5028177, 114.1119138 22.5028365, 114.1119229 22.5028693, 114.1120012 22.5030102, 114.1120114 22.5030684, 114.1120032 22.5031229, 114.1119636 22.5031886, 114.1118294 22.503367, 114.1118142 22.503413, 114.1118172 22.5034524, 114.1118528 22.5035144, 114.1118904 22.5035557, 114.1119351 22.5036205, 114.1119727 22.5037107, 114.1120209 22.5038278, 114.1120368 22.5038665, 114.1120538 22.5038911)",
7889150831,6739112282,0,845593329,2,,unclassified,False,True,226.29000000000002,,"LINESTRING (114.1178798 22.5026713, 114.1178429 22.5026486, 114.1177814 22.5026159, 114.1176799 22.5025832, 114.1171278 22.5025336, 114.1170301 22.5025287, 114.1167818 22.5025141, 114.1167089 22.5025098, 114.1165912 22.5025087, 114.1165027 22.5025079, 114.1160756 22.5025348, 114.116015 22.5025316, 114.1159439 22.5025165, 114.1158797 22.5024917, 114.1158285 22.5024443, 114.1157752 22.502371)",
7889150831,4449730322,0,"[845593335, 848445063]",2,,residential,False,False,264.2799999999999,,"LINESTRING (114.1178798 22.5026713, 114.1179167 22.5027081, 114.1179967 22.5028102, 114.1180962 22.5029887, 114.1181188 22.5030079, 114.1181413 22.5030238, 114.1182118 22.5030701, 114.1182414 22.5031021, 114.1182679 22.503143, 114.118296 22.5032305, 114.1183128 22.5032686, 114.1183319 22.5032922, 114.1183788 22.5033406, 114.1184477 22.5033938, 114.1184737 22.5034354, 114.1184933 22.503499, 114.1184887 22.5035294, 114.1184818 22.5035496, 114.1183105 22.5036707, 114.1182372 22.5037623, 114.1181531 22.5039032, 114.1180472 22.5040595, 114.1180414 22.5040762, 114.1180403 22.5040904, 114.1180461 22.5041054, 114.1181378 22.5041619, 114.1184459 22.5043464, 114.1185844 22.5044293)",
