u,v,key,osmid,oneway,name,highway,reversed,length,lanes,geometry,bridge,ref,tunnel
6413071318,7237589745,0,684494950,True,莲科路,unclassified,False,347.38599999999997,,"LINESTRING (114.063157 22.5605994, 114.0634006 22.5605729, 114.0636677 22.560577, 114.0637709 22.5605785, 114.0638789 22.5605802, 114.0652433 22.5606008, 114.0662726 22.5606164, 114.0664309 22.5606193, 114.0665379 22.5606204)",,,
6413071320,6413071332,0,"[684494952, 684494949]",False,莲科路,unclassified,False,274.514,,"LINESTRING (114.0671087 22.5606751, 114.068151 22.5606849, 114.0682448 22.5607029, 114.0683245 22.5607389, 114.0683793 22.5607879, 114.0684132 22.5608588, 114.0684297 22.5609363, 114.0684259 22.5615246, 114.0684195 22.5616083, 114.0684078 22.5616631, 114.0683881 22.5617189, 114.0683646 22.5617604, 114.0683302 22.5618028, 114.068299 22.5618328, 114.0682626 22.5618583, 114.0682226 22.56188, 114.068177 22.5618986, 114.0681268 22.5619162)",yes,,
6413071320,6413071318,0,684494951,True,莲科路,unclassified,False,407.07,,"LINESTRING (114.0671087 22.5606751, 114.0668852 22.5607154, 114.0652378 22.5606892, 114.0636652 22.5606643, 114.063435 22.5606606, 114.063157 22.5605994)",,,
6413071332,6413071335,0,684494948,True,莲科路,unclassified,False,34.873000000000005,,"LINESTRING (114.0681268 22.5619162, 114.0680404 22.5619521, 114.0679705 22.5619897, 114.0679126 22.562034, 114.0678504 22.5620925)",,,
6413071332,6413071320,0,"[684494952, 684494949]",False,莲科路,unclassified,True,274.51399999999995,,"LINESTRING (114.0681268 22.5619162, 114.068177 22.5618986, 114.0682226 22.56188, 114.0682626 22.5618583, 114.068299 22.5618328, 114.0683302 22.5618028, 114.0683646 22.5617604, 114.0683881 22.5617189, 114.0684078 22.5616631, 114.0684195 22.5616083, 114.0684259 22.5615246, 114.0684297 22.5609363, 114.0684132 22.5608588, 114.0683793 22.5607879, 114.0683245 22.5607389, 114.0682448 22.5607029, 114.068151 22.5606849, 114.0671087 22.5606751)",yes,,
6413071335,8002408006,0,672979230,True,皇岗路辅路,primary,False,145.692,,"LINESTRING (114.0678504 22.5620925, 114.0678391 22.5628882, 114.0678303 22.5634026)",,,
6413071588,6413071335,0,672979230,True,皇岗路辅路,primary,False,30.522,,"LINESTRING (114.0678582 22.5618181, 114.0678504 22.5620925)",,,
6413071588,6413071332,0,684494964,True,莲科路,unclassified,False,31.390000000000004,,"LINESTRING (114.0678582 22.5618181, 114.0679103 22.5618676, 114.0679582 22.5618989, 114.0680189 22.5619172, 114.0680703 22.5619215, 114.0681268 22.5619162)",,,
7237589745,6413071320,0,684494950,True,莲科路,unclassified,False,59.245000000000005,,"LINESTRING (114.0665379 22.5606204, 114.0668757 22.5606255, 114.0671087 22.5606751)",,,
7947470102,4127126161,0,34900302,False,彩田工业区一号路,residential,False,10.826,2,"LINESTRING (114.0675228 22.5644134, 114.0674174 22.564411)",,,
7947470102,2377771323,0,1057874093,True,皇岗路,trunk,False,395.60299999999995,3,"LINESTRING (114.0675228 22.5644134, 114.0675416 22.5634973, 114.0675527 22.5627612, 114.0675719 22.5617495, 114.0675897 22.5608562)",,,
7947470120,2377771320,0,229146468,False,,unclassified,False,7.906,,"LINESTRING (114.0672448 22.5606695, 114.0672443 22.5607406)",,,
7947470120,7947470121,0,852010060,True,莲科路,residential,False,25.611,,"LINESTRING (114.0672448 22.5606695, 114.0674942 22.5606714)",,,
7947470121,7947470122,0,852010060,True,莲科路,residential,False,12.319,,"LINESTRING (114.0674942 22.5606714, 114.0675908 22.5606057)",,,
8002407987,504640691,0,777201498,True,皇岗路,trunk,False,148.83999999999997,3,"LINESTRING (114.0676732 22.5667456, 114.0676664 22.5670743, 114.0676706 22.5672653, 114.0676782 22.5674295, 114.0676884 22.5676209, 114.0676931 22.567779, 114.0676903 22.5680836)",,,
8002407996,8002407987,0,777201498,True,皇岗路,trunk,False,47.812,3,"LINESTRING (114.0676822 22.5663157, 114.0676732 22.5667456)",,,
8002408005,8002408007,0,777201498,True,皇岗路,trunk,False,97.932,3,"LINESTRING (114.0677435 22.5629773, 114.0677276 22.5638579)",,,
8002408005,8002408006,0,858410951,True,,primary_link,False,48.124,,"LINESTRING (114.0677435 22.5629773, 114.0678303 22.5634026)",,,
8002408006,8002408007,0,858410951,True,,primary_link,False,51.714,,"LINESTRING (114.0678303 22.5634026, 114.0677276 22.5638579)",,,
8002408006,8002407987,0,672979230,True,皇岗路辅路,primary,False,372.557,,"LINESTRING (114.0678303 22.5634026, 114.0677863 22.5659878, 114.0676732 22.5667456)",,,
8002408007,8002407996,0,777201498,True,皇岗路,trunk,False,273.335,3,"LINESTRING (114.0677276 22.5638579, 114.067691 22.5658934, 114.0676822 22.5663157)",,,
8280639220,504637174,0,890945179,True,北环大道辅路,primary,False,46.876,,"LINESTRING (114.0716415 22.5698675, 114.0715475 22.5698215, 114.0713647 22.5697279, 114.0712346 22.5696774)",,,
8280639220,3671791987,0,1055004288,True,北环大道辅路,primary,False,283.485,,"LINESTRING (114.0716415 22.5698675, 114.0715508 22.569844, 114.071462 22.5698266, 114.0713768 22.5698116, 114.0689204 22.5694399)",,,
8624031087,8624031175,0,44419746,True,彩田路,primary,False,201.806,,"LINESTRING (114.0623314 22.5642923, 114.0623813 22.562478)",,,
8624031087,1722054840,0,160131331,False,,residential,False,140.83100000000002,,"LINESTRING (114.0623314 22.5642923, 114.0621352 22.5642919, 114.0609599 22.5642864)",,,
8624031175,564055377,0,44419746,True,彩田路,primary,False,203.798,,"LINESTRING (114.0623813 22.562478, 114.0624108 22.5614057, 114.0624197 22.5610801, 114.0624317 22.5606458)",,,
8624031175,1722054835,0,996188202,False,莲花支路,secondary,True,144.49099999999999,,"LINESTRING (114.0623813 22.562478, 114.062206 22.5624767, 114.062164 22.5624763, 114.062122 22.562476, 114.0610668 22.5624689, 114.0609742 22.5624683)",,,
8887740891,8280639220,0,248635630,True,北环大道辅路,primary,False,18.412,,"LINESTRING (114.0718123 22.5699179, 114.0717669 22.5699036, 114.0716415 22.5698675)",,,
8889245610,4127126161,0,34900302,False,彩田工业区一号路,residential,True,24.729,2,"LINESTRING (114.0671766 22.5644078, 114.0674174 22.564411)",,,
8889245610,2377771329,0,229146468,False,,unclassified,False,268.734,,"LINESTRING (114.0671766 22.5644078, 114.06713 22.5668242)",,,
8889245610,503313295,0,34900302,False,彩田工业区一号路,residential,False,481.86800000000005,2,"LINESTRING (114.0671766 22.5644078, 114.0655567 22.5643865, 114.0641391 22.5643678, 114.0628615 22.5643509, 114.0626654 22.5643483, 114.0624843 22.564346)",,,
8889245610,2377771320,0,229146468,False,,unclassified,True,407.8349999999999,,"LINESTRING (114.0671766 22.5644078, 114.0672082 22.562765, 114.0672315 22.5615522, 114.0672325 22.5614937, 114.0672443 22.5607406)",,,
