u,v,key,osmid,oneway,lanes,name,highway,reversed,length,geometry,bridge,junction
2001310758,9671682440,0,1052393957,True,,,residential,False,99.087,"LINESTRING (114.15425 22.5063, 114.1540454 22.5063388, 114.1539631 22.5063524, 114.1538616 22.5063551, 114.1537659 22.5063422, 114.1536777 22.5063184, 114.1536112 22.5062867, 114.1534821 22.5062253, 114.1533239 22.5061934)",,
2001310797,2001310806,0,189532752,False,1,凱榮路 Hai Wing Road,residential,False,95.448,"LINESTRING (114.1567669 22.5070711, 114.1568227 22.5071069, 114.1571889 22.5073389, 114.1573238 22.5074243, 114.1574525 22.5075058, 114.157533 22.5075568)",,
2001310797,2001310748,0,189532752,False,1,凱榮路 Hai Wing Road,residential,True,306.876,"LINESTRING (114.1567669 22.5070711, 114.1561129 22.5066533, 114.1560907 22.5066382, 114.1552656 22.5060759, 114.1552338 22.5060542, 114.1550247 22.5059145, 114.1548964 22.5058292, 114.154726 22.5057149, 114.1544096 22.5055177, 114.1543338 22.5054705)",,
2001310797,2001310755,0,850862087,False,,道揚路 Dao Yang Road,residential,False,142.781,"LINESTRING (114.1567669 22.5070711, 114.1571686 22.5065657, 114.1573732 22.5063083, 114.1573825 22.5062966, 114.1575818 22.506031)",,
2001310797,7937457557,0,850862087,False,,道揚路 Dao Yang Road,residential,True,125.057,"LINESTRING (114.1567669 22.5070711, 114.1563398 22.5076095, 114.1560397 22.507973)",,
2001310806,2001310797,0,189532752,False,1,凱榮路 Hai Wing Road,residential,True,95.448,"LINESTRING (114.157533 22.5075568, 114.1574525 22.5075058, 114.1573238 22.5074243, 114.1571889 22.5073389, 114.1568227 22.5071069, 114.1567669 22.5070711)",,
2001310849,394175243,0,34360898,True,2,沙頭角公路－龍躍頭段 Sha Tau Kok Road – Lung Yeuk Tau,secondary,False,37.199,"LINESTRING (114.1579127 22.5091938, 114.1582316 22.5093523)",,
2001310849,2001310866,0,189532788,True,1,,unclassified,False,24.276,"LINESTRING (114.1579127 22.5091938, 114.1579196 22.5092608, 114.1578972 22.5093208, 114.157824 22.5093764)",,
2001310866,394175243,0,189532787,True,1,,unclassified,False,42.104,"LINESTRING (114.157824 22.5093764, 114.1580105 22.5093742, 114.158158 22.5093688, 114.1582316 22.5093523)",,
4790085436,5343169246,0,553567068,True,,和睦路 Wo Muk Road,tertiary,False,10.979,"LINESTRING (114.1419005 22.5009271, 114.1420036 22.5009531)",,
4790085436,5343126848,0,553561566,True,,聯捷街 Luen Chit Street,residential,False,20.618000000000002,"LINESTRING (114.1419005 22.5009271, 114.1418993 22.5009621, 114.1418969 22.5010001, 114.1418945 22.5010391, 114.1419086 22.5011112)",,
