u,v,key,osmid,name,highway,oneway,reversed,length,geometry,lanes,maxspeed,bridge,access
2042184673,1703725326,0,158112572,,residential,False,False,113.702,"LINESTRING (114.0643175 22.5544087, 114.0654233 22.5544607)",,,,
2042184673,1703715896,0,308238960,,residential,False,True,116.448,"LINESTRING (114.0643175 22.5544087, 114.0643273 22.5533615)",,,,
2042184673,8002408169,0,308238960,,residential,False,False,15.573999999999998,"LINESTRING (114.0643175 22.5544087, 114.0643022 22.5544822, 114.0643004 22.5545474)",,,,
2042184677,2889067728,0,308238960,,residential,False,False,39.21,"LINESTRING (114.0642433 22.5556675, 114.0644662 22.5559538)",,,,
2042184677,2889067750,0,285222837,,residential,False,True,131.879,"LINESTRING (114.0642433 22.5556675, 114.0640049 22.555716, 114.063937 22.5557039, 114.0636428 22.5555848, 114.0635186 22.5555404, 114.0633657 22.5555132, 114.0632584 22.5554958, 114.0630067 22.5554857)",,,,
2042184677,2889067745,0,308238960,,residential,False,True,77.59100000000001,"LINESTRING (114.0642433 22.5556675, 114.0643499 22.5554064, 114.0643376 22.5549878)",,,,
2042184681,9364887312,0,193702052,,residential,False,False,4.879,"LINESTRING (114.0643609 22.552084, 114.0643581 22.5520402)",,,,
2042184681,1703715906,0,193702053,,living_street,False,False,64.944,"LINESTRING (114.0643609 22.552084, 114.0637303 22.5521282)",,,,
2042184681,1703715921,0,193702052,,residential,False,True,27.771,"LINESTRING (114.0643609 22.552084, 114.0643684 22.5521999, 114.064377 22.5523333)",,,,
2042184685,1703715906,0,193702053,,living_street,False,True,65.258,"LINESTRING (114.0630957 22.5521589, 114.0637303 22.5521282)",,,,
2042184685,9364887311,0,308238960,,residential,False,False,17.102,"LINESTRING (114.0630957 22.5521589, 114.0630942 22.5523127)",,,,
2042184685,1703715901,0,"[308238960, 193702050]",,residential,False,True,157.111,"LINESTRING (114.0630957 22.5521589, 114.0630981 22.5519001, 114.0637184 22.5518442, 114.0643418 22.5517873)",,,,
2042184693,1703698740,0,1015194503,,unclassified,False,False,15.891,"LINESTRING (114.0655039 22.5514856, 114.0656124 22.5515875)",,,,
2042191621,1703715921,0,1015193620,,residential,True,False,79.856,"LINESTRING (114.0638667 22.5528752, 114.064377 22.5523333)",1,5,,
2042191621,9364954903,0,193702047,,living_street,False,False,33.914,"LINESTRING (114.0638667 22.5528752, 114.0637271 22.5528818, 114.0637278 22.5527059)",,,,
2042197394,2042197400,0,193703719,,residential,False,False,26.678,"LINESTRING (114.0665968 22.5542968, 114.0666 22.5540569)",,20,,yes
2042197394,2889067743,0,193703722,,residential,False,False,63.998,"LINESTRING (114.0665968 22.5542968, 114.0659736 22.5542999)",,20,,yes
2042197394,2042197404,0,193703722,,residential,False,True,88.672,"LINESTRING (114.0665968 22.5542968, 114.0672304 22.5542964, 114.0672287 22.5540841)",,20,,yes
2042197396,2042197404,0,193703722,,residential,False,False,32.781,"LINESTRING (114.0672262 22.5537893, 114.0672287 22.5540841)",,20,,yes
2042197396,1703698721,0,193703722,,residential,False,True,57.667,"LINESTRING (114.0672262 22.5537893, 114.0672219 22.5532707)",,20,,yes
2042197396,2042197402,0,193703724,,living_street,False,False,64.393,"LINESTRING (114.0672262 22.5537893, 114.0665995 22.5537698)",,,,
2042197398,2042197402,0,193703724,,living_street,False,True,18.094,"LINESTRING (114.0664234 22.5537644, 114.0665995 22.5537698)",,,,
2042197400,2042197402,0,193703719,,residential,False,False,31.924,"LINESTRING (114.0666 22.5540569, 114.0665995 22.5537698)",,20,,yes
2042197400,2042197394,0,193703719,,residential,False,True,26.678,"LINESTRING (114.0666 22.5540569, 114.0665968 22.5542968)",,20,,yes
2042197400,2042197404,0,193703721,,living_street,False,True,64.632,"LINESTRING (114.0666 22.5540569, 114.0672287 22.5540841)",,20,,yes
2042197402,2042197400,0,193703719,,residential,False,True,31.924,"LINESTRING (114.0665995 22.5537698, 114.0666 22.5540569)",,20,,yes
2042197402,2042197398,0,193703724,,living_street,False,False,18.094,"LINESTRING (114.0665995 22.5537698, 114.0664234 22.5537644)",,,,
2042197402,2042197396,0,193703724,,living_street,False,True,64.393,"LINESTRING (114.0665995 22.5537698, 114.0672262 22.5537893)",,,,
2042197404,2042197400,0,193703721,,living_street,False,False,64.632,"LINESTRING (114.0672287 22.5540841, 114.0666 22.5540569)",,20,,yes
2042197404,2042197396,0,193703722,,residential,False,True,32.781,"LINESTRING (114.0672287 22.5540841, 114.0672262 22.5537893)",,20,,yes
2042197404,2042197394,0,193703722,,residential,False,False,88.672,"LINESTRING (114.0672287 22.5540841, 114.0672304 22.5542964, 114.0665968 22.5542968)",,20,,yes
2327294743,8046357066,0,96935144,友谊路,tertiary,False,False,121.22,"LINESTRING (114.0774708 22.5504527, 114.077459 22.5515428)",,20,,
2327294743,2327294749,0,96935414,十一号路,tertiary,False,False,94.68,"LINESTRING (114.0774708 22.5504527, 114.0765489 22.5504424)",,20,,
2327294743,2327294747,0,96935414,十一号路,tertiary,False,True,105.905,"LINESTRING (114.0774708 22.5504527, 114.078502 22.5504642)",,20,,
2327294747,8046357065,0,96935145,航天路,tertiary,False,False,121.338,"LINESTRING (114.078502 22.5504642, 114.0784536 22.5515545)",,20,,
2327294747,2327294743,0,96935414,十一号路,tertiary,False,False,105.905,"LINESTRING (114.078502 22.5504642, 114.0774708 22.5504527)",,20,,
2327294747,1123344043,0,96935414,十一号路,tertiary,False,True,90.284,"LINESTRING (114.078502 22.5504642, 114.0793811 22.550474)",,20,,
2327294749,2327294743,0,96935414,十一号路,tertiary,False,True,94.68,"LINESTRING (114.0765489 22.5504424, 114.0774708 22.5504527)",,20,,
2367560900,2367560907,0,228119757,,residential,False,False,222.34000000000003,"LINESTRING (114.064562 22.5506234, 114.0638405 22.5508042, 114.0633309 22.5508178, 114.0632236 22.5507992, 114.063182 22.5507657, 114.0631418 22.5507187, 114.063119 22.5506567, 114.0631142 22.5500956)",,,,
2367560900,8624031180,0,"[777201476, 228119757]",,residential,False,True,94.41499999999999,"LINESTRING (114.064562 22.5506234, 114.0649148 22.5506281, 114.064902 22.5511512)",,,,
2367560907,2367560900,0,228119757,,residential,False,True,222.33999999999997,"LINESTRING (114.0631142 22.5500956, 114.063119 22.5506567, 114.0631418 22.5507187, 114.063182 22.5507657, 114.0632236 22.5507992, 114.0633309 22.5508178, 114.0638405 22.5508042, 114.064562 22.5506234)",,,,
2787061350,2889056901,0,285221673,,unclassified,False,False,371.249,"LINESTRING (114.0723398 22.5580269, 114.072342 22.5580011, 114.0723429 22.5579781, 114.0723479 22.5578339, 114.0723569 22.5577271, 114.072362 22.5576425, 114.0723827 22.5575428, 114.0723921 22.5574425, 114.0723955 22.5571132, 114.0724163 22.5558572, 114.0724069 22.5546912)",,,,
