u,v,key,osmid,oneway,highway,reversed,length,geometry,ref,name,bridge,lanes,access,tunnel
2278225137,2765242311,0,705776328,False,residential,False,301.69500000000005,"LINESTRING (114.1089852 22.5374501, 114.1089843 22.5374179, 114.1089769 22.5373832, 114.1089674 22.5373469, 114.1089473 22.5372965, 114.1088653 22.5371257, 114.1088396 22.5370938, 114.1087975 22.5370541, 114.1087531 22.5370209, 114.1087003 22.5369871, 114.1085528 22.5369069, 114.1082423 22.5367215, 114.1081598 22.5366617, 114.1080796 22.5365943, 114.1080215 22.5365397, 114.1079604 22.5364936, 114.1078971 22.5364597, 114.1078363 22.5364385, 114.1077603 22.5364215, 114.106568 22.5362507)",,渔民村路,,2,,
2278225158,8244777620,0,886659228,True,primary,False,129.248,"LINESTRING (114.1037184 22.5384548, 114.102921 22.5384441, 114.1028488 22.538441, 114.1027779 22.5384357, 114.1027028 22.5384278, 114.1026141 22.538418, 114.1025276 22.5384105, 114.1024619 22.5384075)",,滨河大道辅路,,,,
2278225176,2278225048,0,"[218587470, 272771519]",True,primary,False,95.403,"LINESTRING (114.104764 22.5376228, 114.1049962 22.5374622, 114.105163 22.537358, 114.1053869 22.5372107, 114.1055218 22.5371269)",,春风路高架桥1号匝道,yes,,,
2278225176,564713502,0,"[996657801, 27082898, 705776324, 27082893]",True,trunk,False,974.5469999999998,"LINESTRING (114.104764 22.5376228, 114.1050219 22.5374877, 114.1057886 22.5370992, 114.1058543 22.5370696, 114.1059803 22.537026, 114.1061141 22.5369948, 114.1062602 22.5369692, 114.1064203 22.5369534, 114.1065751 22.5369521, 114.1067126 22.5369587, 114.1068267 22.5369692, 114.107067 22.5370168, 114.1082343 22.5373339, 114.1086978 22.5374607, 114.1089608 22.5375259, 114.1092179 22.537586, 114.1094718 22.5376356, 114.1121762 22.5380121, 114.1126667 22.5380859, 114.1129 22.5381256, 114.1131239 22.5381727, 114.1133531 22.5382209, 114.1135526 22.5382706, 114.1137281 22.5383179, 114.1139086 22.5383704)",S550,"['春风路高架桥布吉河桥', '滨河大道', '春风路高架桥']",yes,,,
2278225206,2765242311,0,705776329,False,residential,False,130.513,"LINESTRING (114.106568 22.535138, 114.106509 22.5352124, 114.1064339 22.5354205, 114.1064103 22.5357056, 114.1064071 22.535911, 114.1064961 22.536102, 114.106568 22.5362507)",,,,,,
2278242470,2765242298,0,673002401,True,primary,False,54.768,"LINESTRING (114.1094596 22.5378286, 114.1093312 22.5378114, 114.1091772 22.5377817, 114.1091106 22.5377688, 114.10894 22.5377214)",,船步街,,,,
2278242472,6302438942,0,218588988,True,primary_link,False,38.466,"LINESTRING (114.1107291 22.5381282, 114.1107103 22.5380787, 114.1106932 22.5380487, 114.1106606 22.5380181, 114.1106241 22.5379956, 114.1105759 22.5379775, 114.1105134 22.5379645, 114.1104395 22.5379553)",,,,,,
2278242472,2278242470,0,673002402,True,secondary,False,136.711,"LINESTRING (114.1107291 22.5381282, 114.1107101 22.5380992, 114.1106916 22.5380799, 114.1106661 22.5380626, 114.1106366 22.5380513, 114.1105954 22.5380423, 114.1100584 22.537969, 114.1094596 22.5378286)",,船步街,,,,
2278242482,8205488311,0,248028673,True,secondary,False,110.826,"LINESTRING (114.1098012 22.5375999, 114.109986 22.5375906, 114.1102047 22.5376192, 114.1106271 22.5376768, 114.1106778 22.5376822, 114.1107103 22.5376832, 114.1107414 22.5376787, 114.1107699 22.5376696, 114.1107919 22.5376575, 114.1108127 22.5376389, 114.1108278 22.5376212, 114.1108408 22.5376048)",,,,,,
2278242482,6302438958,0,705776325,True,primary,False,17.93,"LINESTRING (114.1098012 22.5375999, 114.1099267 22.5376302, 114.1099699 22.5376414)",,船步街,,,,
