u,v,key,osmid,name,highway,oneway,reversed,length,geometry,lanes,maxspeed,access,tunnel
2323527344,2323527428,0,659870824,上沙建文路,residential,False,False,396.56299999999993,"LINESTRING (114.0271351 22.5264821, 114.0271924 22.5263826, 114.0272335 22.5263201, 114.0276411 22.5258383, 114.0276612 22.5258124, 114.0276764 22.525785, 114.0276892 22.5257546, 114.0276964 22.5257295, 114.0276988 22.5257051, 114.027694 22.5256777, 114.0276796 22.5256525, 114.0276524 22.5256251, 114.027619 22.5255978, 114.0270693 22.5252157, 114.0266012 22.5249161, 114.0265212 22.5248648, 114.0261733 22.5246512, 114.0260686 22.5245767, 114.0259633 22.5244904, 114.0258679 22.5244033, 114.0257674 22.5242887, 114.0255544 22.5240264)",,,,
2323527344,2323527410,0,865978119,上沙建文路,residential,False,True,195.358,"LINESTRING (114.0271351 22.5264821, 114.0270864 22.5265749, 114.0270376 22.5266619, 114.0261905 22.5280066)",,,,
2323527349,2323527471,0,659870819,下沙街,residential,False,False,157.762,"LINESTRING (114.0223945 22.5286338, 114.0223764 22.5286441, 114.0223607 22.5286589, 114.0222403 22.5289168, 114.0217837 22.5299301)",,,,
2323527349,9608997541,0,659870819,下沙街,residential,False,True,9.518,"LINESTRING (114.0223945 22.5286338, 114.0223956 22.5285898, 114.0223928 22.5285483)",,,,
2323527366,3556987069,0,231532388,东头村路,residential,False,False,68.662,"LINESTRING (114.0234826 22.5277432, 114.0234711 22.5271258)",2,,,
2323527366,2323527442,0,659870819,下沙街,residential,False,False,59.997,"LINESTRING (114.0234826 22.5277432, 114.023341 22.5278332, 114.023046 22.5280992)",,,,
2323527366,2323527380,0,659870819,下沙街,residential,False,True,143.519,"LINESTRING (114.0234826 22.5277432, 114.0238789 22.5276129, 114.0246937 22.5272199, 114.0247445 22.5271951)",,,,
2323527380,8068348830,0,223456784,上沙椰树路,residential,True,False,37.087,"LINESTRING (114.0247445 22.5271951, 114.0246577 22.5271215, 114.0245308 22.5269298)",2,,,
2323527380,2323527366,0,659870819,下沙街,residential,False,False,143.519,"LINESTRING (114.0247445 22.5271951, 114.0246937 22.5272199, 114.0238789 22.5276129, 114.0234826 22.5277432)",,,,
2323527380,8577265898,0,923999671,上沙椰树路,residential,False,True,180.693,"LINESTRING (114.0247445 22.5271951, 114.0248742 22.5274054, 114.0251516 22.5279573, 114.0253248 22.5279676, 114.0256902 22.5280677, 114.0259579 22.5281547)",2,,,
