u,v,key,osmid,lanes,name,highway,oneway,reversed,length,geometry,bridge
4995356588,3557993862,0,"[510539781, 510539782, 425322471, 447922063, 771361087]",1,,unclassified,False,"[False, True]",1890.6069999999995,"LINESTRING (114.1349332 22.515546, 114.1351329 22.5156087, 114.1352512 22.5156665, 114.1352884 22.5157477, 114.1353424 22.5159303, 114.1354607 22.5161285, 114.1355215 22.5162253, 114.1355232 22.5162862, 114.1354945 22.5163361, 114.1354354 22.5163704, 114.1353272 22.5163939, 114.1351667 22.5164485, 114.1350467 22.5165031, 114.1349572 22.5165687, 114.134932 22.5166236, 114.13492 22.5166498, 114.1349099 22.5167373, 114.1349234 22.5169011, 114.1349116 22.5169683, 114.1348795 22.5170323, 114.1348136 22.5170916, 114.1347274 22.5171743, 114.1347122 22.5172071, 114.1347105 22.5172711, 114.1347341 22.5173273, 114.1348305 22.5174396, 114.1348929 22.5174709, 114.1349495 22.5174857, 114.1349197 22.5175465, 114.1348687 22.5176134, 114.1348352 22.5176282, 114.1347802 22.517632, 114.1346957 22.5176097, 114.1345281 22.5175279, 114.1344141 22.5174982, 114.1343055 22.5174821, 114.1341848 22.5174957, 114.1340426 22.5174659, 114.1338991 22.5174077, 114.1335652 22.5171773, 114.1335124 22.5171715, 114.1334619 22.517186, 114.1333989 22.5172293, 114.1333091 22.517296, 114.1332339 22.5173993, 114.1331953 22.5174575, 114.13312 22.5175214, 114.1330367 22.5175946, 114.1330265 22.5176228, 114.1330082 22.5177223, 114.1328721 22.5179307, 114.132618 22.5181805, 114.132559 22.5183044, 114.1325773 22.5184471, 114.132561 22.5185372, 114.1325407 22.5185691, 114.1324553 22.5186029, 114.1323598 22.5185954, 114.1322378 22.518541, 114.1321504 22.518526, 114.1320953 22.5185352, 114.1318119 22.51877, 114.1317325 22.5188127, 114.1316247 22.5188219, 114.1314999 22.518792, 114.1314267 22.5187676, 114.1313867 22.5187543, 114.1313027 22.5187522, 114.1312172 22.5187664, 114.1310824 22.5188048, 114.1309872 22.5188626, 114.1309499 22.5188853, 114.130849 22.5189671, 114.1308167 22.5189906, 114.1307797 22.5190055, 114.1307348 22.5190152, 114.1306382 22.5190313, 114.1305538 22.519071, 114.1304942 22.5191163, 114.1304545 22.5191465, 114.1304116 22.5192209, 114.1303928 22.5192667, 114.1303647 22.5193101, 114.1303244 22.5193348, 114.1302761 22.5193361, 114.1302279 22.5193175, 114.1301782 22.5192679, 114.1300312 22.5190164, 114.1299798 22.5189285, 114.1299596 22.5188715, 114.1299529 22.5186882, 114.1299368 22.5186151, 114.1299193 22.5185701, 114.1298233 22.5183228, 114.1297732 22.5180923, 114.129708 22.5179387, 114.1296016 22.5176884, 114.1295372 22.5176116, 114.1294406 22.5175695, 114.1293535 22.517572, 114.1292207 22.5176091, 114.1290195 22.5177021, 114.1288063 22.5178507, 114.1287094 22.5179382, 114.1284841 22.5182913, 114.1284519 22.5183619, 114.1283419 22.5187843, 114.1283097 22.5188661, 114.1282548 22.5189999, 114.1282427 22.5191027, 114.1282427 22.519156, 114.1282628 22.5192241, 114.1283513 22.5193802, 114.1283406 22.5194323, 114.1283151 22.5194769, 114.1282566 22.5194968, 114.1281989 22.5194906, 114.1280823 22.5194299, 114.1276719 22.5191574, 114.1275995 22.5191338, 114.1275458 22.51914, 114.127531 22.5191498, 114.1274895 22.5191772, 114.1273487 22.5193283, 114.127224 22.5194497, 114.1271556 22.5194931, 114.1270451 22.5195581, 114.1269712 22.5195767, 114.1268894 22.5195756, 114.1266756 22.5195236, 114.1265654 22.5194647, 114.1262153 22.5192717, 114.1261875 22.5191971, 114.126194 22.5190652, 114.1262769 22.5186866, 114.12621 22.518516, 114.1261843 22.5185018, 114.1261202 22.5184664, 114.125976 22.5184311, 114.1259566 22.5184263, 114.1256548 22.5184651, 114.1254286 22.5184616, 114.1252682 22.5184035, 114.1252622 22.5184014, 114.125108 22.5183508)",
6779293973,7829788858,0,839037656,,祝運街 Chuk Wan Street,residential,False,True,7.039,"LINESTRING (114.1212337 22.5108648, 114.1211684 22.510884)",
6779293986,7829788858,0,839037656,,祝運街 Chuk Wan Street,residential,False,False,49.012,"LINESTRING (114.1207484 22.5110779, 114.1208058 22.5110199, 114.1208385 22.5110008, 114.1208954 22.5109777, 114.1211684 22.510884)",
6779293991,6779293973,0,147463784,,寶運路 Po Wan Road,tertiary,True,False,240.89800000000002,"LINESTRING (114.1227465 22.5124534, 114.1225354 22.5123054, 114.122272 22.5121389, 114.1219818 22.5119257, 114.1217852 22.5117646, 114.1217191 22.5116843, 114.1216142 22.5115568, 114.1213562 22.511177, 114.1212337 22.5108648)",
6779293991,637864113,0,722711546,,寶運路 Po Wan Road,tertiary,False,False,230.335,"LINESTRING (114.1227465 22.5124534, 114.1229791 22.512563, 114.123564 22.5128331, 114.1239454 22.512966, 114.1244865 22.5131021, 114.1248422 22.5131462)",
6779293999,6779294001,0,50177997,,馬會道 Jockey Club Road,secondary,True,False,8.551,"LINESTRING (114.1261155 22.5130437, 114.1261215 22.5131204)",
6779293999,637864759,0,722711548,,寶運路 Po Wan Road,tertiary,True,False,87.736,"LINESTRING (114.1261155 22.5130437, 114.1260243 22.5130532, 114.1259878 22.5130562, 114.1255925 22.5130889, 114.1252707 22.5131513)",
6779294000,6779293999,0,722711548,,寶運路 Po Wan Road,tertiary,True,False,7.947,"LINESTRING (114.1261925 22.5130368, 114.1261155 22.5130437)",
6779294001,6779294002,0,722711547,,寶運路 Po Wan Road,tertiary,True,False,8.181,"LINESTRING (114.1261215 22.5131204, 114.1262011 22.5131228)",
6779294001,8857061474,0,"[50177997, 146667542]",2,馬會道 Jockey Club Road,secondary,True,False,72.003,"LINESTRING (114.1261215 22.5131204, 114.1261352 22.5132276, 114.1261626 22.5135644, 114.126221 22.5137589)",
