u,v,key,osmid,bridge,oneway,highway,reversed,length,lanes,ref,name,geometry,access,maxspeed
2530287134,8869177733,0,996750280,,True,secondary,False,10.592,2,,福民路,"LINESTRING (114.0632183 22.5259538, 114.0631223 22.5259886)",,
2530287134,500020991,0,1036811496,,True,primary,False,419.14700000000005,3,,福强路,"LINESTRING (114.0632183 22.5259538, 114.0632167 22.5260466, 114.0632164 22.5260641, 114.0632155 22.5261138, 114.0631686 22.5288287, 114.0631531 22.5297228)",,
2784297880,500020948,0,"[24561417, 273593614]",yes,True,motorway_link,False,665.4950000000001,,,,"LINESTRING (114.070038 22.5263526, 114.0698602 22.5263868, 114.0697071 22.5264111, 114.0695487 22.5264383, 114.0694084 22.5264642, 114.0690109 22.5265537, 114.0688831 22.5265845, 114.068753 22.5266233, 114.0675268 22.5270179, 114.0674792 22.5270326, 114.0674159 22.5270466, 114.0673607 22.5270574, 114.0673059 22.5270593, 114.0672479 22.527051, 114.0671976 22.5270342, 114.067161 22.5270157, 114.0671278 22.5269886, 114.0671007 22.526958, 114.0670798 22.5269254, 114.0670613 22.5268893, 114.0670004 22.5267695, 114.0664341 22.5255773, 114.0660754 22.5247681, 114.0659708 22.5245343, 114.0658839 22.5243374, 114.0657568 22.5240798)",,
2784297880,2784845951,0,572614477,,True,primary,False,83.68100000000001,,,百合路,"LINESTRING (114.070038 22.5263526, 114.0694925 22.5265309, 114.0693723 22.5265626, 114.0692642 22.5265862)",,
2784308457,503466762,0,273593618,,True,primary,False,13.839,,,百合路,"LINESTRING (114.0709843 22.5258704, 114.0710707 22.5257749)",,
2784308457,8882319735,0,960020007,,True,secondary,False,11.777,2,,,"LINESTRING (114.0709843 22.5258704, 114.0710906 22.5258307)",,
2784308457,2784308501,0,572614478,,True,primary,False,252.43699999999998,,,福田南路,"LINESTRING (114.0709843 22.5258704, 114.0709206 22.5256961, 114.0701977 22.5237196)",,
2784308459,2784308457,0,572614478,,True,primary,False,18.744,,,福田南路,"LINESTRING (114.0710427 22.5260301, 114.0709843 22.5258704)",,
2784308459,2784297880,0,572614477,,True,primary,False,109.24799999999999,,,百合路,"LINESTRING (114.0710427 22.5260301, 114.0709454 22.5260613, 114.070038 22.5263526)",,
2784308483,1492217234,0,273649892,,False,residential,True,10.98,,,,"LINESTRING (114.0717392 22.5279293, 114.0718407 22.5278983)",,
2784308483,2784308484,0,572614476,,True,tertiary,False,80.316,,,福田南路,"LINESTRING (114.0717392 22.5279293, 114.0714964 22.5272427)",,
2784308483,2784845946,0,273649892,,False,residential,False,19.611,,,,"LINESTRING (114.0717392 22.5279293, 114.0716334 22.5279604, 114.0715574 22.5279832)",,
2784308484,1492217229,0,135960951,,False,unclassified,False,10.202,,,,"LINESTRING (114.0714964 22.5272427, 114.0715903 22.5272128)",,
2784308484,2784308499,0,572614476,,True,tertiary,False,45.805,,,福田南路,"LINESTRING (114.0714964 22.5272427, 114.0713445 22.5268554)",,
2784308485,2784308483,0,572614476,,True,tertiary,False,97.752,,,福田南路,"LINESTRING (114.072055 22.5287586, 114.0717392 22.5279293)",,
2784308486,2784308485,0,885105260,,True,primary,False,9.823,,,,"LINESTRING (114.0721461 22.5287317, 114.072055 22.5287586)",,
2784308499,2784308459,0,572614476,,True,tertiary,False,96.86300000000001,,,福田南路,"LINESTRING (114.0713445 22.5268554, 114.0711009 22.5261894, 114.0710912 22.5261629, 114.0710427 22.5260301)",,
2784308499,2784845984,0,691561878,,False,residential,True,19.3,,,,"LINESTRING (114.0713445 22.5268554, 114.0712449 22.5268871, 114.0711665 22.526911)",,
2784308501,7637610186,0,46875309,,True,tertiary,False,198.11300000000003,,,百合三路,"LINESTRING (114.0701977 22.5237196, 114.0694472 22.5239485, 114.0693326 22.5239849, 114.0692021 22.5240263, 114.0690842 22.5240636, 114.0689715 22.5240993, 114.0688559 22.524136, 114.0687312 22.5241755, 114.0686067 22.524215, 114.0684818 22.5242545, 114.0683704 22.5242899)",,
2784308501,598508611,0,572614478,,True,primary,False,79.66,,,福田南路,"LINESTRING (114.0701977 22.5237196, 114.0701909 22.5236782, 114.0701875 22.5236286, 114.0701906 22.5235839, 114.0701873 22.5235408, 114.0701777 22.5235029, 114.0700236 22.5231014, 114.0700255 22.5230295)",,
2784845946,2784845984,0,273649890,,False,residential,False,125.802,,,,"LINESTRING (114.0715574 22.5279832, 114.0711665 22.526911)",,
2784845946,2784845982,0,"[273649892, 691561879]",,False,residential,False,281.58700000000005,,,,"LINESTRING (114.0715574 22.5279832, 114.07072 22.528234, 114.0701072 22.5284175, 114.0697175 22.5273525)",,
2784845946,2784308483,0,273649892,,False,residential,True,19.611,,,,"LINESTRING (114.0715574 22.5279832, 114.0716334 22.5279604, 114.0717392 22.5279293)",,
2784845948,7719250780,0,283873819,,False,unclassified,False,156.866,,,百合二路,"LINESTRING (114.0670481 22.5254689, 114.0684938 22.5250141)",,
