u,v,key,osmid,oneway,lanes,name,highway,reversed,length,bridge,geometry,ref,tunnel
2429850302,2528808214,0,245744465,False,,香水二街,residential,False,140.23,,"LINESTRING (114.0184815 22.5587472, 114.0171159 22.5587455)",,
2429850302,2429850304,0,234860383,False,,四号路,residential,False,127.135,,"LINESTRING (114.0184815 22.5587472, 114.0186757 22.5588165, 114.0186505 22.5597673)",,
2429850302,2528808162,0,234860383,False,,四号路,residential,True,254.399,,"LINESTRING (114.0184815 22.5587472, 114.0184954 22.5583247, 114.0185402 22.55646)",,
2429850304,2429850302,0,234860383,False,,四号路,residential,True,127.135,,"LINESTRING (114.0186505 22.5597673, 114.0186757 22.5588165, 114.0184815 22.5587472)",,
2528808075,2528808291,0,245744487,False,,,unclassified,True,5.317,,"LINESTRING (114.0192969 22.5564357, 114.0192955 22.5564835)",,
2528808075,2528808333,0,245744462,False,,,unclassified,True,36.926,,"LINESTRING (114.0192969 22.5564357, 114.0193126 22.5564032, 114.0193318 22.5563808, 114.0193677 22.5563578, 114.0194182 22.5563469, 114.0194621 22.5563532, 114.0194881 22.5563645, 114.0195216 22.5563922, 114.0195415 22.5564264, 114.0195467 22.5564578)",,
2528808075,2528808320,0,245744487,False,,,unclassified,False,39.152,,"LINESTRING (114.0192969 22.5564357, 114.0192922 22.5564073, 114.0192762 22.5563832, 114.0192423 22.5563551, 114.0192159 22.5563436, 114.0191714 22.5563373, 114.0191202 22.5563483, 114.0190839 22.5563716, 114.0190643 22.5563944, 114.0190483 22.5564319, 114.0190474 22.5564576)",,
2528808162,2528808320,0,245744482,False,,,unclassified,False,52.084,,"LINESTRING (114.0185402 22.55646, 114.0190474 22.5564576)",,
2528808162,2429850302,0,234860383,False,,四号路,residential,False,254.399,,"LINESTRING (114.0185402 22.55646, 114.0184954 22.5583247, 114.0184815 22.5587472)",,
2528808162,2429850300,0,234860383,False,,四号路,residential,True,97.004,,"LINESTRING (114.0185402 22.55646, 114.0185593 22.5556649, 114.018546 22.5555888)",,
2528808214,2429850302,0,245744465,False,,香水二街,residential,True,140.23,,"LINESTRING (114.0171159 22.5587455, 114.0184815 22.5587472)",,
2528808214,6695243960,0,712070999,False,,香水三街,residential,True,40.811,,"LINESTRING (114.0171159 22.5587455, 114.0170992 22.5591122)",,
2528808214,8000064223,0,"[245744481, 712070999]",False,,"['香水三街', '二号路']",residential,"[False, True]",346.235,,"LINESTRING (114.0171159 22.5587455, 114.0171178 22.558336, 114.0171056 22.5570215, 114.0171121 22.5556318)",,
2528808273,8000086875,0,245743599,True,,,primary_link,False,103.13400000000001,,"LINESTRING (114.0164436 22.5555423, 114.0164169 22.5555438, 114.0163932 22.5555459, 114.0163626 22.5555502, 114.0163311 22.5555559, 114.0163001 22.555563, 114.0162698 22.5555707, 114.0162381 22.5555797, 114.016208 22.5555889, 114.0161826 22.5555974, 114.0161604 22.5556055, 114.0161393 22.5556136, 114.0161204 22.555622, 114.0161039 22.5556304, 114.0160866 22.55564, 114.0160717 22.5556494, 114.0160559 22.5556601, 114.0160399 22.5556728, 114.0160218 22.5556892, 114.0160081 22.5557041, 114.0159951 22.5557208, 114.0159846 22.5557365, 114.0159742 22.555754, 114.0159648 22.5557736, 114.0157886 22.5561423)",,
2528808273,8000086883,0,633620744,True,,侨香路,primary,False,53.815,,"LINESTRING (114.0164436 22.5555423, 114.0161027 22.5555348, 114.0159197 22.5555307)",,
2528808291,2528808075,0,245744487,False,,,unclassified,False,5.317,,"LINESTRING (114.0192955 22.5564835, 114.0192969 22.5564357)",,
2528808291,2528808333,0,245744462,False,,,unclassified,False,39.36900000000001,,"LINESTRING (114.0192955 22.5564835, 114.0193088 22.5565192, 114.0193366 22.556552, 114.0193736 22.5565732, 114.019431 22.5565814, 114.019474 22.5565711, 114.0195241 22.5565332, 114.0195437 22.5564957, 114.0195483 22.5564677, 114.0195467 22.5564578)",,
2528808291,2528808320,0,245744487,False,,,unclassified,True,37.878,,"LINESTRING (114.0192955 22.5564835, 114.0192818 22.5565167, 114.0192605 22.5565429, 114.019228 22.5565646, 114.0191843 22.556575, 114.0191262 22.5565667, 114.0190887 22.5565452, 114.0190605 22.5565119, 114.0190469 22.5564735, 114.0190474 22.5564576)",,
2528808320,2528808162,0,245744482,False,,,unclassified,True,52.084,,"LINESTRING (114.0190474 22.5564576, 114.0185402 22.55646)",,
2528808320,2528808291,0,245744487,False,,,unclassified,False,37.878,,"LINESTRING (114.0190474 22.5564576, 114.0190469 22.5564735, 114.0190605 22.5565119, 114.0190887 22.5565452, 114.0191262 22.5565667, 114.0191843 22.556575, 114.019228 22.5565646, 114.0192605 22.5565429, 114.0192818 22.5565167, 114.0192955 22.5564835)",,
2528808320,2528808075,0,245744487,False,,,unclassified,True,39.152,,"LINESTRING (114.0190474 22.5564576, 114.0190483 22.5564319, 114.0190643 22.5563944, 114.0190839 22.5563716, 114.0191202 22.5563483, 114.0191714 22.5563373, 114.0192159 22.5563436, 114.0192423 22.5563551, 114.0192762 22.5563832, 114.0192922 22.5564073, 114.0192969 22.5564357)",,
2528808333,2528808075,0,245744462,False,,,unclassified,False,36.926,,"LINESTRING (114.0195467 22.5564578, 114.0195415 22.5564264, 114.0195216 22.5563922, 114.0194881 22.5563645, 114.0194621 22.5563532, 114.0194182 22.5563469, 114.0193677 22.5563578, 114.0193318 22.5563808, 114.0193126 22.5564032, 114.0192969 22.5564357)",,
2528808333,2528808291,0,245744462,False,,,unclassified,True,39.369,,"LINESTRING (114.0195467 22.5564578, 114.0195483 22.5564677, 114.0195437 22.5564957, 114.0195241 22.5565332, 114.019474 22.5565711, 114.019431 22.5565814, 114.0193736 22.5565732, 114.0193366 22.556552, 114.0193088 22.5565192, 114.0192955 22.5564835)",,
2529006265,2529006268,0,245770387,False,,,residential,True,41.087,,"LINESTRING (114.0140183 22.5554921, 114.0138832 22.5558399)",,
2529006265,8000064264,0,1067522789,True,,侨香路,primary,False,142.184,,"LINESTRING (114.0140183 22.5554921, 114.012634 22.5554656)",,
2529006268,2529006265,0,245770387,False,,,residential,False,41.087,,"LINESTRING (114.0138832 22.5558399, 114.0140183 22.5554921)",,
2529006268,2529006374,0,245770388,False,,,residential,False,993.7940000000002,,"LINESTRING (114.0138832 22.5558399, 114.0114622 22.5558226, 114.0113174 22.55583, 114.0112128 22.5558548, 114.0111216 22.5559068, 114.0110465 22.5559811, 114.0109955 22.5560654, 114.0109794 22.5561595, 114.0109821 22.5564741, 114.0110112 22.5568304, 114.0110062 22.5569075, 114.0109602 22.5569864, 114.0107675 22.5572296, 114.0107434 22.5573039, 114.0107591 22.5573654, 114.0108074 22.5574373, 114.0110541 22.5577072, 114.0110917 22.557732, 114.0111453 22.5577419, 114.012798 22.5577473, 114.0129478 22.5577271, 114.0131601 22.5576754, 114.0136669 22.5575441, 114.0137448 22.5574896, 114.0138226 22.5574302, 114.0138628 22.5573732, 114.0138843 22.5572989, 114.0138923 22.5572246, 114.0139057 22.5567069, 114.0139164 22.5566549, 114.0139402 22.5566273, 114.0139942 22.5566103, 114.0147836 22.5566617, 114.0149089 22.5566698)",,
2529006268,2529006374,1,245770388,False,,,residential,True,194.35200000000003,,"LINESTRING (114.0138832 22.5558399, 114.0148901 22.5559068, 114.0149437 22.5559217, 114.0149732 22.5559489, 114.014984 22.5560059, 114.0149089 22.5566698)",,
2529006374,5273698163,0,545681212,False,,,residential,False,21.708,,"LINESTRING (114.0149089 22.5566698, 114.0151198 22.5566832)",,
2529006374,2529006268,0,245770388,False,,,residential,False,194.35200000000003,,"LINESTRING (114.0149089 22.5566698, 114.014984 22.5560059, 114.0149732 22.5559489, 114.0149437 22.5559217, 114.0148901 22.5559068, 114.0138832 22.5558399)",,
2529006374,2529006268,1,245770388,False,,,residential,True,993.7940000000001,,"LINESTRING (114.0149089 22.5566698, 114.0147836 22.5566617, 114.0139942 22.5566103, 114.0139402 22.5566273, 114.0139164 22.5566549, 114.0139057 22.5567069, 114.0138923 22.5572246, 114.0138843 22.5572989, 114.0138628 22.5573732, 114.0138226 22.5574302, 114.0137448 22.5574896, 114.0136669 22.5575441, 114.0131601 22.5576754, 114.0129478 22.5577271, 114.012798 22.5577473, 114.0111453 22.5577419, 114.0110917 22.557732, 114.0110541 22.5577072, 114.0108074 22.5574373, 114.0107591 22.5573654, 114.0107434 22.5573039, 114.0107675 22.5572296, 114.0109602 22.5569864, 114.0110062 22.5569075, 114.0110112 22.5568304, 114.0109821 22.5564741, 114.0109794 22.5561595, 114.0109955 22.5560654, 114.0110465 22.5559811, 114.0111216 22.5559068, 114.0112128 22.5558548, 114.0113174 22.55583, 114.0114622 22.5558226, 114.0138832 22.5558399)",,
3811078865,1476460473,0,"[377719592, 545781205]",True,,,primary_link,False,255.90099999999998,yes,"LINESTRING (114.0151341 22.55918, 114.0151988 22.5594397, 114.0152348 22.559525, 114.015267 22.5595864, 114.0153092 22.5596422, 114.0153748 22.5597114, 114.0154593 22.5597745, 114.0155398 22.5598133, 114.0156182 22.5598412, 114.0156973 22.559857, 114.0157701 22.5598639, 114.0164407 22.559877, 114.0165895 22.5598797, 114.0167232 22.5598853, 114.0169 22.5598956, 114.0171876 22.559922)",,
3969348466,1116534581,0,96336945,True,,香蜜湖路辅路,primary_link,False,83.757,,"LINESTRING (114.0177098 22.5523063, 114.0173785 22.5529946)",,
3969348466,5273698158,0,"[96336938, 535064404, 96336927]",True,2,香蜜湖路,primary,False,742.5340000000002,yes,"LINESTRING (114.0177098 22.5523063, 114.0170252 22.5532804, 114.0163871 22.554208, 114.016324 22.5543069, 114.0162488 22.5544297, 114.0161715 22.5545674, 114.0160987 22.5547083, 114.016031 22.5548541, 114.0159727 22.5549885, 114.0159108 22.5551358, 114.0158562 22.555277, 114.0158186 22.5553807, 114.0157877 22.5554734, 114.0157577 22.5555767, 114.0157348 22.5556656, 114.0157142 22.555755, 114.0155448 22.5565368, 114.0153165 22.557842, 114.0151957 22.5584555)",,
3969348508,7283556629,0,393889283,False,,安托山七路,tertiary,True,478.51800000000003,,"LINESTRING (114.0056839 22.5561398, 114.0059465 22.555591, 114.0062223 22.5550532, 114.0062878 22.554958, 114.0063729 22.5548595, 114.0064673 22.5547865, 114.0065861 22.5547172, 114.0073174 22.554353, 114.0074088 22.5543197, 114.0075741 22.5542253, 114.007699 22.5541371, 114.0080919 22.5538399, 114.0085084 22.5534714, 114.0088747 22.5531875)",,
3969348508,3969348511,0,1080952212,True,,北环大道,tertiary,False,488.034,,"LINESTRING (114.0056839 22.5561398, 114.0060226 22.5562706, 114.0065932 22.5565079, 114.0078905 22.557048, 114.0099943 22.557987)",,
3969348511,7283540933,0,"[246568360, 245743602, 686377687]",False,,安托山九路,tertiary,False,223.291,,"LINESTRING (114.0099943 22.557987, 114.0098805 22.5581483, 114.0094271 22.5588394, 114.0092146 22.5591844, 114.0091581 22.5592831, 114.0091246 22.5593574, 114.0090964 22.5594365, 114.0090809 22.5595025, 114.0090729 22.559564, 114.0090674 22.5596328, 114.0090636 22.5597082, 114.0090572 22.5597692)",,yes
3969348511,582492767,0,245743602,False,,安托山九路,tertiary,True,306.214,,"LINESTRING (114.0099943 22.557987, 114.0107264 22.5568615, 114.0107567 22.5567723, 114.0107704 22.5566578, 114.010794 22.5555407, 114.010794 22.5554258)",,
3969348511,1116534646,0,686377688,True,,北环大道,tertiary,False,362.709,,"LINESTRING (114.0099943 22.557987, 114.0119259 22.5588519, 114.0126849 22.5591613, 114.012805 22.5592167, 114.0131817 22.5593915)",,
4899192522,4899192524,0,996207975,True,1,北环大道辅路,primary,False,81.762,,"LINESTRING (114.0087565 22.5583244, 114.0086113 22.5582314, 114.0082695 22.5580099, 114.008105 22.5579017)",,
4899192524,587647106,0,"[1052079688, 1052079686, 1052079687]",True,,北环大道,trunk,False,821.6510000000001,,"LINESTRING (114.008105 22.5579017, 114.0071914 22.5574936, 114.0064321 22.5571441, 114.0053935 22.5567064, 114.0051533 22.5566051, 114.0047499 22.5564466, 114.0043652 22.5563042, 114.0040541 22.5562051, 114.0037107 22.5561061, 114.0033889 22.5560367, 114.0030241 22.5559872, 114.0026057 22.5559475, 114.0021336 22.5559376, 114.0013611 22.5559475, 114.000535 22.5559376)",G107,
5053179213,7283556781,0,780036983,True,,禾镰二路,residential,False,83.146,,"LINESTRING (114.0083867 22.5592645, 114.0088457 22.5598805)",,
5053179213,4899192522,0,517912111,True,,,primary_link,False,149.147,,"LINESTRING (114.0083867 22.5592645, 114.0084695 22.5592552, 114.0085617 22.5592373, 114.0086798 22.559207, 114.0087608 22.5591701, 114.0088412 22.5591101, 114.0088939 22.5590555, 114.0089341 22.5589928, 114.0089663 22.5589213, 114.0089861 22.5588465, 114.0089932 22.5587663, 114.0089817 22.5586889, 114.0089593 22.558601, 114.008921 22.5585295, 114.0088616 22.5584381, 114.0087565 22.5583244)",,
5053181449,4899192522,0,996207975,True,1,北环大道辅路,primary,False,149.871,,"LINESTRING (114.0100392 22.5589674, 114.0087565 22.5583244)",,
5053181449,2535929937,0,517912108,True,,,primary_link,False,156.774,,"LINESTRING (114.0100392 22.5589674, 114.0099557 22.5589743, 114.0098786 22.5589825, 114.0098031 22.5589942, 114.0097257 22.5590152, 114.0096591 22.5590388, 114.0096003 22.5590665, 114.009546 22.5591054, 114.0095091 22.5591453, 114.0094733 22.5591996, 114.0093723 22.5593784, 114.0092855 22.559532, 114.0092433 22.5595958, 114.0091981 22.5596615, 114.0090214 22.5598912)",,
5194055705,1342322910,0,119460311,False,,侨香四道,residential,False,165.462,,"LINESTRING (114.005592 22.5516769, 114.0039809 22.5516573)",,
5194055705,8986992883,0,536079049,False,,弘毅路,residential,False,173.955,,"LINESTRING (114.005592 22.5516769, 114.0055983 22.5501125)",,
