u,v,key,osmid,oneway,ref,name,highway,reversed,length,geometry,lanes,bridge
3068068014,3068084300,0,302558529,False,,洪湖五街,residential,False,13.413,"LINESTRING (114.1161398 22.560851, 114.1160971 22.560965)",,
3068068014,3068068039,0,302558539,False,,洪湖四街,residential,True,57.271,"LINESTRING (114.1161398 22.560851, 114.1155991 22.5607247)",,
3068068014,3068068024,0,302558529,False,,洪湖五街,residential,True,82.83099999999999,"LINESTRING (114.1161398 22.560851, 114.1162133 22.5607173, 114.116342 22.5605191, 114.1165935 22.560239)",,
3068068016,3068068024,0,302558538,False,,,residential,True,66.194,"LINESTRING (114.1159891 22.560032, 114.1165935 22.560239)",,
3068068017,3068068025,0,302558529,False,,洪湖五街,residential,False,47.14,"LINESTRING (114.1153743 22.5636368, 114.115267 22.564049)",,
3068068017,3068068011,0,302558529,False,,洪湖五街,residential,True,46.899,"LINESTRING (114.1153743 22.5636368, 114.115481 22.5632267)",,
3068068017,3068068036,0,302558541,False,,,residential,False,96.851,"LINESTRING (114.1153743 22.5636368, 114.114443 22.5634989)",,
3068068020,567623234,0,302558532,False,,,residential,True,47.465,"LINESTRING (114.1182864 22.5625979, 114.118723 22.5627381)",,
3068068020,3068068008,0,302558537,False,,,residential,False,27.942,"LINESTRING (114.1182864 22.5625979, 114.1181906 22.5628331)",,
3068068020,3068068026,0,302558532,False,,,residential,False,78.349,"LINESTRING (114.1182864 22.5625979, 114.1182196 22.5625527, 114.1175549 22.5624194)",,
3068068020,3068068012,0,302558537,False,,,residential,True,160.617,"LINESTRING (114.1182864 22.5625979, 114.1183778 22.5624214, 114.118823 22.5612422)",,
3068068021,3068068010,0,302558530,False,,,residential,False,106.75,"LINESTRING (114.1179975 22.5605295, 114.1172941 22.5612364)",,
3068068021,3068068012,0,302558531,False,,洪湖一街,residential,False,116.41000000000001,"LINESTRING (114.1179975 22.5605295, 114.118241 22.5607916, 114.1186702 22.5611334, 114.118823 22.5612422)",,
3068068022,3068068003,0,302558528,False,,,residential,True,122.191,"LINESTRING (114.1171199 22.5645937, 114.1173677 22.5635189)",,
3068068024,3068068016,0,302558538,False,,,residential,False,66.194,"LINESTRING (114.1165935 22.560239, 114.1159891 22.560032)",,
3068068024,3068068014,0,302558529,False,,洪湖五街,residential,False,82.831,"LINESTRING (114.1165935 22.560239, 114.116342 22.5605191, 114.1162133 22.5607173, 114.1161398 22.560851)",,
3068068024,3068084313,0,"[302560104, 302558538]",False,,,residential,"[False, True]",133.225,"LINESTRING (114.1165935 22.560239, 114.1169817 22.5604475, 114.1165459 22.5608312, 114.1164694 22.5610473)",,
3068068025,3068068017,0,302558529,False,,洪湖五街,residential,True,47.14,"LINESTRING (114.115267 22.564049, 114.1153743 22.5636368)",,
3068068026,3068068020,0,302558532,False,,,residential,True,78.349,"LINESTRING (114.1175549 22.5624194, 114.1182196 22.5625527, 114.1182864 22.5625979)",,
3068068036,3068068017,0,302558541,False,,,residential,True,96.851,"LINESTRING (114.114443 22.5634989, 114.1153743 22.5636368)",,
3068068038,3068068041,0,302558536,False,,,residential,False,77.386,"LINESTRING (114.1152244 22.5621484, 114.1144904 22.5619906)",,
3068068038,3068068044,0,302558536,False,,,residential,True,54.266,"LINESTRING (114.1152244 22.5621484, 114.1157391 22.5622591)",,
3068068038,3068068039,0,302558540,False,,,residential,False,162.917,"LINESTRING (114.1152244 22.5621484, 114.1155991 22.5607247)",,
3068068039,3068068014,0,302558539,False,,洪湖四街,residential,False,57.271,"LINESTRING (114.1155991 22.5607247, 114.1161398 22.560851)",,
3068068039,2883525900,0,302558539,False,,洪湖四街,residential,True,81.331,"LINESTRING (114.1155991 22.5607247, 114.1148329 22.5605394)",,
3068068039,3068068038,0,302558540,False,,,residential,True,162.917,"LINESTRING (114.1155991 22.5607247, 114.1152244 22.5621484)",,
3068068041,3068068009,0,284630252,True,,洪湖路,tertiary,False,118.48,"LINESTRING (114.1144904 22.5619906, 114.1142399 22.5630307)",,
3068068041,3068068038,0,302558536,False,,,residential,True,77.386,"LINESTRING (114.1144904 22.5619906, 114.1152244 22.5621484)",,
3068068044,3068084279,0,302558529,False,,洪湖五街,residential,False,38.341,"LINESTRING (114.1157391 22.5622591, 114.1156498 22.5625939)",,
3068068044,3068068006,0,302558529,False,,洪湖五街,residential,True,27.53,"LINESTRING (114.1157391 22.5622591, 114.1158032 22.5620187)",,
3068068044,3068068038,0,302558536,False,,,residential,False,54.266,"LINESTRING (114.1157391 22.5622591, 114.1152244 22.5621484)",,
3068084263,3068068006,0,302558533,False,,,residential,False,41.498,"LINESTRING (114.116195 22.5621102, 114.1158032 22.5620187)",,
3068084263,3068068004,0,302558533,False,,,residential,True,83.227,"LINESTRING (114.116195 22.5621102, 114.1169808 22.5622936)",,
3068084263,3068084266,0,302560109,False,,,residential,False,113.983,"LINESTRING (114.116195 22.5621102, 114.1163682 22.5614839, 114.1159694 22.5613958)",,
3068084266,3068068006,0,302558529,False,,洪湖五街,residential,False,71.335,"LINESTRING (114.1159694 22.5613958, 114.1158032 22.5620187)",,
