u,v,key,osmid,oneway,highway,reversed,length,geometry,ref,name,bridge,lanes
7056288457,7430210320,0,755410122,True,primary_link,False,81.453,"LINESTRING (114.0815984 22.5736148, 114.0815658 22.5734731, 114.0815507 22.573389, 114.0815381 22.5732838, 114.0815301 22.5728873)",,,yes,
7192203684,2312654050,0,770533098,True,motorway_link,False,296.097,"LINESTRING (114.0989073 22.5731422, 114.0988324 22.5746422, 114.0988281 22.5747987, 114.0988302 22.574946, 114.0988414 22.5751178, 114.0988553 22.5752487, 114.0988696 22.5753692, 114.0988875 22.5754944, 114.0989122 22.5756147, 114.0989531 22.5757946)",,,yes,
7430210320,7430210345,0,"[996207936, 960743138, 794405933]",True,primary_link,False,234.41799999999998,"LINESTRING (114.0815301 22.5728873, 114.0815204 22.5722558, 114.0815221 22.5721785, 114.0815269 22.5721075, 114.0815375 22.5720317, 114.0815508 22.5719697, 114.0815741 22.5718982, 114.081602 22.5718302, 114.0816386 22.571755, 114.0816752 22.5716877, 114.0817142 22.5716299, 114.0817556 22.5715762, 114.0818081 22.5715175, 114.0818736 22.5714548, 114.0819383 22.5713999, 114.0820081 22.5713462, 114.0820785 22.5712971, 114.0821761 22.571237, 114.0823783 22.5711005)",,,yes,
7430210340,8887790556,0,794405935,True,tertiary,False,5.67,"LINESTRING (114.0833048 22.5732072, 114.0832803 22.5731615)",,银湖路,,
7460143707,7056288467,0,"[797641299, 797641301]",True,primary_link,False,132.664,"LINESTRING (114.0822815 22.5725021, 114.0822528 22.5725342, 114.0821862 22.5726153, 114.0821338 22.5726869, 114.0820833 22.5727686, 114.0820252 22.5728729, 114.0819751 22.5729753, 114.0819351 22.5730683, 114.0819003 22.5731662, 114.0818727 22.5732653, 114.081831 22.5734146, 114.0817921 22.5735909)",,,yes,
7836292286,8887741215,0,960743151,True,residential,False,8.908,"LINESTRING (114.0801303 22.5738383, 114.0800738 22.5737775)",,珠环一路,,
7836292303,8887741189,0,794405944,True,primary_link,False,70.489,"LINESTRING (114.0829252 22.5735348, 114.0829696 22.5735105, 114.083005 22.5734854, 114.083036 22.5734569, 114.0830667 22.5734213, 114.0830959 22.5733748, 114.0831205 22.5733251, 114.0831381 22.5732772, 114.0831521 22.5732301, 114.0831592 22.5731884, 114.0831595 22.5731365, 114.083152 22.5730819, 114.0831402 22.573034, 114.0831236 22.5729832)",,,,
7836292303,8887741110,0,839775431,True,tertiary,False,25.261,"LINESTRING (114.0829252 22.5735348, 114.0830422 22.5734996, 114.0831561 22.5734568)",,珠岭路,,
7836292317,2312634464,0,996247136,True,primary,False,33.61,"LINESTRING (114.0835671 22.5717296, 114.0834248 22.5718081, 114.0832816 22.5718772)",,北环大道辅路,,
8259776042,8259776065,0,996207925,False,tertiary,False,234.771,"LINESTRING (114.083539 22.5737955, 114.0835403 22.5738349, 114.0835396 22.5738706, 114.0835369 22.573908, 114.0835328 22.5739435, 114.0835264 22.5739804, 114.0835173 22.5740178, 114.0834952 22.5740939, 114.0834707 22.5741724, 114.0834445 22.5742499, 114.0833699 22.5744505, 114.0833209 22.5745669, 114.0832602 22.5746779, 114.0832012 22.5747784, 114.0831323 22.5748851, 114.0830564 22.5749864, 114.0829916 22.5750616, 114.0829251 22.5751328, 114.0828503 22.5752039, 114.0824519 22.5755901)",,银湖路,,2
8259776042,8887790559,0,996207928,True,tertiary,False,42.896,"LINESTRING (114.083539 22.5737955, 114.0835356 22.5737519, 114.0835302 22.573708, 114.083524 22.5736672, 114.0835169 22.5736326, 114.0835087 22.5736007, 114.083494 22.5735573, 114.0834758 22.5735131, 114.083456 22.5734777, 114.0834281 22.5734279)",,银湖路,,
8259776065,2312616833,0,888419182,False,residential,True,89.345,"LINESTRING (114.0824519 22.5755901, 114.0829457 22.5762517)",,,,
8259776065,8259776111,0,996207925,False,tertiary,False,267.6769999999999,"LINESTRING (114.0824519 22.5755901, 114.0807846 22.5772045, 114.0807498 22.5772363, 114.0807188 22.5772698, 114.0806914 22.5773058, 114.0806676 22.577343)",,银湖路,,2
8259776065,8259776042,0,996207925,False,tertiary,True,234.77100000000002,"LINESTRING (114.0824519 22.5755901, 114.0828503 22.5752039, 114.0829251 22.5751328, 114.0829916 22.5750616, 114.0830564 22.5749864, 114.0831323 22.5748851, 114.0832012 22.5747784, 114.0832602 22.5746779, 114.0833209 22.5745669, 114.0833699 22.5744505, 114.0834445 22.5742499, 114.0834707 22.5741724, 114.0834952 22.5740939, 114.0835173 22.5740178, 114.0835264 22.5739804, 114.0835328 22.5739435, 114.0835369 22.573908, 114.0835396 22.5738706, 114.0835403 22.5738349, 114.083539 22.5737955)",,银湖路,,2
8259776111,2312616841,0,888419182,False,residential,False,69.896,"LINESTRING (114.0806676 22.577343, 114.0807134 22.5773657, 114.0807603 22.577395, 114.0808038 22.5774264, 114.0808486 22.5774667, 114.0808892 22.5775155, 114.0810727 22.5778309)",,,,
8259776111,8259776065,0,996207925,False,tertiary,True,267.677,"LINESTRING (114.0806676 22.577343, 114.0806914 22.5773058, 114.0807188 22.5772698, 114.0807498 22.5772363, 114.0807846 22.5772045, 114.0824519 22.5755901)",,银湖路,,2
8259797224,8259797225,0,996207934,True,tertiary,False,8.822,"LINESTRING (114.0833955 22.5733695, 114.0834775 22.5733458)",,金湖路,,
8259797224,7430210340,0,996207935,True,tertiary,False,20.308,"LINESTRING (114.0833955 22.5733695, 114.0833048 22.5732072)",,银湖路,,
8259797225,8887790560,0,996247143,True,tertiary,False,5.6,"LINESTRING (114.0834775 22.5733458, 114.0834922 22.5733943)",,银湖路,,
8259797225,7836292317,0,"[996247144, 996247145, 839775435]",True,residential,False,244.629,"LINESTRING (114.0834775 22.5733458, 114.0835129 22.5732989, 114.083546 22.5732753, 114.0836021 22.5732526, 114.0840753 22.5731198, 114.0841282 22.5730947, 114.0841668 22.573063, 114.0841907 22.5730348, 114.084208 22.5730029, 114.0842114 22.5729681, 114.0842083 22.5729365, 114.0842 22.5729055, 114.0840681 22.5725654, 114.0840071 22.5724284, 114.0839832 22.5723792, 114.0839507 22.5723179, 114.0836241 22.5718146, 114.0835671 22.5717296)",,,,
8259797225,8259797231,0,996207934,True,tertiary,False,36.214,"LINESTRING (114.0834775 22.5733458, 114.0835721 22.5733215, 114.0836679 22.5733, 114.0838203 22.5732696)",,金湖路,,
8259797231,2312634414,0,222278887,False,tertiary,True,399.65700000000004,"LINESTRING (114.0838203 22.5732696, 114.0843617 22.5731573, 114.0843982 22.5731477, 114.0844345 22.5731379, 114.0844766 22.573126, 114.0845157 22.5731131, 114.0845543 22.5730996, 114.0845909 22.5730856, 114.0846266 22.5730706, 114.0864508 22.5723005, 114.0865111 22.5722758, 114.0865729 22.572254, 114.0866375 22.5722331, 114.087352 22.5720251, 114.0874483 22.5719985)",,金湖路,,
8259797231,8887790560,0,996207927,True,tertiary,False,36.454,"LINESTRING (114.0838203 22.5732696, 114.0835874 22.5733527, 114.0835565 22.5733649, 114.0834922 22.5733943)",,金湖路,,
8272791974,2700790246,0,222960002,False,residential,False,222.54500000000002,"LINESTRING (114.0983077 22.5770589, 114.0981137 22.5770691, 114.0973398 22.5770912, 114.0972655 22.5771115, 114.0972044 22.5771483, 114.0965628 22.577914)",,,,
8272791974,2312634477,0,1050682034,False,tertiary,False,132.57,"LINESTRING (114.0983077 22.5770589, 114.0983019 22.5770193, 114.098294 22.576939, 114.0982454 22.5758683)",,金湖路,,
8272791974,8272800684,0,1050682034,False,tertiary,True,71.913,"LINESTRING (114.0983077 22.5770589, 114.0983173 22.5771028, 114.0983285 22.5771459, 114.0983419 22.5771883, 114.0983543 22.5772236, 114.0983695 22.5772608, 114.0983858 22.5772979, 114.0984656 22.5774741, 114.0985695 22.5776559)",,金湖路,,
8272800623,2312634477,0,222282172,False,residential,True,39.492,"LINESTRING (114.0986229 22.5758002, 114.0982454 22.5758683)",,,,
8272800623,581064885,0,889994891,True,secondary,False,230.56900000000002,"LINESTRING (114.0986229 22.5758002, 114.0985973 22.5756551, 114.09857 22.5752127, 114.0985307 22.5744729, 114.0985614 22.5737307)",,红岗路,,
8272800653,2323494873,0,223453064,False,residential,False,142.409,"LINESTRING (114.0939217 22.5723105, 114.0934735 22.5735225)",,,,
8272800653,8272800654,0,894257283,False,tertiary,False,86.25,"LINESTRING (114.0939217 22.5723105, 114.0931185 22.5720834)",,金湖路,,
8272800653,2312634475,0,894257283,False,tertiary,True,263.386,"LINESTRING (114.0939217 22.5723105, 114.0961007 22.5729267, 114.0961533 22.5729456, 114.096202 22.5729661, 114.0962471 22.5729865, 114.0962949 22.57301, 114.0963575 22.5730428)",,金湖路,,
8272800654,8272800653,0,894257283,False,tertiary,True,86.25,"LINESTRING (114.0931185 22.5720834, 114.0939217 22.5723105)",,金湖路,,
8272800654,8280321588,0,1049939557,False,tertiary,False,112.166,"LINESTRING (114.0931185 22.5720834, 114.0920726 22.5717922)",,金湖路,,
