u,v,key,osmid,oneway,lanes,highway,reversed,length,geometry,ref,name,maxspeed,bridge
5053181252,5053181727,0,517912139,False,,residential,False,94.642,"LINESTRING (114.0018762 22.564018, 114.0017403 22.5643841, 114.0017289 22.5648481)",,,,
5053181252,5053181733,0,517912141,False,,residential,False,93.72999999999999,"LINESTRING (114.0018762 22.564018, 114.0018559 22.5639436, 114.0018458 22.5638614, 114.0018458 22.5637754, 114.0018579 22.5636857, 114.0019308 22.563437, 114.0020644 22.5632202)",,,,
5053181274,5053181223,0,545681209,False,,residential,False,112.447,"LINESTRING (114.0108301 22.565206, 114.0111544 22.5661719)",,莲塘尾一路,,
5053181274,5053181472,0,517912117,False,,residential,False,205.59799999999998,"LINESTRING (114.0108301 22.565206, 114.0101431 22.5653074, 114.0100688 22.5653184, 114.0100034 22.5653651, 114.0099172 22.5654227, 114.0098429 22.5654584, 114.0097537 22.5654776, 114.0096824 22.5654556, 114.0096438 22.5654172, 114.0091301 22.5649318)",,,,
5053181274,5053181448,0,545681209,False,,residential,True,86.41,"LINESTRING (114.0108301 22.565206, 114.0108424 22.5645357, 114.0108416 22.564429)",,莲塘尾一路,,
5053181275,5053181448,0,545681209,False,,residential,False,10.095,"LINESTRING (114.0108287 22.564339, 114.0108416 22.564429)",,莲塘尾一路,,
5053181275,5053181472,0,517912071,False,,residential,False,189.75199999999998,"LINESTRING (114.0108287 22.564339, 114.0105105 22.5644311, 114.0094517 22.5647053, 114.0093351 22.5647464, 114.0092439 22.5648077, 114.0091871 22.5648555, 114.0091301 22.5649318)",,莲塘尾一路,,
5053181275,5053181226,0,517912183,False,,residential,True,392.67100000000005,"LINESTRING (114.0108287 22.564339, 114.0107993 22.5642304, 114.0107617 22.5641368, 114.0107159 22.5640469, 114.010666 22.5639759, 114.0106036 22.5638918, 114.0105291 22.5638021, 114.0104333 22.5637063, 114.0103558 22.5636335, 114.0102472 22.5635528, 114.0101305 22.5634833, 114.0100158 22.563421, 114.009895 22.5633681, 114.009751 22.5633148, 114.0092892 22.5631417, 114.009154 22.5630934, 114.0090106 22.5630338, 114.0088835 22.5629693, 114.0087683 22.5629022, 114.0086572 22.5628238, 114.0078995 22.5622367)",,莲塘尾一路,,
5053181284,5053181223,0,517912081,False,,residential,False,174.307,"LINESTRING (114.0095432 22.5666655, 114.0111544 22.5661719)",,莲塘尾二路,,
5053181284,5053181472,0,517912071,False,,residential,True,206.51699999999997,"LINESTRING (114.0095432 22.5666655, 114.009479 22.566513, 114.0090437 22.5654797, 114.0090022 22.5653674, 114.0089898 22.565253, 114.0090048 22.5651568, 114.0090416 22.565066, 114.0091301 22.5649318)",,莲塘尾一路,,
5053181284,5053181306,0,"[780036985, 996207977]",False,,residential,False,514.326,"LINESTRING (114.0095432 22.5666655, 114.0100757 22.5683188, 114.0099928 22.5683416, 114.0098926 22.5683687, 114.0097873 22.5683929, 114.0096879 22.5684099, 114.009583 22.5684222, 114.009476 22.5684301, 114.0081519 22.5684276, 114.0080347 22.5683999, 114.0079505 22.5683499, 114.0078724 22.568275, 114.0078544 22.5681862, 114.0078634 22.5681113, 114.0078874 22.5680447, 114.0079025 22.5679753, 114.0079355 22.5679031, 114.0079325 22.5678227, 114.0078994 22.5677366, 114.0078484 22.5676867, 114.0077462 22.5676673, 114.007659 22.5676562)",,莲塘尾一路,,
