u,v,key,osmid,oneway,name,highway,reversed,length,geometry,ref,lanes
3066529992,3066529985,0,302394748,False,罗湖新泰街,residential,True,62.434,"LINESTRING (114.1347715 22.5685852, 114.1344336 22.569052)",,
3066529992,3066529959,0,302394738,False,,residential,False,179.87599999999998,"LINESTRING (114.1347715 22.5685852, 114.1342284 22.5678684, 114.1348842 22.5674382)",,
3066529992,3066529115,0,302394748,False,罗湖新泰街,residential,False,181.923,"LINESTRING (114.1347715 22.5685852, 114.1354125 22.5676774, 114.1355328 22.5675442, 114.1358434 22.5672966)",,
3066529993,3066530010,0,302394740,False,,residential,True,130.497,"LINESTRING (114.1308212 22.568624, 114.1320921 22.5686285)",,
3066530005,3066529989,0,595870093,True,爱国路,trunk,False,26.705,"LINESTRING (114.1363181 22.5670366, 114.1364813 22.5672236)",G107;S360,
3066530005,9761601796,0,685048782,True,沿河北路辅路,primary,False,45.730000000000004,"LINESTRING (114.1363181 22.5670366, 114.1363873 22.5669597, 114.1364158 22.5669297, 114.1366031 22.5667206)",S360,
3066530007,5678021987,0,595870092,True,爱国路,trunk,False,25.373,"LINESTRING (114.1363947 22.5673148, 114.1362438 22.5671341)",G107,
3066530010,3066529993,0,302394740,False,,residential,False,130.497,"LINESTRING (114.1320921 22.5686285, 114.1308212 22.568624)",,
3066530010,3066529094,0,302394740,False,,residential,True,63.17,"LINESTRING (114.1320921 22.5686285, 114.1322691 22.5684849, 114.132548 22.5682471)",,
3066530010,3066529985,0,302394754,False,,residential,False,289.14200000000005,"LINESTRING (114.1320921 22.5686285, 114.1323345 22.5689966, 114.1325421 22.56932, 114.1327224 22.5692378, 114.1328291 22.5692061, 114.132945 22.5691982, 114.1337282 22.5692006, 114.1339154 22.5691962, 114.1340737 22.5691665, 114.1342754 22.569109, 114.1344336 22.569052)",,
3066592183,3066592203,0,302401700,False,,residential,True,83.127,"LINESTRING (114.1366158 22.5623229, 114.1361759 22.5625929, 114.135964 22.5627638)",,
3066592191,3066592203,0,302401700,False,,residential,False,98.618,"LINESTRING (114.1353179 22.56342, 114.135964 22.5627638)",,
3066592191,3066594150,0,302401702,False,,residential,False,39.535,"LINESTRING (114.1353179 22.56342, 114.1355714 22.5636876)",,
3066592191,3066594188,0,302401702,False,,residential,True,138.296,"LINESTRING (114.1353179 22.56342, 114.1352354 22.5633329, 114.135154 22.5632865, 114.1350762 22.5632666, 114.1350092 22.563279, 114.1349099 22.5633187, 114.1347634 22.563427, 114.1346319 22.5635633, 114.1345371 22.5636654, 114.1342466 22.5638242)",,
3066592194,3066594155,0,302401695,False,,residential,True,176.19,"LINESTRING (114.1337885 22.5619157, 114.1332801 22.5614529, 114.1335456 22.5611681, 114.1335966 22.561064, 114.1336315 22.5609749, 114.1338601 22.5607078)",,
3066592203,3066592191,0,302401700,False,,residential,True,98.618,"LINESTRING (114.135964 22.5627638, 114.1353179 22.56342)",,
3066592203,3066594168,0,302401686,False,,residential,False,35.369,"LINESTRING (114.135964 22.5627638, 114.1359667 22.5626722, 114.1359435 22.5626295, 114.1358094 22.5625007)",,
3066592203,3066592183,0,302401700,False,,residential,False,83.127,"LINESTRING (114.135964 22.5627638, 114.1361759 22.5625929, 114.1366158 22.5623229)",,
3066592209,3066594167,0,31420408,False,黄贝路,tertiary,False,53.724,"LINESTRING (114.1370748 22.5616267, 114.1373547 22.5620349)",,2
3066592209,3066594157,0,302401704,False,,residential,False,78.145,"LINESTRING (114.1370748 22.5616267, 114.1364612 22.5620424)",,
3066592209,4472714012,0,31420408,False,黄贝路,tertiary,True,103.538,"LINESTRING (114.1370748 22.5616267, 114.1369024 22.5613754, 114.1367664 22.5611802, 114.136531 22.5608426)",,2
3066592211,2921637327,0,288609714,True,爱国路,trunk,False,67.827,"LINESTRING (114.1344134 22.5648091, 114.1348185 22.5652909)",G107,
3066592211,3066594150,0,302401698,False,,residential,False,174.21599999999998,"LINESTRING (114.1344134 22.5648091, 114.1350352 22.564264, 114.1350662 22.564238, 114.1352361 22.5640956, 114.1354044 22.5639546, 114.1354634 22.5638828, 114.1354849 22.5638184, 114.1355134 22.5637422, 114.1355714 22.5636876)",,
3066592222,3066594155,0,302401690,False,,residential,True,48.582,"LINESTRING (114.1342127 22.5609991, 114.1339707 22.5607992, 114.1338601 22.5607078)",,
3066592224,3066594188,0,302401703,False,翠芳街,residential,True,323.545,"LINESTRING (114.1354634 22.5613959, 114.1352184 22.5613644, 114.135154 22.5613817, 114.1351281 22.5614182, 114.1350611 22.5616436, 114.1349824 22.5619093, 114.1348617 22.562261, 114.1348492 22.5623421, 114.134859 22.562422, 114.1348322 22.5625706, 114.1347973 22.5626548, 114.1347678 22.5628307, 114.1347571 22.5629323, 114.1347231 22.5630059, 114.1346319 22.5631273, 114.1345505 22.5632765, 114.1345073 22.5633944, 114.1344844 22.5634567, 114.1344013 22.5636153, 114.1342466 22.5638242)",,
3066592228,3066594174,0,288609714,True,爱国路,trunk,False,279.31,"LINESTRING (114.1321804 22.562216, 114.1332135 22.5634373, 114.1338676 22.5641862)",G107,
3066592229,6726061676,0,302401683,False,,residential,False,265.744,"LINESTRING (114.133433 22.5630406, 114.1329307 22.5624392, 114.132404 22.5618174, 114.1326392 22.5615915, 114.1328297 22.5614086, 114.1326248 22.5612107)",,
3066592232,6726061676,0,257756108,True,怡景路,primary,False,125.628,"LINESTRING (114.1334305 22.5603605, 114.1326248 22.5612107)",,
3066592232,3066594155,0,302401690,False,,residential,False,58.629,"LINESTRING (114.1334305 22.5603605, 114.1338601 22.5607078)",,
3066594150,3066592191,0,302401702,False,,residential,True,39.535,"LINESTRING (114.1355714 22.5636876, 114.1353179 22.56342)",,
3066594150,3066594172,0,302401698,False,,residential,False,29.387999999999998,"LINESTRING (114.1355714 22.5636876, 114.135728 22.5636085, 114.1358299 22.5635763)",,
3066594150,3066592211,0,302401698,False,,residential,True,174.216,"LINESTRING (114.1355714 22.5636876, 114.1355134 22.5637422, 114.1354849 22.5638184, 114.1354634 22.5638828, 114.1354044 22.5639546, 114.1352361 22.5640956, 114.1350662 22.564238, 114.1350352 22.564264, 114.1344134 22.5648091)",,
3066594155,3066592232,0,302401690,False,,residential,True,58.629,"LINESTRING (114.1338601 22.5607078, 114.1334305 22.5603605)",,
3066594155,3066592222,0,302401690,False,,residential,False,48.582,"LINESTRING (114.1338601 22.5607078, 114.1339707 22.5607992, 114.1342127 22.5609991)",,
3066594155,3066592194,0,302401695,False,,residential,False,176.19,"LINESTRING (114.1338601 22.5607078, 114.1336315 22.5609749, 114.1335966 22.561064, 114.1335456 22.5611681, 114.1332801 22.5614529, 114.1337885 22.5619157)",,
3066594157,3066592209,0,302401704,False,,residential,True,78.145,"LINESTRING (114.1364612 22.5620424, 114.1370748 22.5616267)",,
3066594159,3066594167,0,302401691,False,,residential,True,252.60399999999998,"LINESTRING (114.1362895 22.5636673, 114.1359667 22.5633632, 114.1373547 22.5620349)",,
3066594167,4472714272,0,31420408,False,黄贝路,tertiary,False,68.475,"LINESTRING (114.1373547 22.5620349, 114.1377213 22.5625493)",,2
3066594167,3066592209,0,31420408,False,黄贝路,tertiary,True,53.724,"LINESTRING (114.1373547 22.5620349, 114.1370748 22.5616267)",,2
3066594167,3066594159,0,302401691,False,,residential,False,252.60399999999998,"LINESTRING (114.1373547 22.5620349, 114.1359667 22.5633632, 114.1362895 22.5636673)",,
3066594168,3066592203,0,302401686,False,,residential,True,35.369,"LINESTRING (114.1358094 22.5625007, 114.1359435 22.5626295, 114.1359667 22.5626722, 114.135964 22.5627638)",,
