u,v,key,osmid,oneway,name,highway,reversed,length,geometry,maxspeed,lanes
8401821746,7979256877,0,1036826642,True,景田西路,tertiary,False,144.63899999999998,"LINESTRING (114.0354661 22.5530041, 114.0357244 22.5518374, 114.0357498 22.55173)",,
8401821747,8401821746,0,996207968,False,,residential,False,9.449,"LINESTRING (114.0355563 22.5530209, 114.0354661 22.5530041)",,
8401821747,8404878517,0,"[996207966, 905034279]",False,,residential,True,65.952,"LINESTRING (114.0355563 22.5530209, 114.0360216 22.5531053, 114.0361865 22.5531352)",,
8401821747,7979925076,0,996207967,True,景田西路,tertiary,False,225.42899999999997,"LINESTRING (114.0355563 22.5530209, 114.0352001 22.5546052, 114.0351693 22.554742, 114.0351586 22.5547928, 114.0351539 22.5548321, 114.0351522 22.5548695, 114.035153 22.5549079, 114.0351555 22.5549389, 114.0351602 22.5549701, 114.0351692 22.555009)",,
8404878517,8401821747,0,"[996207966, 905034279]",False,,residential,False,65.952,"LINESTRING (114.0361865 22.5531352, 114.0360216 22.5531053, 114.0355563 22.5530209)",,
9393609008,9393609010,0,223463854,False,,residential,False,1.902,"LINESTRING (114.0204879 22.5510933, 114.0205033 22.5511028)",,
9393609008,9393609009,0,1018440681,False,,unclassified,False,2.841,"LINESTRING (114.0204879 22.5510933, 114.0205134 22.5510834)",,
9393609009,9393609010,0,1018440681,False,,unclassified,False,2.394,"LINESTRING (114.0205134 22.5510834, 114.0205033 22.5511028)",,
9393609009,9393609008,0,1018440681,False,,unclassified,True,2.841,"LINESTRING (114.0205134 22.5510834, 114.0204879 22.5510933)",,
9393609009,9393609020,0,1018440686,False,,living_street,False,12.823,"LINESTRING (114.0205134 22.5510834, 114.0205845 22.5509886)",,
9393609010,2323667288,0,223463854,False,,residential,False,88.819,"LINESTRING (114.0205033 22.5511028, 114.021223 22.5515458)",,
9393609010,9393609008,0,223463854,False,,residential,True,1.902,"LINESTRING (114.0205033 22.5511028, 114.0204879 22.5510933)",,
9393609010,9393609009,0,1018440681,False,,unclassified,True,2.394,"LINESTRING (114.0205033 22.5511028, 114.0205134 22.5510834)",,
9393609013,2323667288,0,1018440682,False,,unclassified,True,16.89,"LINESTRING (114.0213055 22.5514144, 114.021223 22.5515458)",,
9393609013,9393609016,0,"[1018440682, 1018440684]",False,,"['unclassified', 'living_street']",False,266.37300000000005,"LINESTRING (114.0213055 22.5514144, 114.0218917 22.5504813, 114.0218696 22.5504071, 114.0210567 22.5498969, 114.0208728 22.5501823)",,
9393609013,9393609020,0,"[1018440683, 1018440687]",False,,living_street,"[False, True]",87.911,"LINESTRING (114.0213055 22.5514144, 114.0206887 22.5510583, 114.0205845 22.5509886)",,
9393609016,9393609013,0,"[1018440682, 1018440684]",False,,"['unclassified', 'living_street']",True,266.373,"LINESTRING (114.0208728 22.5501823, 114.0210567 22.5498969, 114.0218696 22.5504071, 114.0218917 22.5504813, 114.0213055 22.5514144)",,
9393609017,9393609020,0,"[1018440685, 1018440686]",False,,living_street,"[False, True]",71.093,"LINESTRING (114.0204291 22.5505597, 114.0206551 22.5506979, 114.0207553 22.5507606, 114.0205845 22.5509886)",,
9393609020,9393609009,0,1018440686,False,,living_street,True,12.823,"LINESTRING (114.0205845 22.5509886, 114.0205134 22.5510834)",,
9393609020,9393609017,0,"[1018440685, 1018440686]",False,,living_street,"[False, True]",71.093,"LINESTRING (114.0205845 22.5509886, 114.0207553 22.5507606, 114.0206551 22.5506979, 114.0204291 22.5505597)",,
9393609020,9393609013,0,"[1018440683, 1018440687]",False,,living_street,"[False, True]",87.911,"LINESTRING (114.0205845 22.5509886, 114.0206887 22.5510583, 114.0213055 22.5514144)",,
9670127827,2528808123,0,245744469,False,,unclassified,True,236.646,"LINESTRING (114.0228124 22.5576643, 114.0223804 22.5576684, 114.022375 22.5574428, 114.0221882 22.5572789, 114.0222074 22.5560134)",,
