u,v,key,osmid,oneway,highway,reversed,length,geometry,ref,name,lanes,maxspeed,access,bridge,tunnel
7959603264,7959603265,0,996208013,True,secondary,False,12.377,"LINESTRING (114.0512208 22.5373484, 114.0513413 22.5373497)",,福华路,3,,,,
7959603264,9732895756,0,996752254,True,secondary,False,39.413,"LINESTRING (114.0512208 22.5373484, 114.0512228 22.5372358, 114.051224 22.5371683, 114.0512272 22.536994)",,益田路,3,,,,
7959603265,7959603254,0,996208014,True,secondary,False,17.571,"LINESTRING (114.0513413 22.5373497, 114.0513387 22.5375077)",,益田路,3,,,,
7959603265,7959603128,0,31560815,True,secondary,False,37.522999999999996,"LINESTRING (114.0513413 22.5373497, 114.0515093 22.5373524, 114.0517066 22.5373556)",,福华路,3,,,,
7959603266,7959602898,0,923158001,False,tertiary,True,17.382,"LINESTRING (114.0533596 22.537382, 114.0533568 22.5375383)",,中心四路,3,,,,
7959603266,7959603233,0,"[1052079659, 1052079660, 1052079654]",True,secondary,False,268.557,"LINESTRING (114.0533596 22.537382, 114.0534876 22.537384, 114.0535599 22.5373852, 114.053945 22.5373914, 114.0553761 22.5374142, 114.0557566 22.5374203, 114.0558423 22.5374217, 114.0559741 22.5374236)",,福华路,3,,,,
7959603270,7959603271,0,853286925,True,tertiary,False,12.46,"LINESTRING (114.0511833 22.539432, 114.0513046 22.5394341)",,福华一路,,,,,
7959603270,4848304360,0,996208006,True,secondary,False,38.568,"LINESTRING (114.0511833 22.539432, 114.0511846 22.5393627, 114.0511856 22.5393057, 114.0511896 22.5390852)",,益田路,3,,,,
7959603271,7959603272,0,996208010,True,secondary,False,8.498,"LINESTRING (114.0513046 22.5394341, 114.0513024 22.5395105)",,益田路,3,,,,
7959603271,4848304365,0,1050725167,True,tertiary,False,26.419,"LINESTRING (114.0513046 22.5394341, 114.0514558 22.5394365, 114.0515618 22.5394382)",,福华一路,,,,,
7959603272,7959603093,0,853286926,True,tertiary,False,12.367,"LINESTRING (114.0513024 22.5395105, 114.051182 22.5395088)",,福华一路,,,,,
7959603272,4848304353,0,996208010,True,secondary,False,34.574,"LINESTRING (114.0513024 22.5395105, 114.0512978 22.5398214)",,益田路,3,,,,
7959932859,7959603210,0,853286926,True,tertiary,False,178.22299999999998,"LINESTRING (114.0576793 22.5396125, 114.056126 22.539579, 114.0561233 22.539579, 114.05606 22.5395779, 114.0559444 22.539576)",,福华一路,,,,,
7959932863,7959932864,0,26274672,True,secondary,False,8.007,"LINESTRING (114.05795 22.5396253, 114.057951 22.5395533)",,金田路,3,,,,
7959932863,7959932859,0,996208003,True,tertiary,False,27.838,"LINESTRING (114.05795 22.5396253, 114.0578363 22.5396198, 114.0576793 22.5396125)",,福华一路,,,,,
7959932864,5834799157,0,26274672,True,secondary,False,34.495,"LINESTRING (114.057951 22.5395533, 114.057955 22.5392431)",,金田路,3,,,,
7959932864,7959590839,0,996208009,True,tertiary,False,17.315,"LINESTRING (114.057951 22.5395533, 114.0581184 22.5395718)",,福华一路,,,,,
7959932869,7959990662,0,26274672,True,secondary,False,39.143,"LINESTRING (114.0579718 22.5379601, 114.0579741 22.5377892, 114.0579751 22.5377082, 114.0579764 22.5376081)",,金田路,3,,,,
7959932869,7959603239,0,692087618,True,secondary_link,False,56.588,"LINESTRING (114.0579718 22.5379601, 114.0579313 22.5378399, 114.0579078 22.5377849, 114.0578871 22.5377495, 114.0578636 22.5377206, 114.0578594 22.5377169, 114.0578356 22.5376959, 114.0578007 22.5376735, 114.0577601 22.5376516, 114.0577114 22.5376306, 114.0576308 22.5376029)",,,1,,,,
7959932870,7959990653,0,1052079655,True,secondary,False,16.915,"LINESTRING (114.0581548 22.5374587, 114.0581521 22.5376108)",,金田路,3,,,,
7959932870,7959990587,0,1051842296,True,secondary,False,41.949,"LINESTRING (114.0581548 22.5374587, 114.058241 22.53746, 114.0583114 22.5374611, 114.0585632 22.5374651)",,福华路,3,,,,
7959932876,2751405416,0,270044920,False,unclassified,True,127.2,"LINESTRING (114.057991 22.5365006, 114.057851 22.5365005, 114.0567526 22.5364863)",,岗福西街,,,,,
7959932876,7959990664,0,1051842295,True,secondary,False,110.47900000000001,"LINESTRING (114.057991 22.5365006, 114.0580016 22.5356895, 114.0580019 22.5356222, 114.0580028 22.5355071)",,金田路,3,,,,
7959932877,7959590839,0,1051842293,True,secondary,False,184.194,"LINESTRING (114.0581454 22.5379155, 114.058119 22.5394201, 114.0581184 22.5395718)",,金田路,3,,,,
7959932878,2751405381,0,40998256,True,secondary,False,70.985,"LINESTRING (114.0581831 22.5358694, 114.0581717 22.5365077)",,金田路,3,,,,
7959932880,7959932882,0,40998268,True,primary_link,False,213.11,"LINESTRING (114.0580032 22.5353524, 114.0578971 22.5352763, 114.0578584 22.535226, 114.0578309 22.5351757, 114.0578133 22.535107, 114.0578455 22.5335717, 114.0578469 22.5335035)",,金田路辅路,,,,,
7959932880,6496421043,0,996752251,True,secondary,False,24.162,"LINESTRING (114.0580032 22.5353524, 114.0580038 22.5352358, 114.0580043 22.5351351)",,金田路,3,,,,
7959932882,7959932883,0,40998268,True,primary_link,False,57.843,"LINESTRING (114.0578469 22.5335035, 114.0578578 22.5329834)",,金田路辅路,,,,,
7959932882,6033496395,0,640466716,True,secondary_link,False,30.758,"LINESTRING (114.0578469 22.5335035, 114.0578737 22.5334652, 114.0578959 22.5334446, 114.0579242 22.5334204, 114.0579906 22.5333725, 114.058015 22.5333502, 114.0580317 22.5333283, 114.0580447 22.5333008)",,,,,,,
7959932883,8109971632,0,40998268,True,primary_link,False,147.37800000000001,"LINESTRING (114.0578578 22.5329834, 114.0578715 22.5321537, 114.0578691 22.5320985, 114.0578632 22.5320568, 114.0578537 22.5320225, 114.0578401 22.5319914, 114.057824 22.5319653, 114.057804 22.5319413, 114.0577811 22.5319178, 114.0577604 22.5319008, 114.0577303 22.5318801, 114.0576945 22.5318607, 114.0576507 22.5318416, 114.0576094 22.5318251, 114.0575556 22.5318081)",,金田路辅路,,,,,
7959990507,6033482475,0,996752263,True,secondary,False,129.34199999999998,"LINESTRING (114.058227 22.5336739, 114.0582117 22.5344298, 114.0582035 22.5348369)",,金田路,3,,,,
7959990553,7959990554,0,776141710,False,unclassified,True,8.563,"LINESTRING (114.0592371 22.5336402, 114.0592383 22.5335632)",,中心七路,,,,,
7959990553,7249081499,0,853337017,True,tertiary,False,21.748,"LINESTRING (114.0592371 22.5336402, 114.0590254 22.533636)",,福华五路,,,,,
7959990553,7959990637,0,776141710,False,unclassified,False,195.84799999999998,"LINESTRING (114.0592371 22.5336402, 114.0592161 22.5349084, 114.0592096 22.5353017, 114.0592079 22.5354013)",,中心七路,,,,,
7959990554,7959990553,0,776141710,False,unclassified,False,8.563,"LINESTRING (114.0592383 22.5335632, 114.0592371 22.5336402)",,中心七路,,,,,
7959990555,7249081500,0,776897368,False,unclassified,False,181.576,"LINESTRING (114.0590269 22.5335581, 114.0590576 22.5319254)",,中心七路,,,,,
7959990555,7249081499,0,776897368,False,unclassified,True,8.663,"LINESTRING (114.0590269 22.5335581, 114.0590254 22.533636)",,中心七路,,,,,
7959990555,7959990554,0,808268027,True,tertiary,False,21.719,"LINESTRING (114.0590269 22.5335581, 114.0592383 22.5335632)",,福华五路,,,,,
7959990565,7959932877,0,692087621,True,secondary_link,False,45.367000000000004,"LINESTRING (114.0584001 22.5376146, 114.0583261 22.5376394, 114.0582622 22.5376815, 114.0582076 22.5377385, 114.0581736 22.5378116, 114.0581454 22.5379155)",,,1,,,,
7959990565,7959990653,0,1050532719,True,secondary,False,25.473999999999997,"LINESTRING (114.0584001 22.5376146, 114.0583106 22.5376133, 114.0582394 22.5376121, 114.0581521 22.5376108)",,福华路,3,,,,
7959990587,7959602911,0,1051842296,True,secondary,False,41.827,"LINESTRING (114.0585632 22.5374651, 114.0589704 22.5374715)",,福华路,3,,,,
