u,v,key,osmid,highway,oneway,reversed,length,geometry,name,lanes,bridge
2312598261,2312598356,0,222274997,residential,False,True,95.167,"LINESTRING (114.0725733 22.5863455, 114.0726459 22.5863876, 114.0727307 22.5864368, 114.0727396 22.5864465, 114.0727441 22.5864615, 114.072746 22.5864762, 114.0727412 22.5864929, 114.0726747 22.5865932, 114.0725778 22.5867248, 114.0725153 22.5868038, 114.0724732 22.5868309, 114.0724147 22.5868558, 114.0723563 22.5868704, 114.0722635 22.5868828)",,,
2312598261,2312585300,0,222274999,residential,False,True,101.433,"LINESTRING (114.0725733 22.5863455, 114.0724445 22.5864628, 114.0724128 22.586461, 114.0723834 22.5864377, 114.0723375 22.5864067, 114.0722448 22.5863706, 114.0721665 22.5863662, 114.0721279 22.5863648, 114.0720915 22.5863725, 114.0720611 22.5863943, 114.0720172 22.5864494, 114.0719578 22.5865343, 114.0719011 22.5866042, 114.0718578 22.5866257, 114.0717991 22.5866296)",,,
2312598312,2312598211,0,888419181,tertiary,False,True,8.635,"LINESTRING (114.0780913 22.5830808, 114.0781723 22.5830599)",银湖路,2,
2312598312,2312585227,0,222278113,residential,True,False,180.114,"LINESTRING (114.0780913 22.5830808, 114.0778982 22.5831247, 114.077849 22.5831423, 114.0777998 22.5831632, 114.0777508 22.5831881, 114.0776941 22.5832334, 114.0773856 22.5835777, 114.0770906 22.5837337, 114.0769806 22.583912, 114.0769243 22.5841572)",环湖一路,1,
2312598312,9181562164,0,871570476,residential,False,False,129.46499999999997,"LINESTRING (114.0780913 22.5830808, 114.0780623 22.5830324, 114.0780206 22.5829851, 114.0777958 22.5828068, 114.0777627 22.5827791, 114.0777365 22.5827492, 114.0774227 22.582273, 114.077404 22.5822421, 114.0773859 22.5822167, 114.0773678 22.5821981, 114.0773454 22.5821864, 114.0773211 22.5821831)",金湖路,2,
2312598354,2312598390,0,222274998,residential,False,True,458.722,"LINESTRING (114.0701297 22.5846969, 114.0694324 22.5847051, 114.0693805 22.5847007, 114.0693434 22.5846855, 114.0693237 22.5846565, 114.0693157 22.5846003, 114.0693078 22.58451, 114.0693006 22.5843921, 114.0692779 22.5843517, 114.0692375 22.5843235, 114.0691789 22.5843052, 114.0691203 22.5842959, 114.0690501 22.5843058, 114.0690005 22.5843375, 114.0686814 22.5848997, 114.0685955 22.5849343, 114.0682629 22.5847759, 114.0682602 22.5846991, 114.0687913 22.5837852, 114.0688548 22.5833928, 114.0687001 22.5832627)",,,
2312598354,9181562107,0,739463617,residential,False,False,55.693,"LINESTRING (114.0701297 22.5846969, 114.0698941 22.5848803, 114.0697083 22.5850121)",,,
2312598354,9181562134,0,890745103,residential,False,True,70.016,"LINESTRING (114.0701297 22.5846969, 114.0705029 22.5844674, 114.0707009 22.584353)",环湖三路,,
2312598356,2312585300,0,222274997,residential,False,True,55.371,"LINESTRING (114.0722635 22.5868828, 114.0717991 22.5866296)",,,
2312598356,2312598261,0,222274997,residential,False,False,95.167,"LINESTRING (114.0722635 22.5868828, 114.0723563 22.5868704, 114.0724147 22.5868558, 114.0724732 22.5868309, 114.0725153 22.5868038, 114.0725778 22.5867248, 114.0726747 22.5865932, 114.0727412 22.5864929, 114.072746 22.5864762, 114.0727441 22.5864615, 114.0727396 22.5864465, 114.0727307 22.5864368, 114.0726459 22.5863876, 114.0725733 22.5863455)",,,
2312598356,2312616907,0,222277665,residential,False,False,97.037,"LINESTRING (114.0722635 22.5868828, 114.0723958 22.5870016, 114.0724119 22.5873235, 114.0721732 22.5876331)",,,
2312598390,2312598354,0,222274998,residential,False,False,458.7219999999999,"LINESTRING (114.0687001 22.5832627, 114.0688548 22.5833928, 114.0687913 22.5837852, 114.0682602 22.5846991, 114.0682629 22.5847759, 114.0685955 22.5849343, 114.0686814 22.5848997, 114.0690005 22.5843375, 114.0690501 22.5843058, 114.0691203 22.5842959, 114.0691789 22.5843052, 114.0692375 22.5843235, 114.0692779 22.5843517, 114.0693006 22.5843921, 114.0693078 22.58451, 114.0693157 22.5846003, 114.0693237 22.5846565, 114.0693434 22.5846855, 114.0693805 22.5847007, 114.0694324 22.5847051, 114.0701297 22.5846969)",,,
2312598392,2312598424,0,222274997,residential,False,False,68.173,"LINESTRING (114.0724236 22.5858544, 114.0727431 22.585863, 114.0727282 22.5860446, 114.0727354 22.5860916, 114.0727615 22.5861247, 114.0728051 22.5861498)",,,
2312598392,2312598261,0,222274997,residential,False,True,62.468,"LINESTRING (114.0724236 22.5858544, 114.0723943 22.5861218, 114.0723955 22.5861728, 114.0724178 22.5862172, 114.0724508 22.5862518, 114.072491 22.5862859, 114.0725733 22.5863455)",,,
2312598392,2312585132,0,890745100,residential,False,True,683.715,"LINESTRING (114.0724236 22.5858544, 114.0724353 22.5857165, 114.0724594 22.5856341, 114.0724848 22.5855675, 114.0725221 22.5854995, 114.0725835 22.5854291, 114.0726363 22.5853871, 114.0727126 22.5853397, 114.0727905 22.5853085, 114.0728543 22.5852899, 114.0729113 22.585282, 114.0729648 22.5852902, 114.0730183 22.5853283, 114.0730581 22.5853839, 114.0733282 22.5858569, 114.0735176 22.5861943, 114.0735288 22.5862948, 114.0735035 22.5863701, 114.0733946 22.5865158, 114.0724365 22.587723, 114.0723462 22.5878422, 114.0722069 22.5877818, 114.0719999 22.5880379, 114.0719674 22.5880679, 114.0719364 22.588087, 114.0718824 22.5880837, 114.0718195 22.5880558, 114.0717172 22.5880491, 114.0715938 22.5880442, 114.0712461 22.5881198, 114.0711583 22.5881367, 114.0710764 22.5881374, 114.0710178 22.5881203, 114.0709769 22.5880937, 114.0709144 22.5880449, 114.0708636 22.5879771, 114.0708455 22.5879037, 114.0708436 22.5878235, 114.0708624 22.5877395, 114.0709017 22.5876731, 114.0709478 22.5876258, 114.0709997 22.5875772, 114.0711274 22.5874247)",,,
2312598424,2312598392,0,222274997,residential,False,True,68.173,"LINESTRING (114.0728051 22.5861498, 114.0727615 22.5861247, 114.0727354 22.5860916, 114.0727282 22.5860446, 114.0727431 22.585863, 114.0724236 22.5858544)",,,
2312616907,2312598356,0,222277665,residential,False,True,97.037,"LINESTRING (114.0721732 22.5876331, 114.0724119 22.5873235, 114.0723958 22.5870016, 114.0722635 22.5868828)",,,
8118118208,8259797190,0,888419184,residential,False,True,13.049,"LINESTRING (114.0771782 22.5812147, 114.077077 22.5812857)",,,
8118118208,8259797132,0,871570476,residential,False,True,74.371,"LINESTRING (114.0771782 22.5812147, 114.0771503 22.5812785, 114.0771489 22.5812824, 114.0771305 22.5813543, 114.0771143 22.5814279, 114.0771004 22.5815016, 114.0770908 22.5815686, 114.0770841 22.5816388, 114.077082 22.5817019, 114.0770851 22.5817895, 114.0770893 22.5818345, 114.0770955 22.5818722)",金湖路,2,
8118193617,8118193727,0,"[871570477, 871570478]",unclassified,False,False,1991.4389999999994,"LINESTRING (114.0767672 22.5822637, 114.0767336 22.5821576, 114.0766833 22.5820878, 114.0765935 22.5820114, 114.0765311 22.5818871, 114.0765126 22.5817223, 114.0764901 22.5815358, 114.0765853 22.5812768, 114.0767241 22.5810937, 114.076851 22.580878, 114.0768654 22.5806753, 114.0768794 22.5806109, 114.0768794 22.580571, 114.0768714 22.5805083, 114.0768529 22.5804288, 114.0768199 22.5804148, 114.0767727 22.5804244, 114.0766991 22.580491, 114.0766154 22.5805927, 114.0765919 22.5806903, 114.0765508 22.5808469, 114.0765316 22.5809774, 114.0764903 22.5810957, 114.0764409 22.5812002, 114.0763848 22.581242, 114.0762787 22.5812198, 114.0761146 22.581185, 114.0760118 22.5811911, 114.0758864 22.5813071, 114.0758268 22.5814891, 114.0758624 22.5817467, 114.0759668 22.5820691, 114.0759781 22.5821505, 114.0759167 22.5822719, 114.0758411 22.5822981, 114.0756744 22.5823166, 114.0754892 22.582325, 114.0753224 22.5822825, 114.0749962 22.5822592, 114.0747921 22.5822423, 114.0745201 22.5822175, 114.0742184 22.5821918, 114.0738073 22.5821198, 114.0737113 22.5821244, 114.0735701 22.5821973, 114.073364 22.5822756, 114.0731327 22.5824174, 114.0729356 22.582531, 114.0727705 22.5826175, 114.0725681 22.5826993, 114.0724215 22.5827213, 114.0722668 22.5826015, 114.0722323 22.5824, 114.0722585 22.5821953, 114.072409 22.5821296, 114.0726547 22.5821637, 114.0728279 22.5821807, 114.0729665 22.5821368, 114.0730936 22.5819759, 114.0732386 22.5818185, 114.0735033 22.5817806, 114.0737239 22.5818588, 114.0739554 22.5819114, 114.0742604 22.5819406, 114.0746545 22.5819468, 114.0749476 22.5819322, 114.0750639 22.5818749, 114.075106 22.5817636, 114.0750888 22.5816609, 114.0749638 22.5815149, 114.0748711 22.5813759, 114.0747286 22.581067, 114.0746732 22.5808999, 114.0746943 22.5808316, 114.0747948 22.5807218, 114.0748804 22.5806025, 114.0749421 22.5804955, 114.0748963 22.5804421, 114.074789 22.5804214, 114.0746118 22.5803749, 114.0743829 22.5803211, 114.0741648 22.5802675, 114.073964 22.5801918, 114.0737974 22.5800892, 114.0736941 22.5799915, 114.0736451 22.5799038, 114.073641 22.5797916, 114.073633 22.5796659, 114.0736251 22.5795488, 114.0736185 22.5794084, 114.0736225 22.5793034, 114.0736067 22.579175, 114.0735723 22.5790824, 114.0735271 22.5789808, 114.0734707 22.5789698, 114.0734048 22.579026, 114.0733441 22.5791006, 114.0733651 22.5792566, 114.0734099 22.5793937, 114.0734086 22.5795143, 114.0733782 22.5796778, 114.0733371 22.5798524, 114.0733292 22.5800332, 114.0734205 22.5802119, 114.0735436 22.5803705, 114.073632 22.5804581, 114.0736784 22.5805594, 114.0737168 22.5806885, 114.0738028 22.5808154, 114.0738339 22.5808915, 114.0737957 22.581004, 114.073771 22.5810598, 114.073754 22.5811257, 114.0737095 22.5811557, 114.0736606 22.5810705, 114.0736277 22.5809683, 114.073604 22.5809307)",,,
8118193617,9181562164,0,993789643,residential,False,False,57.574,"LINESTRING (114.0767672 22.5822637, 114.077041 22.5822268, 114.0773211 22.5821831)",环湖三路,1,
8118193617,8278552646,0,"[993789642, 993789643, 993789644, 222277669]",residential,False,True,489.17400000000004,"LINESTRING (114.0767672 22.5822637, 114.0766046 22.5822933, 114.0764828 22.5823261, 114.0762976 22.5824228, 114.0755652 22.5830189, 114.0753844 22.583166, 114.0752461 22.5832829, 114.0749547 22.5835291, 114.0748798 22.5835744, 114.0748044 22.5836143, 114.0747335 22.5836475, 114.0746625 22.5836749, 114.0745919 22.5836986, 114.0745173 22.5837215, 114.0743435 22.5837708, 114.0742594 22.5837877, 114.0738503 22.5838293, 114.0737679 22.5838381, 114.0736757 22.5838423, 114.0735929 22.58384, 114.073516 22.5838345, 114.0733923 22.583817, 114.0731064 22.5837526, 114.0729794 22.5837285, 114.0728814 22.5837121, 114.072815 22.5837115, 114.0727486 22.5837161, 114.0726187 22.5837375, 114.0725754 22.5837469)",环湖三路,1,yes
8118193727,8118193617,0,"[871570477, 871570478]",unclassified,False,True,1991.4389999999996,"LINESTRING (114.073604 22.5809307, 114.0736277 22.5809683, 114.0736606 22.5810705, 114.0737095 22.5811557, 114.073754 22.5811257, 114.073771 22.5810598, 114.0737957 22.581004, 114.0738339 22.5808915, 114.0738028 22.5808154, 114.0737168 22.5806885, 114.0736784 22.5805594, 114.073632 22.5804581, 114.0735436 22.5803705, 114.0734205 22.5802119, 114.0733292 22.5800332, 114.0733371 22.5798524, 114.0733782 22.5796778, 114.0734086 22.5795143, 114.0734099 22.5793937, 114.0733651 22.5792566, 114.0733441 22.5791006, 114.0734048 22.579026, 114.0734707 22.5789698, 114.0735271 22.5789808, 114.0735723 22.5790824, 114.0736067 22.579175, 114.0736225 22.5793034, 114.0736185 22.5794084, 114.0736251 22.5795488, 114.073633 22.5796659, 114.073641 22.5797916, 114.0736451 22.5799038, 114.0736941 22.5799915, 114.0737974 22.5800892, 114.073964 22.5801918, 114.0741648 22.5802675, 114.0743829 22.5803211, 114.0746118 22.5803749, 114.074789 22.5804214, 114.0748963 22.5804421, 114.0749421 22.5804955, 114.0748804 22.5806025, 114.0747948 22.5807218, 114.0746943 22.5808316, 114.0746732 22.5808999, 114.0747286 22.581067, 114.0748711 22.5813759, 114.0749638 22.5815149, 114.0750888 22.5816609, 114.075106 22.5817636, 114.0750639 22.5818749, 114.0749476 22.5819322, 114.0746545 22.5819468, 114.0742604 22.5819406, 114.0739554 22.5819114, 114.0737239 22.5818588, 114.0735033 22.5817806, 114.0732386 22.5818185, 114.0730936 22.5819759, 114.0729665 22.5821368, 114.0728279 22.5821807, 114.0726547 22.5821637, 114.072409 22.5821296, 114.0722585 22.5821953, 114.0722323 22.5824, 114.0722668 22.5826015, 114.0724215 22.5827213, 114.0725681 22.5826993, 114.0727705 22.5826175, 114.0729356 22.582531, 114.0731327 22.5824174, 114.073364 22.5822756, 114.0735701 22.5821973, 114.0737113 22.5821244, 114.0738073 22.5821198, 114.0742184 22.5821918, 114.0745201 22.5822175, 114.0747921 22.5822423, 114.0749962 22.5822592, 114.0753224 22.5822825, 114.0754892 22.582325, 114.0756744 22.5823166, 114.0758411 22.5822981, 114.0759167 22.5822719, 114.0759781 22.5821505, 114.0759668 22.5820691, 114.0758624 22.5817467, 114.0758268 22.5814891, 114.0758864 22.5813071, 114.0760118 22.5811911, 114.0761146 22.581185, 114.0762787 22.5812198, 114.0763848 22.581242, 114.0764409 22.5812002, 114.0764903 22.5810957, 114.0765316 22.5809774, 114.0765508 22.5808469, 114.0765919 22.5806903, 114.0766154 22.5805927, 114.0766991 22.580491, 114.0767727 22.5804244, 114.0768199 22.5804148, 114.0768529 22.5804288, 114.0768714 22.5805083, 114.0768794 22.580571, 114.0768794 22.5806109, 114.0768654 22.5806753, 114.076851 22.580878, 114.0767241 22.5810937, 114.0765853 22.5812768, 114.0764901 22.5815358, 114.0765126 22.5817223, 114.0765311 22.5818871, 114.0765935 22.5820114, 114.0766833 22.5820878, 114.0767336 22.5821576, 114.0767672 22.5822637)",,,
