u,v,key,osmid,name,highway,oneway,reversed,length,geometry,ref,lanes,maxspeed,access,bridge
3066385418,3066385695,0,302380155,,residential,False,True,132.242,"LINESTRING (114.130534 22.5585246, 114.1299917 22.5577523, 114.1299272 22.5576984, 114.1298764 22.5576755, 114.1298013 22.5576681, 114.1297369 22.5576383)",,,,,
3066385420,3066385644,0,302380149,,residential,False,False,262.388,"LINESTRING (114.1322831 22.5555775, 114.1322076 22.5554682, 114.1321 22.5553076, 114.132049 22.5552754, 114.1318612 22.5552382, 114.13177 22.555206, 114.1316278 22.5551297, 114.1315152 22.5550921, 114.1313489 22.5550797, 114.1311531 22.5550797, 114.1310968 22.5550995, 114.1307964 22.5552655, 114.1306945 22.5552977, 114.1303993 22.5553626, 114.1302545 22.5554121, 114.13015 22.5554636, 114.1300534 22.5555256)",,,,,
3066385420,2921645909,0,302380149,,residential,False,True,286.04499999999996,"LINESTRING (114.1322831 22.5555775, 114.1323843 22.5556841, 114.1324968 22.5558828, 114.1325747 22.5560804, 114.1326176 22.5562835, 114.1326175 22.5565268, 114.1325826 22.5567547, 114.1325129 22.5569528, 114.1324136 22.5570965, 114.1316782 22.5577421)",,,,,
3066385420,3066385754,0,302380155,,residential,False,False,215.16699999999997,"LINESTRING (114.1322831 22.5555775, 114.1317942 22.5554909, 114.1316493 22.5554835, 114.1312416 22.5555256, 114.1307642 22.5555875, 114.1304719 22.5556569, 114.1302326 22.5557466)",,,,,
3066385421,3066385663,0,302380141,,residential,False,True,40.722,"LINESTRING (114.13041 22.5518005, 114.1308018 22.551857)",,,,,
3066385421,3066385428,0,302380141,,residential,False,False,57.928,"LINESTRING (114.13041 22.5518005, 114.1300454 22.5517678, 114.1298566 22.5518222)",,,,,
3066385421,2278193446,0,302380150,,residential,False,True,135.086,"LINESTRING (114.13041 22.5518005, 114.1307694 22.5516346, 114.1308098 22.5513765, 114.1310002 22.5512675, 114.130806 22.5509369)",,,,,
3066385423,3066385392,0,302380142,,residential,False,True,206.616,"LINESTRING (114.1313972 22.5510445, 114.1320731 22.5505541, 114.1330398 22.550696, 114.1332133 22.5506904)",,,,,
3066385428,3066385421,0,302380141,,residential,False,True,57.928,"LINESTRING (114.1298566 22.5518222, 114.1300454 22.5517678, 114.13041 22.5518005)",,,,,
3066385428,1126278113,0,685048792,华丽路,tertiary,False,False,128.535,"LINESTRING (114.1298566 22.5518222, 114.1295516 22.5512605, 114.1294987 22.5511555, 114.129453 22.5510484, 114.1294218 22.5509569, 114.1293694 22.5507621)",,1,,,
3066385428,1126278106,0,685048792,华丽路,tertiary,False,True,100.22800000000001,"LINESTRING (114.1298566 22.5518222, 114.1301202 22.5522968, 114.1301629 22.5523761, 114.1302089 22.5524753, 114.1302377 22.5525552, 114.130263 22.5526393)",,1,,,
3066385430,3066385646,0,302380154,,residential,False,True,82.74,"LINESTRING (114.1335268 22.5592069, 114.1328426 22.5595999)",,,,,
