u,v,key,osmid,oneway,lanes,name,highway,reversed,length,geometry,bridge,access,maxspeed,tunnel
2491099046,2491099085,0,241490250,True,,,primary_link,False,180.165,"LINESTRING (114.0578841 22.5445463, 114.0578095 22.5442069, 114.0577774 22.5439802, 114.0577159 22.5431721, 114.0577098 22.5431132, 114.0576939 22.5430449, 114.057672 22.5429946, 114.0576384 22.5429529)",,,,
2491099046,499542953,0,"[996208000, 996208002, 40988598]",True,3,金田路,secondary,False,432.327,"LINESTRING (114.0578841 22.5445463, 114.0578961 22.5437825, 114.057928 22.5413, 114.0579364 22.5406586)",yes,,,
2491099065,499542312,0,672979252,True,,,primary_link,False,79.916,"LINESTRING (114.0581429 22.5437485, 114.0581165 22.5441766, 114.0581027 22.5442642, 114.0580801 22.5443672, 114.0580539 22.5444604)",,,,
2491099085,8431769809,0,1050725185,True,,,primary_link,False,19.596,"LINESTRING (114.0576384 22.5429529, 114.0575782 22.5429145, 114.0574703 22.5428712)",,,,
2525990691,499543123,0,"[245389549, 1050511758]",True,"['2', '4']",深南大道,primary,False,69.67,"LINESTRING (114.0454628 22.5423206, 114.0456878 22.5423396, 114.04614 22.5423534)",yes,,,
2525990702,6467166929,0,96334028,True,2,深南大道,primary,False,96.124,"LINESTRING (114.0448248 22.5425892, 114.0443753 22.5425811, 114.043889 22.5425723)",yes,,,
2525990704,2525990691,0,245389549,True,2,深南大道,primary,False,63.97,"LINESTRING (114.04484 22.5423113, 114.0454628 22.5423206)",yes,,,
2525990704,499478697,0,"[25435186, 545784771]",True,,,primary_link,False,226.98599999999996,"LINESTRING (114.04484 22.5423113, 114.0449038 22.5422883, 114.0449504 22.5422662, 114.0449872 22.5422432, 114.0450264 22.542215, 114.0450574 22.5421795, 114.0450782 22.5421392, 114.0450886 22.5420903, 114.0450953 22.5420393, 114.0451008 22.541295, 114.0450966 22.5412522, 114.0450821 22.541212, 114.0450494 22.5411673, 114.0450044 22.5411259, 114.0449544 22.5410945, 114.0449027 22.5410738, 114.0448451 22.5410628, 114.0447959 22.5410595, 114.0447468 22.5410626, 114.0446963 22.5410733, 114.0446509 22.5410946, 114.0446053 22.5411252, 114.0445733 22.5411554, 114.0445483 22.5411931, 114.0445257 22.5412367, 114.0444531 22.5413973)",yes,,,
2526412027,7966386945,0,245443880,False,2,兴融三路,unclassified,False,32.814,"LINESTRING (114.0452137 22.5409526, 114.0455332 22.5409551)",,,,
2526412031,5834798806,0,853206477,True,2,兴融八路,unclassified,False,30.486,"LINESTRING (114.046657 22.5411145, 114.0466093 22.5411075, 114.0465607 22.5410895, 114.0465216 22.5410649, 114.0464894 22.5410382, 114.0464649 22.5410096, 114.046449 22.5409885, 114.0464304 22.5409576)",,,,
2526412033,2488193951,0,853206488,False,2,兴融三路,residential,False,87.733,"LINESTRING (114.0469054 22.5409567, 114.0477596 22.5409664)",,,,
2526412033,2526412031,0,617224817,True,2,兴融六路,unclassified,False,32.886,"LINESTRING (114.0469054 22.5409567, 114.0468789 22.5410007, 114.0468539 22.5410303, 114.0468238 22.5410591, 114.0467895 22.5410831, 114.0467529 22.5411001, 114.04671 22.5411114, 114.046657 22.5411145)",,,,
2526412039,7966386945,0,245443881,True,,兴融九路,unclassified,False,76.358,"LINESTRING (114.045546 22.5402685, 114.0455332 22.5409551)",,,,
2526412039,2526412040,0,245443888,False,,兴融二路,unclassified,False,91.572,"LINESTRING (114.045546 22.5402685, 114.0464376 22.540276)",,,,
2526412040,2526412039,0,245443888,False,,兴融二路,unclassified,True,91.572,"LINESTRING (114.0464376 22.540276, 114.045546 22.5402685)",,,,
2530284952,2530284961,0,245930191,False,,,residential,True,59.238,"LINESTRING (114.0430447 22.5494559, 114.0430578 22.5489233)",,,,
2530284953,1491845610,0,1050511767,True,,,secondary,False,121.43299999999999,"LINESTRING (114.0406483 22.542066, 114.040834 22.542078, 114.0411147 22.5420876, 114.0411517 22.5420897, 114.0412008 22.5420924, 114.0412858 22.5421033, 114.0413617 22.5421198, 114.0415738 22.5421902, 114.0416497 22.5422096, 114.0417071 22.5422267, 114.0418044 22.5422513)",,,,
2530284961,2530284952,0,245930191,False,,,residential,False,59.238,"LINESTRING (114.0430578 22.5489233, 114.0430447 22.5494559)",,,,
2530284961,7979256647,0,245930191,False,,,residential,True,70.305,"LINESTRING (114.0430578 22.5489233, 114.0430734 22.5482912)",,,,
2530284961,2530284962,0,245930172,False,,,residential,False,107.057,"LINESTRING (114.0430578 22.5489233, 114.0424606 22.5489166, 114.0424606 22.5493278)",,,,
2530284962,2530284961,0,245930172,False,,,residential,True,107.057,"LINESTRING (114.0424606 22.5493278, 114.0424606 22.5489166, 114.0430578 22.5489233)",,,,
2750252798,7961465962,0,245389538,True,,,primary_link,False,31.165,"LINESTRING (114.0444518 22.5455323, 114.0444316 22.5456663, 114.0444064 22.5458094)",,,,
