u,v,key,osmid,highway,oneway,reversed,length,name,geometry,ref,lanes,tunnel,maxspeed,bridge
564726203,8768362360,0,813875556,residential,False,False,406.0499999999999,,"LINESTRING (114.1014881 22.5578797, 114.1005651 22.5578642, 114.1005284 22.5578539, 114.1005015 22.5578327, 114.1004852 22.5578065, 114.1004777 22.5577767, 114.1004787 22.5577499, 114.1004537 22.5564386, 114.1005109 22.5559974, 114.1006475 22.5555198, 114.1006561 22.5553368, 114.1006604 22.5551264)",,,,20,
564727640,567623203,0,996625977,primary,True,False,110.276,笋岗东路,"LINESTRING (114.1137749 22.5587056, 114.1148488 22.5587024)",,,,,
564727654,9734094873,0,44426597,secondary,True,False,96.466,人民公园路,"LINESTRING (114.1114809 22.5577551, 114.1115912 22.5579376, 114.1116734 22.5581114, 114.1118563 22.5585488)",,,,,
564727654,564727640,0,44426696,primary_link,True,False,266.227,笋岗东立交,"LINESTRING (114.1114809 22.5577551, 114.1116376 22.5578716, 114.1117235 22.5579192, 114.1118436 22.5579747, 114.1119552 22.5580064, 114.112084 22.5580302, 114.1125989 22.5580381, 114.1127277 22.5580698, 114.112865 22.5581332, 114.1133886 22.5585216, 114.1135002 22.558585, 114.1135946 22.5586326, 114.1137749 22.5587056)",,,,,
567623195,5892690790,0,393911175,primary_link,True,False,15.052,笋岗东路辅路,"LINESTRING (114.1156825 22.558663, 114.115816 22.5587189)",,,,,
567623203,5892690790,0,44426596,primary,True,False,99.336,笋岗东路,"LINESTRING (114.1148488 22.5587024, 114.115816 22.5587189)",,,,,
567623203,5892690791,0,996625978,primary_link,True,False,29.073,笋岗东路辅路,"LINESTRING (114.1148488 22.5587024, 114.1151223 22.5586348)",,,,,
567623320,564726051,0,972309918,primary,True,False,90.448,笋岗东路,"LINESTRING (114.1146721 22.5588207, 114.1137921 22.5588556)",,,,,
567623326,567623320,0,393911176,primary_link,True,False,30.868,笋岗东路辅路,"LINESTRING (114.1149655 22.5588811, 114.1146721 22.5588207)",,,,,
567623333,567623326,0,44748638,tertiary_link,True,False,24.866999999999997,洪湖路辅路,"LINESTRING (114.1151108 22.5590472, 114.1150697 22.5589474, 114.1149655 22.5588811)",,,,,
567623333,2883525898,0,724865231,tertiary,True,False,25.249000000000002,洪湖东路,"LINESTRING (114.1151108 22.5590472, 114.115146 22.5590238, 114.115184 22.5590197, 114.1152513 22.5590213, 114.1152716 22.559036, 114.1152796 22.5590687, 114.1152817 22.5591008)",,,,,
567623347,5892690789,0,972309919,primary_link,True,False,25.869,笋岗东路辅路,"LINESTRING (114.1157982 22.5588292, 114.1155594 22.5589033)",,,,,
567623347,567623320,0,1049508300,primary,True,False,115.64,笋岗东路,"LINESTRING (114.1157982 22.5588292, 114.1146721 22.5588207)",,,,,
726579158,2286531638,0,"[219503250, 219503259, 219503251]",primary,True,False,187.53,笋岗东路,"LINESTRING (114.1085517 22.5587781, 114.10801 22.5587727, 114.106898 22.5587544, 114.1067257 22.5587518)",,,,,yes
1657258816,6080174729,0,31354903,tertiary,False,False,37.792,桂园路,"LINESTRING (114.1073469 22.5515454, 114.1073822 22.5512071)",,,,,
1657258816,8562236970,0,152961996,residential,False,True,95.467,,"LINESTRING (114.1073469 22.5515454, 114.1064174 22.5515303)",,,,,
1657258816,1927361961,0,31354903,tertiary,False,True,127.087,桂园路,"LINESTRING (114.1073469 22.5515454, 114.1073199 22.5525247, 114.1073203 22.552688)",,,,,
1927361961,3070071740,0,31354903,tertiary,False,True,8.882,桂园路,"LINESTRING (114.1073203 22.552688, 114.1073351 22.5527667)",,,,,
1927361961,2765186498,0,31354900,secondary,True,False,24.095,红桂路,"LINESTRING (114.1073203 22.552688, 114.1073888 22.5526869, 114.1075509 22.5527205)",,2,,,
1927361961,1657258816,0,31354903,tertiary,False,False,127.087,桂园路,"LINESTRING (114.1073203 22.552688, 114.1073199 22.5525247, 114.1073469 22.5515454)",,,,,
2079451101,6174423375,0,888311159,secondary,False,True,15.518,晒布路,"LINESTRING (114.1172634 22.5512104, 114.1171335 22.5512817)",,,,,
2079451101,349132362,0,558274289,trunk,True,False,177.268,东门中路,"LINESTRING (114.1172634 22.5512104, 114.1174605 22.5515027, 114.1180925 22.5526079)",G205,,,,
2286531632,2286531633,0,624056638,primary,True,False,95.516,笋岗东路,"LINESTRING (114.105616 22.5585848, 114.1065461 22.5585947)",,,,,
