u,v,key,osmid,oneway,name,highway,maxspeed,reversed,length,geometry,lanes,tunnel,bridge
5771508247,5187499060,0,245744478,True,香蜜湖路,secondary,,False,274.188,"LINESTRING (114.0205742 22.547774, 114.020761 22.5474665, 114.020948 22.5471276, 114.0210448 22.5469212, 114.021117 22.5467674, 114.0212574 22.5464258, 114.0213622 22.546107, 114.0215452 22.5454879)",2,,
5771508506,2529328533,0,609310251,False,,unclassified,,True,195.89900000000003,"LINESTRING (114.0298722 22.543617, 114.0308697 22.5437828, 114.0316149 22.543908, 114.0317492 22.5439309)",,,
5771508506,5771508512,0,609310253,False,,unclassified,,False,41.42099999999999,"LINESTRING (114.0298722 22.543617, 114.0298621 22.5436704, 114.0298367 22.5437311, 114.0297913 22.5438179, 114.0297743 22.5438738, 114.0297602 22.5439717)",,,
5771508506,5771508507,0,609310253,False,,unclassified,,True,50.29599999999999,"LINESTRING (114.0298722 22.543617, 114.0298669 22.5435494, 114.0298598 22.5434745, 114.0298739 22.5433898, 114.0299198 22.5433247, 114.0300401 22.54323)",,,
5771508507,2529328516,0,245816214,False,,unclassified,,False,40.489999999999995,"LINESTRING (114.0300401 22.54323, 114.0299118 22.5432484, 114.0296538 22.5433019)",,,
5771508507,7973114829,0,245816214,False,,unclassified,,True,187.15,"LINESTRING (114.0300401 22.54323, 114.030197 22.54323, 114.0317129 22.5434134, 114.0318476 22.5434342)",,,
5771508507,5771508506,0,609310253,False,,unclassified,,False,50.29600000000001,"LINESTRING (114.0300401 22.54323, 114.0299198 22.5433247, 114.0298739 22.5433898, 114.0298598 22.5434745, 114.0298669 22.5435494, 114.0298722 22.543617)",,,
5771508512,2529328516,0,245816200,False,,unclassified,,False,75.276,"LINESTRING (114.0297602 22.5439717, 114.0296538 22.5433019)",,,
5771508512,1116501325,0,245816200,False,,unclassified,,True,189.193,"LINESTRING (114.0297602 22.5439717, 114.0298632 22.5446387, 114.0298696 22.5447099, 114.0298576 22.5447846, 114.0298346 22.5448382, 114.0297568 22.5449623, 114.0297423 22.545011, 114.0297459 22.5450638, 114.0298623 22.5453989, 114.0298678 22.5456232)",,,
5771508512,5771508506,0,609310253,False,,unclassified,,True,41.42099999999999,"LINESTRING (114.0297602 22.5439717, 114.0297743 22.5438738, 114.0297913 22.5438179, 114.0298367 22.5437311, 114.0298621 22.5436704, 114.0298722 22.543617)",,,
6581380413,1116501260,0,891126142,True,红荔路,primary,,False,307.483,"LINESTRING (114.0294752 22.5467434, 114.0266298 22.5458828)",,,
7227357853,2530284966,0,855206664,False,景田南七街支路,residential,,True,7.426,"LINESTRING (114.0384392 22.5436997, 114.0384289 22.5437658)",,,
7227357853,7975286419,0,855206663,True,景田南七街,residential,,False,66.54799999999999,"LINESTRING (114.0384392 22.5436997, 114.0384867 22.5437051, 114.0385382 22.5437092, 114.0385945 22.5437127, 114.0386528 22.5437141, 114.0390309 22.5437137, 114.0390865 22.5437131)",,,
7967774247,7977056074,0,1050921372,True,红荔路,primary,,False,271.95399999999995,"LINESTRING (114.0371742 22.5487811, 114.0387586 22.5491861, 114.0396071 22.5494028, 114.0397265 22.5494333)",,,
7967774249,7977050942,0,1050921372,True,红荔路,primary,,False,238.447,"LINESTRING (114.0348659 22.5481912, 114.0364467 22.5485952, 114.0366553 22.5486485, 114.036718 22.5486646, 114.0371037 22.5487631)",,,
7967774255,7979256820,0,1050921373,True,红荔路,primary,,False,6.395,"LINESTRING (114.0384892 22.5493055, 114.0384292 22.5492901)",,,
7973099505,7973099506,0,245930171,True,,primary_link,,False,53.307,"LINESTRING (114.0380755 22.5417877, 114.038594 22.5417655)",,,
7973099505,7965696340,0,1050261077,True,深南大道,primary,,False,196.255,"LINESTRING (114.0380755 22.5417877, 114.0394319 22.5420118, 114.0394811 22.5420198, 114.0397264 22.5420596, 114.039957 22.5420964)",3,,
7973099507,7973114859,0,1050261079,True,深南大道,primary,,False,377.666,"LINESTRING (114.0319826 22.5407673, 114.0355349 22.5413679, 114.0355999 22.5413786)",3,,
7973099508,7973099507,0,245930184,True,,primary_link,,False,39.539,"LINESTRING (114.0316463 22.5405942, 114.0319826 22.5407673)",,,
7973099508,7973099506,0,1050261080,True,深南大道辅路,secondary,,False,725.322,"LINESTRING (114.0316463 22.5405942, 114.0355549 22.5412475, 114.0358966 22.5413061, 114.0377545 22.5416248, 114.0380427 22.5416751, 114.0383166 22.5417206, 114.038594 22.5417655)",2,,
7973099509,7973099508,0,1050261080,True,深南大道辅路,secondary,,False,75.532,"LINESTRING (114.0309229 22.5404717, 114.0312967 22.5405353, 114.0313923 22.5405515, 114.0314698 22.5405647, 114.0315374 22.540576, 114.0316463 22.5405942)",2,,
7973099510,7973099511,0,854903578,True,,primary_link,,False,57.309,"LINESTRING (114.028559 22.5400698, 114.0290714 22.5402739)",,,
7973099510,7973099509,0,1050261080,True,深南大道辅路,secondary,,False,246.854,"LINESTRING (114.028559 22.5400698, 114.0309229 22.5404717)",2,,
7973099511,5274731030,0,1050261079,True,深南大道,primary,,False,134.207,"LINESTRING (114.0290714 22.5402739, 114.0303567 22.5404918)",3,,
7973099512,7973099511,0,40978183,True,深南大道,primary,,False,32.192,"LINESTRING (114.0287631 22.5402216, 114.0290714 22.5402739)",3,,
7973099522,7973099524,0,892901021,True,深南大道,primary,,False,195.519,"LINESTRING (114.0304902 22.5408055, 114.0286178 22.5404876)",3,,
7973099523,7973099522,0,892901021,True,深南大道,primary,,False,19.693,"LINESTRING (114.0306788 22.5408375, 114.0304902 22.5408055)",3,,
7973099524,7973099525,0,892901021,True,深南大道,primary,,False,84.353,"LINESTRING (114.0286178 22.5404876, 114.02781 22.5403504)",3,,
7973099524,7973099512,0,536764380,True,,primary_link,,False,140.99299999999997,"LINESTRING (114.0286178 22.5404876, 114.0285592 22.5404695, 114.0285235 22.5404519, 114.0284325 22.5403885, 114.0283762 22.5403628, 114.0283106 22.5403479, 114.0281187 22.5403154, 114.0281002 22.5403084, 114.0280846 22.5402966, 114.0280733 22.5402812, 114.0280674 22.5402635, 114.0280672 22.5402456, 114.0280723 22.5402284, 114.0280825 22.5402132, 114.0280968 22.5402013, 114.0281156 22.540193, 114.0281362 22.5401903, 114.0281607 22.5401929, 114.0283885 22.5402298, 114.0284608 22.5402361, 114.0285255 22.5402368, 114.0286659 22.5402221, 114.0287049 22.5402201, 114.0287631 22.5402216)",,,
7973099525,2530284924,0,245930179,True,,primary_link,,False,75.612,"LINESTRING (114.02781 22.5403504, 114.0270741 22.5403299)",,,
7973099528,7973099522,0,536764376,True,,primary_link,,False,43.944,"LINESTRING (114.0308699 22.5409877, 114.0304902 22.5408055)",,,
7973099528,2530284924,0,"[1050921376, 536764372]",True,深南大道辅路,secondary,,False,396.634,"LINESTRING (114.0308699 22.5409877, 114.0274362 22.5403927, 114.0270741 22.5403299)",2,,
7973099529,7973099528,0,536764372,True,深南大道辅路,secondary,,False,226.351,"LINESTRING (114.0330376 22.5413556, 114.0324851 22.541262, 114.03195 22.5411713, 114.0315154 22.5410976, 114.0314427 22.5410852, 114.0308699 22.5409877)",2,,
7973099530,7973099529,0,536764379,True,,primary_link,,False,47.296,"LINESTRING (114.0334956 22.5413111, 114.0330376 22.5413556)",,,
7973099530,7973099523,0,892901021,True,深南大道,primary,,False,294.041,"LINESTRING (114.0334956 22.5413111, 114.0315475 22.5409851, 114.0314639 22.5409709, 114.0306788 22.5408375)",3,,
7973099531,7973099530,0,892901021,True,深南大道,primary,,False,88.57,"LINESTRING (114.0343442 22.5414531, 114.0334956 22.5413111)",3,,
