u,v,key,osmid,oneway,lanes,name,highway,reversed,length,geometry,maxspeed,access
2324193502,7949552639,0,616351227,True,4,深南中路,primary,False,275.31899999999996,"LINESTRING (114.090672 22.5434226, 114.0895844 22.5434052, 114.0894757 22.543403, 114.0881438 22.5433799, 114.0879916 22.5433775)",60,
2324193504,2324193502,0,223529943,True,,,primary_link,False,69.447,"LINESTRING (114.0911154 22.5438117, 114.0910998 22.5437244, 114.0910766 22.5436617, 114.0910448 22.543603, 114.0910111 22.5435642, 114.0909696 22.5435192, 114.0909018 22.543476, 114.0908316 22.543454, 114.0907587 22.5434375, 114.090672 22.5434226)",,
2324193504,8128067439,0,1050532722,True,4,上步中路,primary,False,41.792,"LINESTRING (114.0911154 22.5438117, 114.09112 22.543526, 114.0911213 22.5434359)",,
2324213763,277667381,0,25465109,True,2,振华路,secondary,False,20.07,"LINESTRING (114.0886738 22.5472137, 114.0888692 22.5472169)",,
2324213763,7949552663,0,25447649,False,,,residential,True,196.331,"LINESTRING (114.0886738 22.5472137, 114.0886849 22.5470314, 114.0886926 22.5468672, 114.0886992 22.5467516, 114.0886116 22.5467506, 114.0886143 22.5464509, 114.0885758 22.5463998, 114.0885815 22.5463338, 114.0885852 22.5461257, 114.087951 22.546122)",,no
2324213768,2474730051,0,996207956,False,,同心南路,secondary,False,17.44,"LINESTRING (114.0952148 22.5414505, 114.0952189 22.5412937)",,
2324213768,2841177980,0,42352925,True,,南园路,tertiary,False,147.43,"LINESTRING (114.0952148 22.5414505, 114.095004 22.5414947, 114.0944889 22.5415219, 114.0937862 22.5415517)",40,
2324213768,1123418298,0,996207954,False,,同心南路,secondary,True,212.135,"LINESTRING (114.0952148 22.5414505, 114.0951966 22.5424703, 114.0951882 22.5429225, 114.0951824 22.5432303, 114.09518 22.543358)",,
2327294750,1123424752,0,96944599,False,,同福路,tertiary,False,183.038,"LINESTRING (114.0911859 22.5491519, 114.0913803 22.54915, 114.0929681 22.5491699)",,
2327294756,1123427484,0,893910561,True,2,上步中路,primary,False,55.351,"LINESTRING (114.0912286 22.5472554, 114.0912025 22.5477526)",,
2473522818,10170032967,0,1111613171,False,,,unclassified,True,84.941,"LINESTRING (114.0979639 22.5444004, 114.0971369 22.544412)",,
2473522818,1123427065,0,239574718,False,,,unclassified,True,422.639,"LINESTRING (114.0979639 22.5444004, 114.0979382 22.5451695, 114.0979063 22.5453112, 114.0978596 22.5454442, 114.0977629 22.5455879, 114.0976233 22.5457093, 114.0974436 22.5458084, 114.0971636 22.5459147, 114.095151 22.5464255)",,
2473522818,6486812633,0,"[1111613170, 1111613171]",False,,,unclassified,False,106.035,"LINESTRING (114.0979639 22.5444004, 114.0980333 22.5443994, 114.0981071 22.544382, 114.0981379 22.5443412, 114.0981612 22.5435721)",,
2474730051,2324213768,0,996207956,False,,同心南路,secondary,True,17.44,"LINESTRING (114.0952189 22.5412937, 114.0952148 22.5414505)",,
2474730051,9249566645,0,223531871,False,,,living_street,True,70.95700000000001,"LINESTRING (114.0952189 22.5412937, 114.095283 22.5412779, 114.0952987 22.541274, 114.0954638 22.5412338, 114.0956136 22.5411973, 114.0957465 22.5411667, 114.0958869 22.5411308)",,
