u,v,key,osmid,oneway,name,highway,reversed,length,geometry,lanes,maxspeed,bridge,tunnel,junction
1992853839,1992853845,0,188661994,False,,residential,False,173.046,"LINESTRING (114.0786972 22.5411661, 114.0786361 22.5411646, 114.0770128 22.5411258)",,,,,
1992853845,1992853839,0,188661994,False,,residential,True,173.046,"LINESTRING (114.0770128 22.5411258, 114.0786361 22.5411646, 114.0786972 22.5411661)",,,,,
1992853849,5269889012,0,"[96934588, 777388197]",True,,primary_link,False,165.04299999999998,"LINESTRING (114.0748689 22.5429486, 114.0749332 22.5428883, 114.0750941 22.5427374, 114.0753657 22.5425221, 114.0756638 22.5422857, 114.0757307 22.5422479, 114.0758193 22.5422302, 114.0758952 22.5422299, 114.0759562 22.5422464, 114.0760015 22.5422728, 114.0760409 22.5423021, 114.0760661 22.5423281, 114.0760853 22.542357, 114.0761053 22.5423974)",,,,,
1992853849,3372801276,0,996321300,True,深南大道,primary,False,136.52700000000002,"LINESTRING (114.0748689 22.5429486, 114.0759987 22.5429704, 114.076198 22.5429742)",4,,,,
2319202434,277486655,0,1057874094,True,皇岗路,trunk,False,11.131,"LINESTRING (114.0677865 22.5476774, 114.0677872 22.5475773)",3,,,,
2319202434,8002408174,0,512534127,True,福中路,secondary,False,171.52800000000002,"LINESTRING (114.0677865 22.5476774, 114.0676418 22.5476693, 114.0675402 22.5476633, 114.0669998 22.5476452, 114.0661172 22.5476307)",2,40,,,
2319202440,2367560891,0,996207992,True,福中路,secondary,False,16.976,"LINESTRING (114.0628251 22.5475939, 114.0626598 22.5475926)",2,40,,,
2319202446,8044279503,0,996762390,True,华富路,secondary,False,7.529,"LINESTRING (114.0760047 22.5470875, 114.076006 22.5470198)",,40,,,
2319202446,8044279570,0,616351221,True,振华西路,secondary,False,34.708,"LINESTRING (114.0760047 22.5470875, 114.0758255 22.5471294, 114.0756776 22.547166)",2,40,,,
2324186905,7953724239,0,777388195,False,福启街,residential,True,116.665,"LINESTRING (114.0760125 22.5417603, 114.0748766 22.5417476)",2,30,,,
