u,v,key,osmid,name,highway,oneway,reversed,length,ref,geometry,bridge,maxspeed,lanes,junction,access,tunnel
2377880330,2794076366,0,274729210,,residential,False,False,123.683,,"LINESTRING (114.1304946 22.5427681, 114.1316988 22.5427844)",,,,,,
2377880330,6315226959,0,274729210,,residential,False,True,115.321,,"LINESTRING (114.1304946 22.5427681, 114.1301715 22.5425761, 114.1294527 22.5424188)",,,,,,
2377880330,2794076567,0,"[674335481, 973549774]",锦联二路,tertiary,False,True,108.861,,"LINESTRING (114.1304946 22.5427681, 114.1304431 22.5429499, 114.130419 22.5430061, 114.1303942 22.5430525, 114.1303202 22.5431708, 114.1300266 22.5436404)",,,,,,
2456776537,2456776591,0,627558753,新秀路,secondary,True,False,41.506,,"LINESTRING (114.1390699 22.5497542, 114.1394586 22.5498565)",,,,,,
2456776537,2794076376,0,274729222,,residential,False,False,319.841,,"LINESTRING (114.1390699 22.5497542, 114.1391407 22.5495605, 114.1392132 22.5493326, 114.1393231 22.5490849, 114.1394277 22.5489338, 114.1395243 22.5487951, 114.139594 22.5486787, 114.1396101 22.5485845, 114.1395914 22.5483244, 114.1395324 22.5480445, 114.1394707 22.5479801, 114.1390093 22.5476754, 114.1390499 22.5472386)",,,,,,
2456776543,8536817904,0,685048802,深南东路,primary,True,False,8.285,,"LINESTRING (114.1295432 22.5484317, 114.1296226 22.5484449)",,,,,,
2456776543,2881798723,0,674741203,北斗路,secondary,True,False,77.275,,"LINESTRING (114.1295432 22.5484317, 114.1295453 22.5482448, 114.1295522 22.5477368)",,,2,,,
2456776548,2456776581,0,685048804,深南东路,primary,True,False,15.757,,"LINESTRING (114.1258313 22.5478229, 114.1259824 22.5478475)",,,,,,
2456776548,5568556459,0,685048805,文锦南路,trunk,True,False,46.393,G107,"LINESTRING (114.1258313 22.5478229, 114.1258361 22.5474057)",,,,,,
2456776581,348414298,0,685048801,文锦南路,trunk,True,False,16.724,G107,"LINESTRING (114.1259824 22.5478475, 114.1259809 22.5479979)",,,,,,
2456776581,6935521565,0,685048802,深南东路,primary,True,False,43.45,,"LINESTRING (114.1259824 22.5478475, 114.126399 22.5479157)",,,,,,
2456776591,8625865730,0,31312226,新秀路,secondary,True,False,122.84899999999999,,"LINESTRING (114.1394586 22.5498565, 114.1393808 22.5498648, 114.139301 22.5498703, 114.1392186 22.5498729, 114.1382676 22.5497876)",,,,,,
2657838506,581924032,0,"[45664258, 45664259]",,trunk_link,True,False,244.78600000000003,,"LINESTRING (114.1234897 22.5409249, 114.1233229 22.5408537, 114.1232439 22.5408209, 114.1231632 22.5408008, 114.1230689 22.5407935, 114.1229767 22.5408109, 114.1218691 22.5411623, 114.1214504 22.5412719, 114.1212338 22.5413549)",yes,,,,,
2660969023,2456776537,0,627558753,新秀路,secondary,True,False,90.717,,"LINESTRING (114.1381918 22.5496652, 114.1386187 22.5497085, 114.1390699 22.5497542)",,,,,,
2660969024,348421123,0,"[627558752, 996937236, 260572541]",深南东路,primary,True,False,453.001,,"LINESTRING (114.1381986 22.5497814, 114.1374202 22.5496975, 114.1346963 22.5493688, 114.1338228 22.5492669)",yes,,,,,
2660969045,2660969023,0,260572790,,primary_link,True,False,307.36100000000005,,"LINESTRING (114.1356903 22.5484075, 114.1357752 22.5484762, 114.1358611 22.5485171, 114.13597 22.5485404, 114.1365111 22.5485601, 114.1366072 22.5485724, 114.136701 22.5485925, 114.136791 22.548622, 114.1368708 22.5486564, 114.1369412 22.5486959, 114.1370067 22.5487449, 114.1370745 22.5488074, 114.1373476 22.5491182, 114.1375497 22.5493532, 114.1376002 22.5494001, 114.1376521 22.5494377, 114.1377082 22.5494715, 114.1377547 22.5494959, 114.1378068 22.5495212, 114.1378541 22.5495427, 114.1379078 22.5495631, 114.1381918 22.5496652)",,,,,,
2660969045,8242250893,0,930259838,沿河南路辅路,primary,True,False,111.925,,"LINESTRING (114.1356903 22.5484075, 114.136142 22.5492014, 114.1362024 22.5492959)",,,,,,
2660970340,8242250893,0,"[260572788, 260572789]",,primary_link,True,False,220.76200000000003,,"LINESTRING (114.1364667 22.5494798, 114.1365727 22.5494718, 114.1366463 22.5494566, 114.1367093 22.5494365, 114.1367549 22.5494164, 114.1367998 22.5493882, 114.1368763 22.5493215, 114.1369239 22.5492377, 114.1369427 22.5491551, 114.1369386 22.5490491, 114.1369091 22.5489587, 114.1368528 22.5488769, 114.1367777 22.54881, 114.1366798 22.5487617, 114.1365551 22.5487419, 114.136435 22.5487469, 114.1363277 22.5487887, 114.1362546 22.54886, 114.136201 22.5489661, 114.1361749 22.5490781, 114.1361722 22.549188, 114.1362024 22.5492959)",yes,,,,,
2660970340,2660969023,0,"[260572537, 996625948]",深南东路,primary,True,False,178.353,,"LINESTRING (114.1364667 22.5494798, 114.1373631 22.5495743, 114.1378704 22.5496299, 114.1381918 22.5496652)",yes,,,,,
2794076324,2794076578,0,166444177,延芳路,secondary,False,False,120.205,,"LINESTRING (114.1368043 22.5446424, 114.1358662 22.5452889)",,,,,,
2794076324,1126328614,0,"[166444177, 166444172, 327755325]",延芳路,secondary,False,True,146.247,,"LINESTRING (114.1368043 22.5446424, 114.136894 22.5445806, 114.1372383 22.5443262, 114.137397 22.5442338, 114.1375313 22.5441915, 114.1380678 22.5441222)",yes,30,,,,
2794076366,2377880330,0,274729210,,residential,False,True,123.683,,"LINESTRING (114.1316988 22.5427844, 114.1304946 22.5427681)",,,,,,
2794076376,2794076509,0,274729235,秀南街,residential,False,True,79.811,,"LINESTRING (114.1390499 22.5472386, 114.1382785 22.5471514)",,,2,,,
2794076376,2456776537,0,274729222,,residential,False,True,319.84099999999995,,"LINESTRING (114.1390499 22.5472386, 114.1390093 22.5476754, 114.1394707 22.5479801, 114.1395324 22.5480445, 114.1395914 22.5483244, 114.1396101 22.5485845, 114.139594 22.5486787, 114.1395243 22.5487951, 114.1394277 22.5489338, 114.1393231 22.5490849, 114.1392132 22.5493326, 114.1391407 22.5495605, 114.1390699 22.5497542)",,,,,,
2794076457,2794076590,0,274729211,,residential,False,True,70.023,,"LINESTRING (114.1336288 22.5447524, 114.133314 22.545311)",,,,,,
2794076462,2794076516,0,274729214,,unclassified,False,False,107.677,,"LINESTRING (114.1357144 22.5450742, 114.1365739 22.5445196)",,,,,,
2794076462,2794076513,0,274729218,,unclassified,False,False,287.318,,"LINESTRING (114.1357144 22.5450742, 114.1341706 22.5429193)",,,,,,
2794076462,2794076578,0,274729218,,unclassified,False,True,28.513,,"LINESTRING (114.1357144 22.5450742, 114.1358662 22.5452889)",,,,,,
2794076462,2794076505,0,274729214,,unclassified,False,True,377.721,,"LINESTRING (114.1357144 22.5450742, 114.1352784 22.5453455, 114.134981 22.545544, 114.1332774 22.5435088)",,,,,,
2794076466,2794076509,0,274729235,秀南街,residential,False,False,120.317,,"LINESTRING (114.1371156 22.5470199, 114.1382785 22.5471514)",,,2,,,
2794076466,2794076509,1,"[274729216, 904096426]",,"['unclassified', 'residential']",False,"[False, True]",219.796,,"LINESTRING (114.1371156 22.5470199, 114.1377557 22.5479024, 114.1381939 22.5474252, 114.1382342 22.5473633, 114.1382529 22.5473137, 114.1382785 22.5471514)",,,,,,
2794076466,2794076578,0,274729235,秀南街,residential,False,True,231.325,,"LINESTRING (114.1371156 22.5470199, 114.1358662 22.5452889)",,,2,,,
2794076505,2794076462,0,274729214,,unclassified,False,False,377.721,,"LINESTRING (114.1332774 22.5435088, 114.134981 22.545544, 114.1352784 22.5453455, 114.1357144 22.5450742)",,,,,,
2794076507,2794076590,0,904096425,,residential,False,True,207.37,,"LINESTRING (114.1315329 22.5444324, 114.133314 22.545311)",,,,,,
2794076507,2794076567,0,"[274729233, 973549777]",,residential,True,False,178.007,,"LINESTRING (114.1315329 22.5444324, 114.1313853 22.5443569, 114.1311272 22.544221, 114.1302611 22.5437642, 114.1300266 22.5436404)",,,,,,
2794076507,2794076541,0,"[904096424, 647444376]",沿河南路,"['primary', 'residential']",True,False,224.378,,"LINESTRING (114.1315329 22.5444324, 114.1316691 22.5445923, 114.1317495 22.5446739, 114.1318201 22.5447641, 114.1319116 22.5449302, 114.1319707 22.5450216, 114.1320853 22.5451263, 114.1331517 22.5457221)",,,2,,,
2794076509,2794076376,0,274729235,秀南街,residential,False,False,79.811,,"LINESTRING (114.1382785 22.5471514, 114.1390499 22.5472386)",,,2,,,
2794076509,2794076466,0,274729235,秀南街,residential,False,True,120.317,,"LINESTRING (114.1382785 22.5471514, 114.1371156 22.5470199)",,,2,,,
2794076509,2794076466,1,"[274729216, 904096426]",,"['unclassified', 'residential']",False,"[False, True]",219.796,,"LINESTRING (114.1382785 22.5471514, 114.1382529 22.5473137, 114.1382342 22.5473633, 114.1381939 22.5474252, 114.1377557 22.5479024, 114.1371156 22.5470199)",,,,,,
2794076513,2794076462,0,274729218,,unclassified,False,True,287.318,,"LINESTRING (114.1341706 22.5429193, 114.1357144 22.5450742)",,,,,,
2794076516,2794076462,0,274729214,,unclassified,False,True,107.677,,"LINESTRING (114.1365739 22.5445196, 114.1357144 22.5450742)",,,,,,
2794076541,2794076590,0,"[904096425, 274729230]",,residential,False,"[False, True]",55.592,,"LINESTRING (114.1331517 22.5457221, 114.1333784 22.5453447, 114.133314 22.545311)",,,,,,
2794076541,2377880293,0,647444376,沿河南路,primary,True,False,154.45899999999997,,"LINESTRING (114.1331517 22.5457221, 114.1333758 22.5458587, 114.1336991 22.5460612, 114.134034 22.5462918, 114.1343546 22.5465525)",,,,,,
2794076567,2794076507,0,274729226,,residential,True,False,180.27300000000002,,"LINESTRING (114.1300266 22.5436404, 114.1301299 22.5436392, 114.1303155 22.5437374, 114.131135 22.5441712, 114.1314169 22.544323, 114.1314852 22.5443727, 114.1315329 22.5444324)",,,,,,
2794076567,2377880330,0,"[674335481, 973549774]",锦联二路,tertiary,False,False,108.86100000000002,,"LINESTRING (114.1300266 22.5436404, 114.1303202 22.5431708, 114.1303942 22.5430525, 114.130419 22.5430061, 114.1304431 22.5429499, 114.1304946 22.5427681)",,,,,,
2794076567,8536814053,0,973549778,锦联二路,tertiary,False,True,46.277,,"LINESTRING (114.1300266 22.5436404, 114.1298523 22.5439191, 114.129805 22.5440027)",,,,,,
2794076578,2794076324,0,166444177,延芳路,secondary,False,True,120.205,,"LINESTRING (114.1358662 22.5452889, 114.1368043 22.5446424)",,,,,,
2794076578,2794076462,0,274729218,,unclassified,False,False,28.513,,"LINESTRING (114.1358662 22.5452889, 114.1357144 22.5450742)",,,,,,
2794076578,2794076466,0,274729235,秀南街,residential,False,False,231.325,,"LINESTRING (114.1358662 22.5452889, 114.1371156 22.5470199)",,,2,,,
2794076578,2377880293,0,166444177,延芳路,secondary,False,False,209.55599999999998,,"LINESTRING (114.1358662 22.5452889, 114.135643 22.5454401, 114.1353572 22.5456834, 114.1343546 22.5465525)",,,,,,
2794076590,2794076457,0,274729211,,residential,False,False,70.023,,"LINESTRING (114.133314 22.545311, 114.1336288 22.5447524)",,,,,,
2794076590,2794076507,0,904096425,,residential,False,False,207.37,,"LINESTRING (114.133314 22.545311, 114.1315329 22.5444324)",,,,,,
2794076590,2794076541,0,"[904096425, 274729230]",,residential,False,"[False, True]",55.592,,"LINESTRING (114.133314 22.545311, 114.1333784 22.5453447, 114.1331517 22.5457221)",,,,,,
2881798519,348416120,0,769531017,文锦南路,trunk,True,False,10.279,G107,"LINESTRING (114.1260253 22.5450586, 114.1260223 22.545151)",,,,,,
2881798519,8536817884,0,769531018,春风路,tertiary,True,False,25.958,,"LINESTRING (114.1260253 22.5450586, 114.12618 22.5450979, 114.1262709 22.5451128)",,,2,,,
2881798526,2881798556,0,284433361,,primary_link,True,False,130.25400000000002,,"LINESTRING (114.1327323 22.5489619, 114.1336457 22.5489888, 114.1340002 22.5489889)",,,,,,
2881798526,2660970340,0,"[685048802, 260572533]",深南东路,primary,True,False,387.92,,"LINESTRING (114.1327323 22.5489619, 114.1329696 22.549003, 114.1338614 22.5491572, 114.134688 22.5492621, 114.1360979 22.5494409, 114.1364667 22.5494798)",yes,,,,,
