u,v,key,osmid,oneway,lanes,name,highway,reversed,length,geometry,bridge
2456776556,8234513340,0,996309282,True,,深南东路,primary,False,179.07999999999998,"LINESTRING (114.1151214 22.5460788, 114.1167876 22.5463415, 114.1168197 22.5463466, 114.1168403 22.5463499)",
2456776574,8234513338,0,272771512,True,,深南东路,primary,False,35.64,"LINESTRING (114.1171974 22.5464073, 114.1175391 22.5464633)",
2456776574,2278166635,0,996531091,True,,东门中路,primary,False,15.089,"LINESTRING (114.1171974 22.5464073, 114.1171688 22.5465404)",
2456776584,3583675480,0,237810420,True,,深南东路,primary,False,389.09,"LINESTRING (114.1019412 22.5437136, 114.1023761 22.5438237, 114.1056279 22.5445187)",
2456778741,6935521575,0,996647545,True,,深南东路,primary,False,10.194,"LINESTRING (114.1136537 22.5458472, 114.1137515 22.5458629)",
2456778741,8202181824,0,996309279,True,,人民南路,secondary,False,168.16,"LINESTRING (114.1136537 22.5458472, 114.113633 22.5456556, 114.1135686 22.5443372)",
2456799823,2760370738,0,271078734,True,,,secondary_link,False,129.197,"LINESTRING (114.1104257 22.5470892, 114.1103636 22.5471963, 114.1103476 22.547231, 114.1102825 22.5474427, 114.1102704 22.5474755, 114.1102534 22.5475049, 114.1102321 22.5475234, 114.1102085 22.547534, 114.1101773 22.5475391, 114.1101428 22.5475384, 114.1099001 22.5475038, 114.109856 22.5474963, 114.1098132 22.5474853, 114.1097675 22.5474647, 114.1097308 22.5474426, 114.1096976 22.5474124, 114.109666 22.5473733, 114.1096421 22.5473382, 114.109622 22.547305, 114.1096049 22.5472746)",
2456799823,7145693559,0,996755169,True,,建设路,secondary,False,67.378,"LINESTRING (114.1104257 22.5470892, 114.1104014 22.5472849, 114.110351 22.5476912)",
2456799837,8204059375,0,996321286,True,,深南东路,primary,False,39.533,"LINESTRING (114.1016923 22.543851, 114.101316 22.5437761)",
2456799878,2044364017,0,237813001,False,,布艺街,tertiary,True,65.586,"LINESTRING (114.1126643 22.5458144, 114.112558 22.546396)",
2456799878,2760370694,0,996321281,True,,深南东路,primary,False,140.46699999999998,"LINESTRING (114.1126643 22.5458144, 114.1121495 22.545731, 114.1113171 22.5455961)",
2473495720,2473499165,0,271568317,True,,解放路,tertiary,False,55.162,"LINESTRING (114.1024035 22.5443326, 114.1019703 22.5440393)",
2473495726,2473495720,0,239572277,True,,,tertiary_link,False,57.423,"LINESTRING (114.1029122 22.5442917, 114.1028666 22.5443363, 114.1028103 22.5443758, 114.102754 22.5444007, 114.1026977 22.5444007, 114.1024035 22.5443326)",
2473495726,8562237015,0,303010832,True,,解放路,tertiary,False,400.029,"LINESTRING (114.1029122 22.5442917, 114.1029015 22.5443511, 114.1029027 22.5444071, 114.1029176 22.5444675, 114.1029403 22.5445201, 114.102979 22.5445702, 114.1031998 22.5447428, 114.1036081 22.5450329, 114.1038316 22.5451883, 114.1039284 22.5452545, 114.1040529 22.545331, 114.1042515 22.5454387, 114.1044545 22.545536, 114.1060246 22.5462729)",
2473499154,8204059378,0,239572650,False,,,unclassified,True,82.027,"LINESTRING (114.1010957 22.545096, 114.1018944 22.5451022)",
2473499154,8204059387,0,239572651,False,4,蔡屋围一街,tertiary,False,86.065,"LINESTRING (114.1010957 22.545096, 114.1010893 22.545469, 114.1010825 22.5458699)",
2473499154,8204059376,0,239572651,False,4,蔡屋围一街,tertiary,True,96.485,"LINESTRING (114.1010957 22.545096, 114.1011043 22.5445916, 114.1011105 22.5442284)",
2473499165,8204059378,0,239572649,False,,蔡屋围五街,tertiary,False,118.446,"LINESTRING (114.1019703 22.5440393, 114.1018944 22.5451022)",
2473499165,2456799837,0,271568317,True,,解放路,tertiary,False,35.405,"LINESTRING (114.1019703 22.5440393, 114.1016923 22.543851)",
2473513205,7236140443,0,239574109,False,,,residential,False,183.317,"LINESTRING (114.1053378 22.5460637, 114.1052738 22.5462049, 114.1050283 22.5467457, 114.1049155 22.5469944, 114.1047612 22.5473344, 114.1046479 22.5475842)",
