u,v,key,osmid,oneway,name,highway,reversed,length,geometry,bridge,ref,lanes,maxspeed
1116554020,1116553943,0,96337917,True,红树林路,tertiary,False,338.036,"LINESTRING (114.0051388 22.530092, 114.0049545 22.530145, 114.0048105 22.5301955, 114.0046814 22.5302664, 114.0045656 22.5303643, 114.0044628 22.5304597, 114.0043947 22.5305391, 114.0043151 22.530642, 114.0042749 22.5307153, 114.0042163 22.5308317, 114.0041811 22.53092, 114.0041587 22.5310006, 114.0038327 22.532659)",,,,
1116554020,6094445348,0,1051307488,True,滨海大道辅路,primary,False,134.025,"LINESTRING (114.0051388 22.530092, 114.0040781 22.5302567, 114.0038514 22.5302887)",,,3,
1116554193,5726058018,0,996657789,True,深南大道,primary,False,12.328,"LINESTRING (114.0030679 22.5358502, 114.003186 22.53587)",,,3,
1116554193,8894987726,0,649374608,True,红树林路,tertiary,False,50.510999999999996,"LINESTRING (114.0030679 22.5358502, 114.0031014 22.5356862, 114.0031122 22.5356332, 114.0031572 22.5354035)",,,,
1491785475,3556989140,0,223456779,False,东涌路,residential,False,6.148,"LINESTRING (114.0194715 22.5305037, 114.01945 22.5304521)",,,2,
1491785475,498877557,0,135906410,False,东涌路,residential,True,130.174,"LINESTRING (114.0194715 22.5305037, 114.0195924 22.5310604, 114.019604 22.5314965, 114.0195879 22.5316625)",,,2,
1491785595,7973259348,0,636701233,False,泰然十一路,tertiary,True,94.127,"LINESTRING (114.0181 22.5319316, 114.0179254 22.5327626)",,,2,
1491785595,498877512,0,1051282763,True,滨河大道辅路,primary,False,12.116,"LINESTRING (114.0181 22.5319316, 114.0179865 22.5319019)",,,,
1491785596,1491785595,0,1051282763,True,滨河大道辅路,primary,False,177.166,"LINESTRING (114.0197878 22.5322547, 114.0196711 22.5322388, 114.0193551 22.5321941, 114.0190484 22.5321407, 114.0188024 22.5320926, 114.0185513 22.5320387, 114.0182864 22.5319774, 114.0181 22.5319316)",,,,
1491785704,2529179594,0,135906438,False,,unclassified,True,87.393,"LINESTRING (114.0188499 22.5348793, 114.0186961 22.5356523)",,,,
1491785704,2529179606,0,636701238,False,,unclassified,False,150.666,"LINESTRING (114.0188499 22.5348793, 114.0174087 22.5346264)",,,,
1491785704,7973259312,0,636701238,False,,unclassified,True,71.84100000000001,"LINESTRING (114.0188499 22.5348793, 114.0192158 22.5349419, 114.0195377 22.5349969)",,,,
1491785794,1491785824,0,546581816,True,泰然九路,tertiary,False,69.323,"LINESTRING (114.0191632 22.5374293, 114.019045 22.5380431)",,,2,
1491785824,1491785846,0,"[546581816, 856026044]",True,泰然九路,tertiary,False,49.33800000000001,"LINESTRING (114.019045 22.5380431, 114.0190121 22.5382139, 114.0190068 22.5382607, 114.0190063 22.5382993, 114.0190093 22.5383322, 114.0190152 22.5383638, 114.019025 22.5383917, 114.0190371 22.5384154, 114.0190516 22.5384368, 114.0190735 22.5384698)",,,2,
1491785843,1491785846,0,837565287,True,深南大道辅路,secondary,False,33.096,"LINESTRING (114.0187559 22.5384194, 114.0190735 22.5384698)",,,2,
1491785843,7973259329,0,"[856026045, 135906407]",True,泰然九路,tertiary,False,271.664,"LINESTRING (114.0187559 22.5384194, 114.0187788 22.5384116, 114.0188004 22.5384004, 114.0188237 22.5383816, 114.0188443 22.5383617, 114.0188622 22.5383403, 114.018883 22.5383133, 114.0189014 22.5382794, 114.0189124 22.5382417, 114.0189247 22.5381939, 114.0193002 22.5362355, 114.0193316 22.5360716)",,,"['1', '2']",30
2323527390,5187527925,0,1051282772,True,滨河大道辅路,primary,False,109.797,"LINESTRING (114.0166443 22.5310484, 114.0167344 22.5310688, 114.0168919 22.5310996, 114.0173379 22.5311943, 114.0176864 22.5312685)",,,,
2402263623,2402263626,0,231901254,True,白石路,secondary,False,14.003,"LINESTRING (114.003728 22.5332147, 114.0035992 22.5331734)",,,,
2402263623,4853113948,0,1051307490,True,红树林路,tertiary,False,57.024,"LINESTRING (114.003728 22.5332147, 114.0036226 22.5337182)",,,,
2402263626,1116553842,0,649374608,True,红树林路,tertiary,False,15.877,"LINESTRING (114.0035992 22.5331734, 114.0036285 22.5330332)",,,,
2402263626,4853113942,0,231901254,True,白石路,secondary,False,48.144999999999996,"LINESTRING (114.0035992 22.5331734, 114.0034597 22.5331349, 114.0031436 22.5330728)",,,,
2458960414,2458960447,0,208124047,True,,primary_link,False,64.73700000000001,"LINESTRING (114.0009369 22.5357997, 114.0007898 22.5357962, 114.0005148 22.5358041, 114.0003069 22.5357969)",,,,
2460129078,498491735,0,546581812,True,福田立交,motorway_link,False,73.849,"LINESTRING (114.0116598 22.5338071, 114.0117383 22.5336062, 114.0117661 22.5335352, 114.0117932 22.5334744, 114.0118293 22.5334063, 114.011869 22.5333461, 114.0119156 22.5332916, 114.0119804 22.5332197)",,,,
2460129181,2460129078,0,1050532703,True,福田立交,motorway_link,False,12.681,"LINESTRING (114.0116208 22.5339153, 114.0116598 22.5338071)",,,,
2460129181,5281990501,0,996750293,True,白石路,secondary,False,94.76400000000001,"LINESTRING (114.0116208 22.5339153, 114.0113477 22.5338592, 114.0112353 22.5338458, 114.011141 22.5338426, 114.0110348 22.5338499, 114.0107086 22.5338873)",,,,
2528818925,5726058055,0,40933459,False,,residential,True,413.788,"LINESTRING (114.0125306 22.5385823, 114.0089087 22.5380065, 114.0088557 22.5379838, 114.0088133 22.5379446, 114.0087736 22.5378883, 114.0087137 22.5377486)",,,,
2528818925,9906899086,0,1080043846,False,建业街,residential,False,114.54199999999999,"LINESTRING (114.0125306 22.5385823, 114.0126257 22.5385973, 114.0134187 22.5387228, 114.0134783 22.538734, 114.0136246 22.5387767)",,,2,
