u,v,key,osmid,oneway,ref,name,highway,reversed,length,geometry,lanes,maxspeed,bridge
2367048642,7517355789,0,228054560,False,,,residential,True,81.236,"LINESTRING (113.9902064 22.5573925, 113.990126 22.5574773, 113.9900319 22.5575127, 113.9898211 22.5575628, 113.9896905 22.5576055, 113.9895257 22.557697, 113.989508 22.5577032)",,,
2367048642,2367048627,0,228054565,False,,,residential,False,42.782,"LINESTRING (113.9902064 22.5573925, 113.9900856 22.5570564, 113.9900641 22.5570331)",,,
2367048717,2367048567,0,228054558,False,,,residential,False,209.50100000000006,"LINESTRING (113.9864199 22.5571828, 113.9865674 22.5572554, 113.986708 22.5573285, 113.9867928 22.557371, 113.9868696 22.5574439, 113.986927 22.5575367, 113.9869978 22.5576205, 113.9870921 22.55768, 113.987207 22.5577164, 113.9873144 22.5577202, 113.9874163 22.5577021, 113.9875504 22.5576632, 113.9876201 22.5576533, 113.9877332 22.5576525, 113.9878341 22.5576646, 113.9879141 22.5576608, 113.9880113 22.5576244, 113.9880718 22.5575743, 113.9881108 22.5575205, 113.9881368 22.5574655)",,,
2367048717,2367048545,0,228054569,False,,,residential,False,56.99,"LINESTRING (113.9864199 22.5571828, 113.9864207 22.5572211, 113.9864073 22.5572576, 113.9863809 22.5572881, 113.986358 22.5573028, 113.9863172 22.5573149, 113.9862617 22.5573098, 113.986224 22.5572903, 113.9862012 22.5572673, 113.9861836 22.5572311, 113.98618 22.5572017, 113.9861883 22.5571633, 113.9861999 22.5571427, 113.9862284 22.5571147, 113.9862657 22.5570972)",,,
2367048717,2367048545,1,228054569,False,,,residential,True,20.747,"LINESTRING (113.9864199 22.5571828, 113.9864131 22.5571619, 113.9863914 22.5571297, 113.9863732 22.5571144, 113.9863367 22.5570973, 113.9863065 22.5570924, 113.9862657 22.5570972)",,,
2367048723,2367048642,0,228054560,False,,,residential,True,22.657,"LINESTRING (113.9904244 22.5574237, 113.9903023 22.5574081, 113.9902064 22.5573925)",,,
2367048723,2367048723,0,228054571,False,,,residential,False,58.86,"LINESTRING (113.9904244 22.5574237, 113.9904396 22.5573965, 113.990474 22.5573714, 113.9905054 22.557364, 113.9905333 22.557366, 113.9905623 22.5573775, 113.9905866 22.557399, 113.9906001 22.5574245, 113.9906035 22.5574412, 113.990601 22.5574694, 113.9905953 22.557484, 113.9905779 22.5575074, 113.9905529 22.5575242, 113.9905229 22.5575325, 113.9904838 22.5575289, 113.9904553 22.5575149, 113.9904399 22.5575006, 113.9904246 22.5574737, 113.9904206 22.5574434, 113.9904244 22.5574237)",,,
2367048723,2367048723,1,228054571,False,,,residential,True,58.860000000000014,"LINESTRING (113.9904244 22.5574237, 113.9904206 22.5574434, 113.9904246 22.5574737, 113.9904399 22.5575006, 113.9904553 22.5575149, 113.9904838 22.5575289, 113.9905229 22.5575325, 113.9905529 22.5575242, 113.9905779 22.5575074, 113.9905953 22.557484, 113.990601 22.5574694, 113.9906035 22.5574412, 113.9906001 22.5574245, 113.9905866 22.557399, 113.9905623 22.5573775, 113.9905333 22.557366, 113.9905054 22.557364, 113.990474 22.5573714, 113.9904396 22.5573965, 113.9904244 22.5574237)",,,
2367048904,2367048494,0,601620106,True,,,residential,False,20.644,"LINESTRING (113.988163 22.5586229, 113.9881362 22.5584389)",,,
2367048904,2528997124,0,245769070,True,,北环大道辅路,primary,False,344.369,"LINESTRING (113.988163 22.5586229, 113.9884576 22.5585908, 113.9887444 22.5585457, 113.9890687 22.5584783, 113.9894103 22.558394, 113.9898346 22.5582633, 113.9899129 22.5582392, 113.9901496 22.5581755, 113.9911532 22.557782, 113.9912543 22.557733, 113.9913407 22.5576881)",,,
2528997038,5187499061,0,245769070,True,,北环大道辅路,primary,False,318.40999999999997,"LINESTRING (113.9923696 22.5572056, 113.9932318 22.5568008, 113.9936301 22.5566569, 113.9952598 22.5561916)",,,
2528997078,7517355936,0,245769075,False,,,tertiary,False,451.53200000000004,"LINESTRING (113.9895007 22.5563913, 113.9869927 22.5565045, 113.9868119 22.5565078, 113.98662 22.5565024, 113.9864884 22.5564898, 113.9863582 22.5564691, 113.9862289 22.5564421, 113.9860934 22.5564089, 113.9858185 22.5563417, 113.9855513 22.5562752, 113.985293 22.5562033, 113.9851595 22.5561505)",,,
2528997078,2528997162,0,245769075,False,,,tertiary,True,107.99799999999999,"LINESTRING (113.9895007 22.5563913, 113.9897605 22.556392, 113.9898998 22.5564112, 113.9900161 22.5564337, 113.9901421 22.5564655, 113.9903227 22.5565351, 113.9904989 22.5566335)",,,
2528997078,7510804333,0,270683507,False,,,unclassified,True,732.0960000000001,"LINESTRING (113.9895007 22.5563913, 113.9882879 22.5553472, 113.9882048 22.5553026, 113.9879029 22.5551953, 113.9860829 22.5547494, 113.9859701 22.5546968, 113.9858322 22.5546077, 113.9854884 22.5543451, 113.9846403 22.5536917, 113.9843014 22.5534482, 113.9841243 22.5534698, 113.983606 22.5536678, 113.9834621 22.5537194)",,,
2528997124,2528997038,0,245769070,True,,北环大道辅路,primary,False,118.497,"LINESTRING (113.9913407 22.5576881, 113.9923696 22.5572056)",,,
2528997124,2528997162,0,535064399,True,,,tertiary,False,160.875,"LINESTRING (113.9913407 22.5576881, 113.9913912 22.5575788, 113.9914154 22.5575144, 113.9914181 22.5574475, 113.9914047 22.557393, 113.9913591 22.5573262, 113.9912866 22.5572692, 113.9908869 22.5570012, 113.9908195 22.556949, 113.9904989 22.5566335)",,,
2528997162,2528997038,0,245769074,True,,,tertiary,False,210.82500000000002,"LINESTRING (113.9904989 22.5566335, 113.9911338 22.5569856, 113.9914719 22.5571606, 113.9915679 22.5572069, 113.9917039 22.5572469, 113.9918503 22.5572692, 113.9920177 22.5572667, 113.9923696 22.5572056)",,,
2528997162,2528997078,0,245769075,False,,,tertiary,False,107.99799999999999,"LINESTRING (113.9904989 22.5566335, 113.9903227 22.5565351, 113.9901421 22.5564655, 113.9900161 22.5564337, 113.9898998 22.5564112, 113.9897605 22.556392, 113.9895007 22.5563913)",,,
2756922851,2756922928,0,759795400,False,,深云西四路,tertiary,True,162.917,"LINESTRING (113.9810333 22.5553523, 113.982574 22.5557018)",,,
2756922851,2756922926,0,160220798,False,,深云西二路,tertiary,False,190.531,"LINESTRING (113.9810333 22.5553523, 113.9811312 22.5552349, 113.9812536 22.5551108, 113.9813888 22.5549979, 113.9824285 22.5542306)",,,
2756922851,4899192474,0,160220798,False,,深云西二路,tertiary,True,240.579,"LINESTRING (113.9810333 22.5553523, 113.9809457 22.5554896, 113.9808823 22.5556148, 113.9808269 22.5557566, 113.9807751 22.5559153, 113.9807335 22.5560719, 113.9804234 22.5574303)",,,
2756922926,1722823003,0,160220798,False,,深云西二路,tertiary,False,47.821,"LINESTRING (113.9824285 22.5542306, 113.9827962 22.5539667)",,,
2756922926,2756922851,0,160220798,False,,深云西二路,tertiary,True,190.53099999999998,"LINESTRING (113.9824285 22.5542306, 113.9813888 22.5549979, 113.9812536 22.5551108, 113.9811312 22.5552349, 113.9810333 22.5553523)",,,
2756922926,2756922928,0,759795399,False,,深云西五路,tertiary,False,183.37700000000004,"LINESTRING (113.9824285 22.5542306, 113.9824938 22.5543214, 113.9825426 22.5543935, 113.982602 22.5545053, 113.9826516 22.554623, 113.9827043 22.5548112, 113.982732 22.5549569, 113.9827598 22.5551734, 113.9827732 22.555412, 113.982774 22.5555246, 113.9827623 22.5555882, 113.9827433 22.5556317, 113.9827078 22.5556681, 113.9826684 22.5556914, 113.9826264 22.5557028, 113.982574 22.5557018)",,,
2756922928,2756922851,0,759795400,False,,深云西四路,tertiary,False,162.917,"LINESTRING (113.982574 22.5557018, 113.9810333 22.5553523)",,,
