u,v,key,osmid,oneway,name,highway,reversed,length,geometry,lanes
7977056101,1116492812,0,245930185,True,,primary_link,False,17.983,"LINESTRING (114.0433593 22.5503618, 114.0433845 22.5503651, 114.0434034 22.5503658, 114.0434232 22.5503644, 114.0434856 22.5503531, 114.0435098 22.5503522, 114.0435328 22.5503541)",
7977056101,7967831901,0,1050921370,True,红荔路,primary,False,81.801,"LINESTRING (114.0433593 22.5503618, 114.0434207 22.5503775, 114.0439064 22.5505016, 114.0440047 22.5505222, 114.0441315 22.550539)",
7977056110,7977056150,0,245930185,True,,primary_link,False,62.52199999999999,"LINESTRING (114.043763 22.5504062, 114.0438579 22.5504277, 114.0438819 22.5504298, 114.0439049 22.5504295, 114.0439263 22.5504261, 114.0439467 22.5504209, 114.0439674 22.5504114, 114.0439908 22.5503961, 114.0440146 22.5503777, 114.0440375 22.5503558, 114.0440613 22.550326, 114.0440807 22.5502968, 114.0440995 22.5502606, 114.0441153 22.5502218, 114.0441282 22.5501747, 114.0441342 22.5501365, 114.0441399 22.5500949)",
7979238441,7979256745,0,245929532,True,七号路,residential,False,71.87,"LINESTRING (114.0424388 22.5519388, 114.0424534 22.5512926)",
7979238441,7979256746,0,855693206,False,翠叶道,residential,False,5.834,"LINESTRING (114.0424388 22.5519388, 114.0424956 22.55194)",
7979256663,7979256664,0,1050921368,True,红荔路,primary,False,7.128,"LINESTRING (114.0425401 22.550342, 114.0424732 22.5503249)",
7979256663,7979256744,0,855693215,True,七号路,residential,False,105.856,"LINESTRING (114.0425401 22.550342, 114.042536 22.5504021, 114.0425125 22.5512936)",
7979256664,7979256700,0,1050921368,True,红荔路,primary,False,97.118,"LINESTRING (114.0424732 22.5503249, 114.0417254 22.5501336, 114.0416482 22.5501139, 114.0415618 22.5500918)",
7979256700,7979256695,0,1050921368,True,红荔路,primary,False,16.113,"LINESTRING (114.0415618 22.5500918, 114.0414106 22.5500531)",
7979256700,7979256742,0,245929530,True,景田东路,tertiary,False,208.564,"LINESTRING (114.0415618 22.5500918, 114.0415372 22.5501058, 114.0415197 22.5501231, 114.0415083 22.5501465, 114.0415016 22.5501767, 114.0414989 22.5502086, 114.0414804 22.5512762, 114.0414728 22.5517161, 114.0414703 22.5517826, 114.0414632 22.5518528, 114.0414508 22.5519272, 114.0414474 22.5519437)",
7979256704,7979256741,0,855693218,True,新景街,residential,False,7.211,"LINESTRING (114.0414357 22.5519999, 114.041366 22.551992)",
7979256704,7979256747,0,245929530,True,景田东路,tertiary,False,34.107,"LINESTRING (114.0414357 22.5519999, 114.0414181 22.5520702, 114.0413393 22.5522932)",
7979256741,7979256743,0,855693217,True,景田东路,tertiary,False,5.645,"LINESTRING (114.041366 22.551992, 114.0413777 22.5519424)",
7979256742,7979256704,0,245929530,True,景田东路,tertiary,False,6.364,"LINESTRING (114.0414474 22.5519437, 114.0414357 22.5519999)",
7979256743,7979256742,0,245929531,True,新景街,residential,False,7.159,"LINESTRING (114.0413777 22.5519424, 114.0414474 22.5519437)",
7979256743,7979256695,0,855693217,True,景田东路,tertiary,False,210.49699999999996,"LINESTRING (114.0413777 22.5519424, 114.0413875 22.5518788, 114.041395 22.5518122, 114.0413991 22.5517392, 114.0414296 22.5502061, 114.0414297 22.5501687, 114.0414292 22.5501357, 114.0414266 22.5501046, 114.0414212 22.5500786, 114.0414106 22.5500531)",
7979256744,7979256746,0,855693215,True,七号路,residential,False,71.897,"LINESTRING (114.0425125 22.5512936, 114.0424956 22.55194)",
7979256744,7979256745,0,855693219,False,九号路,residential,True,6.07,"LINESTRING (114.0425125 22.5512936, 114.0424534 22.5512926)",
7979256744,8444060581,0,855693219,False,九号路,residential,False,115.57900000000001,"LINESTRING (114.0425125 22.5512936, 114.0435878 22.5513116, 114.0436378 22.5513119)",
7979256745,7979256744,0,855693219,False,九号路,residential,False,6.07,"LINESTRING (114.0424534 22.5512926, 114.0425125 22.5512936)",
7979256745,7979256664,0,245929532,True,七号路,residential,False,107.625,"LINESTRING (114.0424534 22.5512926, 114.0424735 22.550397, 114.0424732 22.5503249)",
7979256746,7979238441,0,855693206,False,翠叶道,residential,True,5.834,"LINESTRING (114.0424956 22.55194, 114.0424388 22.5519388)",
7979256746,2530277098,0,855693215,True,七号路,residential,False,41.31,"LINESTRING (114.0424956 22.55194, 114.0424858 22.5523114)",
7979256746,8444060582,0,855693206,False,翠叶道,residential,False,115.88499999999999,"LINESTRING (114.0424956 22.55194, 114.043576 22.5519619, 114.0436238 22.5519629)",
7979256747,7979256748,0,245929516,False,十一号路,residential,False,112.074,"LINESTRING (114.0413393 22.5522932, 114.0424305 22.5523105)",
7979256747,2530277084,0,245929516,False,十一号路,residential,True,7.251,"LINESTRING (114.0413393 22.5522932, 114.0412687 22.5522921)",
7979256747,7979256760,0,245929530,True,景田东路,tertiary,False,122.308,"LINESTRING (114.0413393 22.5522932, 114.0412686 22.5524935, 114.0412424 22.5525702, 114.0412216 22.5526475, 114.0412043 22.5527245, 114.0411911 22.552811, 114.0411828 22.5528914, 114.0411791 22.5529569, 114.0411743 22.5532801, 114.0411729 22.5533737)",
7979256748,2530277098,0,245929516,False,十一号路,residential,False,5.68,"LINESTRING (114.0424305 22.5523105, 114.0424858 22.5523114)",
7979256748,7979256747,0,245929516,False,十一号路,residential,True,112.074,"LINESTRING (114.0424305 22.5523105, 114.0413393 22.5522932)",
7979256748,7979238441,0,245929532,True,七号路,residential,False,41.34,"LINESTRING (114.0424305 22.5523105, 114.0424388 22.5519388)",
7979256752,7979256756,0,855693220,True,商报路,tertiary,False,5.39,"LINESTRING (114.0424551 22.5534787, 114.0424027 22.5534815)",
7979256754,7979256755,0,854392422,False,商报东二路,residential,True,9.287,"LINESTRING (114.0435906 22.5534976, 114.0435924 22.5534141)",2
7979256754,2530277113,0,854392422,False,商报东二路,residential,False,188.046,"LINESTRING (114.0435906 22.5534976, 114.0435561 22.5550976, 114.0435492 22.5551882)",2
7979256754,7979256752,0,855693220,True,商报路,tertiary,False,116.62400000000001,"LINESTRING (114.0435906 22.5534976, 114.043463 22.5534955, 114.0424551 22.5534787)",
7979256755,7979256754,0,854392422,False,商报东二路,residential,False,9.287,"LINESTRING (114.0435924 22.5534141, 114.0435906 22.5534976)",2
7979256755,8444060582,0,854392422,False,商报东二路,residential,True,161.399,"LINESTRING (114.0435924 22.5534141, 114.0436238 22.5519629)",2
7979256756,7979256881,0,245929532,True,七号路,residential,False,9.756,"LINESTRING (114.0424027 22.5534815, 114.0424054 22.5533938)",
7979256756,7979256759,0,855693220,True,商报路,tertiary,False,126.50699999999999,"LINESTRING (114.0424027 22.5534815, 114.0421497 22.5534947, 114.0412607 22.5534822, 114.0411713 22.5534809)",
7979256757,7979256758,0,855693217,True,景田东路,tertiary,False,11.933,"LINESTRING (114.0411103 22.5534801, 114.0411123 22.5533728)",
7979256758,7979256760,0,245925442,True,商报路,tertiary,False,6.224,"LINESTRING (114.0411123 22.5533728, 114.0411729 22.5533737)",
7979256758,2530277084,0,855693217,True,景田东路,tertiary,False,122.03099999999999,"LINESTRING (114.0411123 22.5533728, 114.0411197 22.5529639, 114.0411268 22.5528479, 114.0411439 22.5527264, 114.0411714 22.5525979, 114.0412094 22.5524662, 114.0412687 22.5522921)",
7979256759,7979256757,0,855693220,True,商报路,tertiary,False,6.265,"LINESTRING (114.0411713 22.5534809, 114.0411103 22.5534801)",
7979256759,2530277169,0,245929530,True,景田东路,tertiary,False,129.232,"LINESTRING (114.0411713 22.5534809, 114.0411613 22.5541557, 114.041154 22.554643)",
7979256760,7979256881,0,245925442,True,商报路,tertiary,False,126.587,"LINESTRING (114.0411729 22.5533737, 114.0424054 22.5533938)",
7979256760,7979256759,0,245929530,True,景田东路,tertiary,False,11.921,"LINESTRING (114.0411729 22.5533737, 114.0411713 22.5534809)",
7979256766,2530277094,0,245929524,False,安景道,residential,True,6.665,"LINESTRING (114.0411394 22.5551212, 114.0410745 22.5551206)",
7979256766,7967831896,0,"[854392424, 245929524]",False,安景道,residential,False,90.501,"LINESTRING (114.0411394 22.5551212, 114.0411997 22.5551217, 114.0419702 22.5551279, 114.0420199 22.5551198)",
7979256766,7979924894,0,245929530,True,景田东路,tertiary,False,141.46000000000004,"LINESTRING (114.0411394 22.5551212, 114.041134 22.5551691, 114.0411189 22.555259, 114.0411016 22.5553402, 114.04108 22.555431, 114.0410537 22.5555146, 114.041027 22.5555955, 114.0410002 22.5556634, 114.0409658 22.5557345, 114.0407622 22.5560852, 114.0407535 22.5561044, 114.0407448 22.5561316, 114.0407408 22.5561542, 114.0407408 22.5561768, 114.0407441 22.5561963, 114.0407511 22.5562161, 114.0407604 22.5562336, 114.0407723 22.5562484, 114.0407851 22.5562617, 114.0407995 22.5562726, 114.0408132 22.5562811, 114.0408275 22.5562864)",
7979256881,7979256882,0,245925442,True,商报路,tertiary,False,5.33,"LINESTRING (114.0424054 22.5533938, 114.0424573 22.5533946)",
7979256881,7979256748,0,245929532,True,七号路,residential,False,120.48599999999999,"LINESTRING (114.0424054 22.5533938, 114.0424078 22.5533174, 114.0424305 22.5523105)",
7979256882,7979256752,0,855693215,True,七号路,residential,False,9.354,"LINESTRING (114.0424573 22.5533946, 114.0424551 22.5534787)",
7979256882,7979256755,0,245925442,True,商报路,tertiary,False,116.58500000000001,"LINESTRING (114.0424573 22.5533946, 114.0434621 22.553411, 114.0435924 22.5534141)",
7979918290,7967831847,0,245929529,True,,primary_link,False,64.655,"LINESTRING (114.0425193 22.5564782, 114.042607 22.5564635, 114.0426959 22.5564518, 114.0427732 22.5564476, 114.0428836 22.5564508, 114.0430175 22.5564605, 114.0431453 22.5564728)",
7979918290,7967831812,0,996657794,True,莲花路,primary,False,122.19200000000001,"LINESTRING (114.0425193 22.5564782, 114.0431181 22.5565622, 114.0431997 22.5565758, 114.0432786 22.5565925, 114.0433652 22.556616, 114.0435122 22.5566604, 114.0436778 22.556714)",
