u,v,key,osmid,oneway,lanes,highway,reversed,length,geometry,bridge,name,maxspeed,access,junction
7328919703,7328910146,0,"[784508836, 784508838, 784508839]",False,2,tertiary,False,251.434,"LINESTRING (114.152815 22.5463962, 114.1528237 22.5465371, 114.1528448 22.5468028, 114.1528644 22.547116, 114.1528605 22.547238, 114.1528543 22.5473541, 114.1528206 22.5475623, 114.1527264 22.5479305, 114.1526352 22.5482705, 114.1526353 22.5482958, 114.1526381 22.5483476, 114.1526525 22.54844, 114.1526756 22.5485119, 114.1527194 22.5486217)",,蓮麻坑路 Lin Ma Hang Road,,,
7328919703,7328910162,0,784508836,False,2,tertiary,True,53.474,"LINESTRING (114.152815 22.5463962, 114.1527903 22.5461245, 114.1527812 22.5460146, 114.1527769 22.5459516, 114.1527705 22.5459172)",,蓮麻坑路 Lin Ma Hang Road,,,
7444965961,4786969353,0,795964844,False,,residential,True,13.723,"LINESTRING (114.1558468 22.5451727, 114.1557873 22.5450622)",,,,,
7444965961,6478539346,0,623701026,False,,residential,False,201.178,"LINESTRING (114.1558468 22.5451727, 114.1559063 22.5451519, 114.1560378 22.5450281, 114.1561409 22.5448794, 114.1561719 22.5448175, 114.1561719 22.5446763, 114.1561314 22.5446015, 114.1560628 22.5444747, 114.1560453 22.5443857, 114.1560519 22.5443504, 114.156119 22.5443405, 114.156182 22.5443474, 114.1562316 22.5443529, 114.1564864 22.5444594, 114.1566313 22.5444792, 114.1567493 22.5444693, 114.1568372 22.5444055, 114.156862 22.5443875, 114.1568807 22.5443553)",,,,,
7444965961,4786969338,0,623701026,False,,residential,True,65.332,"LINESTRING (114.1558468 22.5451727, 114.1556086 22.545256, 114.1552441 22.5453599)",,,,,
7509086411,7509086424,0,802751455,False,2,tertiary,False,692.951,"LINESTRING (114.1486059 22.5403132, 114.1487439 22.5404387, 114.1490118 22.540737, 114.1493291 22.5410924, 114.1493967 22.5411573, 114.1497984 22.5415427, 114.1499125 22.5416606, 114.1499966 22.5417593, 114.1500902 22.5418774, 114.1501585 22.5419776, 114.1502094 22.5420573, 114.1502537 22.5421414, 114.1503362 22.5423002, 114.1505141 22.5426376, 114.1506107 22.5428208, 114.1508911 22.5433745, 114.1510465 22.5436814, 114.1514801 22.5444936, 114.1516969 22.544921, 114.1517104 22.544948, 114.1519543 22.5454375, 114.1519911 22.5455045, 114.152003 22.5455241, 114.1520146 22.5455366, 114.1520402 22.5455642, 114.1520764 22.5455919)",,蓮麻坑路 Lin Ma Hang Road,,,
7509086424,6566015434,0,"[784508834, 538324203, 690882243]",True,"['1', '2']",motorway_link,False,338.93299999999994,"LINESTRING (114.1520764 22.5455919, 114.152213 22.5463659, 114.1522725 22.5467397, 114.1523234 22.5470007, 114.1523488 22.5471959, 114.1523518 22.5473414, 114.1523416 22.5474775, 114.1522959 22.547746, 114.1521919 22.548269, 114.1521549 22.5484406, 114.1521074 22.5485984)",yes,香園圍公路 Heung Yuen Wai Highway,80,no,
7509086424,7509086411,0,802751455,False,2,tertiary,True,692.951,"LINESTRING (114.1520764 22.5455919, 114.1520402 22.5455642, 114.1520146 22.5455366, 114.152003 22.5455241, 114.1519911 22.5455045, 114.1519543 22.5454375, 114.1517104 22.544948, 114.1516969 22.544921, 114.1514801 22.5444936, 114.1510465 22.5436814, 114.1508911 22.5433745, 114.1506107 22.5428208, 114.1505141 22.5426376, 114.1503362 22.5423002, 114.1502537 22.5421414, 114.1502094 22.5420573, 114.1501585 22.5419776, 114.1500902 22.5418774, 114.1499966 22.5417593, 114.1499125 22.5416606, 114.1497984 22.5415427, 114.1493967 22.5411573, 114.1493291 22.5410924, 114.1490118 22.540737, 114.1487439 22.5404387, 114.1486059 22.5403132)",,蓮麻坑路 Lin Ma Hang Road,,,
7509086424,7328910162,0,"[784508836, 784508837, 844514359]",False,2,tertiary,False,80.991,"LINESTRING (114.1520764 22.5455919, 114.1521109 22.5456156, 114.1521896 22.545649, 114.1523194 22.5456887, 114.1524535 22.5457298, 114.1525767 22.5457782, 114.1527061 22.5458569, 114.1527215 22.5458664, 114.1527705 22.5459172)",,蓮麻坑路 Lin Ma Hang Road,,,
7846382914,5210763647,0,840886610,True,2,motorway_link,False,28.127,"LINESTRING (114.1521492 22.5488622, 114.1522519 22.5486277)",yes,香園圍公路 Heung Yuen Wai Highway,80,no,
