u,v,key,osmid,name,highway,oneway,reversed,length,geometry,lanes,junction,bridge
637864319,637864250,0,147463788,新豐路 San Fung Avenue,tertiary,False,True,49.36,"LINESTRING (114.1270129 22.5062091, 114.1270696 22.5066499)",,,
637864325,637864223,0,50177992,新成路 San Shing Avenue,unclassified,True,False,134.96,"LINESTRING (114.1293818 22.5045922, 114.1293417 22.5046313, 114.1287128 22.5052445, 114.1285253 22.5054256, 114.128477 22.5054722)",,,
637864325,7380474734,0,157734987,符興街 Fu Hing Street,unclassified,True,False,82.866,"LINESTRING (114.1293818 22.5045922, 114.1293542 22.504552, 114.1293277 22.5045294, 114.1291408 22.50437, 114.1288521 22.5041195, 114.1288052 22.5040732)",,,
637864327,637864216,0,50177992,新成路 San Shing Avenue,unclassified,True,False,58.247,"LINESTRING (114.1301494 22.5038585, 114.1301164 22.5038868, 114.1300896 22.5039107, 114.1300397 22.5039541, 114.129806 22.5041732, 114.1297476 22.504228)",,,
637864327,637864413,0,759964888,龍琛路 Lung Sum Avenue,secondary,True,False,56.568,"LINESTRING (114.1301494 22.5038585, 114.1304526 22.5041303, 114.1305479 22.5042095)",2,,
637864340,637882097,0,759964888,龍琛路 Lung Sum Avenue,secondary,True,False,28.168,"LINESTRING (114.129572 22.503345, 114.1297733 22.503517)",2,,
637864360,6028023398,0,"[50177994, 539664786]",馬會道 Jockey Club Road,primary,True,False,539.7520000000001,"LINESTRING (114.1269355 22.5076187, 114.1271714 22.5075165, 114.1273594 22.5074497, 114.1274688 22.5074111, 114.1276419 22.5073329, 114.1277749 22.5072586, 114.1279036 22.507173, 114.1280178 22.5070826, 114.1281156 22.5069891, 114.1281896 22.5069147, 114.1282645 22.5068245, 114.1283455 22.5067155, 114.1286431 22.5062704, 114.1287969 22.5060625, 114.1288997 22.505955, 114.1290599 22.5057937, 114.1299041 22.5049698, 114.1304936 22.5043943, 114.1305104 22.5043779, 114.1306244 22.5042734)",2,,
637864360,637864816,0,668664450,寶石湖路 Po Shek Wu Road,primary,True,False,16.625,"LINESTRING (114.1269355 22.5076187, 114.1269355 22.5075588, 114.1269214 22.5075217, 114.1268887 22.5074815)",,roundabout,
637864413,6028023398,0,639785880,龍琛路 Lung Sum Avenue,secondary,True,False,10.595,"LINESTRING (114.1305479 22.5042095, 114.1306244 22.5042734)",2,,
637864413,637864416,0,147463744,馬會道 Jockey Club Road,primary,True,False,112.727,"LINESTRING (114.1305479 22.5042095, 114.1304374 22.5043159, 114.1299426 22.5048002, 114.129797 22.5049487)",2,,
637864416,637864419,0,147463744,馬會道 Jockey Club Road,primary,True,False,162.351,"LINESTRING (114.129797 22.5049487, 114.1297022 22.5050438, 114.129431 22.505327, 114.1291392 22.505611, 114.1290181 22.5057338, 114.1287813 22.5059788, 114.1287355 22.5060301)",2,,
637864416,637864325,0,157734987,符興街 Fu Hing Street,unclassified,True,False,58.242999999999995,"LINESTRING (114.129797 22.5049487, 114.1297746 22.5049327, 114.1295626 22.5047496, 114.1294791 22.5046775, 114.1294345 22.5046385, 114.1293818 22.5045922)",,,
637864419,637864263,0,147463744,馬會道 Jockey Club Road,primary,True,False,163.72299999999998,"LINESTRING (114.1287355 22.5060301, 114.1285823 22.5062147, 114.1284982 22.5063308, 114.1283925 22.5064998, 114.1282733 22.5066802, 114.1281992 22.5067842, 114.128137 22.5068513, 114.1280404 22.5069538, 114.1279167 22.5070692, 114.1277577 22.5071773)",2,,
