u,v,key,osmid,oneway,name,highway,reversed,length,geometry,lanes,tunnel
2532185305,5187499064,0,"[1080294612, 246141484]",False,竹香一路,residential,True,226.308,"LINESTRING (114.0059456 22.5449361, 114.0067633 22.5449435, 114.006832 22.5449675, 114.0069079 22.5450206, 114.0069833 22.5450698, 114.0070495 22.5451059, 114.0071783 22.5451167, 114.0080964 22.5451474)",,
2532185308,4182043134,0,246141470,False,,living_street,False,84.164,"LINESTRING (114.0116527 22.5457483, 114.0114224 22.5464747)",,
2532185335,7510707047,0,246141476,False,,residential,False,57.797,"LINESTRING (114.0008014 22.5469241, 114.0007328 22.54744)",,
2532185335,2528997197,0,633620723,True,,secondary,False,70.804,"LINESTRING (114.0008014 22.5469241, 114.0005129 22.546893, 114.0004333 22.5468844, 114.0001166 22.5468502)",,
2532185343,7987093241,0,246141479,False,,living_street,False,12.942,"LINESTRING (114.0108626 22.5452068, 114.0109065 22.5450977)",,
2532185343,2532185266,0,246141484,False,竹香一路,residential,False,66.868,"LINESTRING (114.0108626 22.5452068, 114.0102117 22.5451912)",,
2532185343,9906911297,0,246141484,False,竹香一路,residential,True,45.274,"LINESTRING (114.0108626 22.5452068, 114.0109962 22.5452229, 114.0111216 22.545243, 114.0112908 22.5452965)",,
4182043131,4182043133,0,417707143,False,,living_street,True,77.844,"LINESTRING (114.0114167 22.5457334, 114.0112718 22.5459663, 114.0111002 22.5463676)",,
4182043133,4182043136,0,417707143,False,,living_street,True,35.977,"LINESTRING (114.0111002 22.5463676, 114.01095 22.5466599)",,
4182043133,4182043134,0,417707145,False,,living_street,False,35.167,"LINESTRING (114.0111002 22.5463676, 114.0114224 22.5464747)",,
4182043133,4182043131,0,417707143,False,,living_street,False,77.844,"LINESTRING (114.0111002 22.5463676, 114.0112718 22.5459663, 114.0114167 22.5457334)",,
4182043134,2532185308,0,246141470,False,,living_street,True,84.164,"LINESTRING (114.0114224 22.5464747, 114.0116527 22.5457483)",,
4182043134,4182043133,0,417707145,False,,living_street,True,35.167,"LINESTRING (114.0114224 22.5464747, 114.0111002 22.5463676)",,
4182043134,2532185256,0,246141470,False,,living_street,False,138.772,"LINESTRING (114.0114224 22.5464747, 114.0112778 22.5469307, 114.0111142 22.547166, 114.0109607 22.5476384)",,
4182043134,2532185283,0,417707145,False,,living_street,False,106.467,"LINESTRING (114.0114224 22.5464747, 114.0119531 22.5465955, 114.012275 22.5466748, 114.0123534 22.5465492)",,
4182043136,4182043133,0,417707143,False,,living_street,False,35.977,"LINESTRING (114.01095 22.5466599, 114.0111002 22.5463676)",,
5187498614,5187499064,0,728214522,False,建业六街,residential,False,101.47,"LINESTRING (114.0084013 22.5442794, 114.0080964 22.5451474)",,
5187498614,2528818970,0,246141467,False,竹香二路,residential,True,165.88,"LINESTRING (114.0084013 22.5442794, 114.0098486 22.5442957, 114.0100164 22.5442976)",,
5187498614,6824083306,0,728214522,False,建业六街,residential,True,266.73900000000003,"LINESTRING (114.0084013 22.5442794, 114.0086409 22.5435972, 114.0092027 22.5419976)",,
5187498614,2528818954,0,"[1080294609, 1080294610, 1080294605]",False,"['竹香二路', '建业街']",residential,"[False, True]",648.7719999999999,"LINESTRING (114.0084013 22.5442794, 114.0079047 22.5442199, 114.0071935 22.5441789, 114.0062777 22.5441498, 114.0062103 22.5441454, 114.0061503 22.544133, 114.0060973 22.544086, 114.0056751 22.5435241, 114.0064761 22.5429649, 114.0074486 22.5423495, 114.0082654 22.5417233)",,
5187499064,2532185266,0,246141484,False,竹香一路,residential,True,217.29,"LINESTRING (114.0080964 22.5451474, 114.0102117 22.5451912)",,
5187499064,5187498614,0,728214522,False,建业六街,residential,True,101.47,"LINESTRING (114.0080964 22.5451474, 114.0084013 22.5442794)",,
5187499064,2532185305,0,"[1080294612, 246141484]",False,竹香一路,residential,False,226.308,"LINESTRING (114.0080964 22.5451474, 114.0071783 22.5451167, 114.0070495 22.5451059, 114.0069833 22.5450698, 114.0069079 22.5450206, 114.006832 22.5449675, 114.0067633 22.5449435, 114.0059456 22.5449361)",,
5198341346,5198341348,0,536682524,False,,living_street,False,179.616,"LINESTRING (114.0019264 22.548668, 114.0020834 22.5470592)",,
5198341346,9907679306,0,1081152924,False,,residential,False,209.628,"LINESTRING (114.0019264 22.548668, 114.0039675 22.5486926)",,
5198341348,5198341346,0,536682524,False,,living_street,True,179.616,"LINESTRING (114.0020834 22.5470592, 114.0019264 22.548668)",,
5198341348,2532185335,0,633620723,True,,secondary,False,132.51,"LINESTRING (114.0020834 22.5470592, 114.0008014 22.5469241)",,
5269756013,8986992871,0,996657790,True,农林路,secondary,False,18.998,"LINESTRING (114.0068237 22.5493598, 114.0066623 22.5494433)",,
5269756013,2528997176,0,996657791,True,侨香路,primary,False,53.918000000000006,"LINESTRING (114.0068237 22.5493598, 114.0069346 22.5494852, 114.0071275 22.5497546)",,
5981068144,2528997044,0,633620711,True,侨香路,primary,False,99.318,"LINESTRING (114.0053555 22.5479377, 114.0060342 22.548574)",,
5981068147,2528997027,0,633620714,True,,secondary,False,111.70000000000002,"LINESTRING (114.0051064 22.5474191, 114.0052394 22.5475195, 114.005749 22.5479554, 114.0059065 22.548099)",,
5981068147,5981068144,0,633620737,True,,primary_link,False,63.283,"LINESTRING (114.0051064 22.5474191, 114.0051444 22.5474835, 114.0051699 22.547538, 114.005257 22.5477634, 114.005293 22.5478416, 114.0053555 22.5479377)",,
6562269867,6562282571,0,698827749,False,,living_street,True,25.464,"LINESTRING (114.0119229 22.5413085, 114.0118473 22.5415266)",,
6562269867,6562269870,0,698827751,False,建业二街,residential,False,44.482,"LINESTRING (114.0119229 22.5413085, 114.0115115 22.5411834)",,
6562269867,2528818901,0,698827751,False,建业二街,residential,True,21.333,"LINESTRING (114.0119229 22.5413085, 114.0121202 22.5413685)",,
6562269869,2528818863,0,245746016,False,红荔西路,secondary,False,44.105,"LINESTRING (114.0110743 22.5425455, 114.0114837 22.5426653)",,
6562269869,2528818944,0,245746016,False,红荔西路,secondary,True,45.626,"LINESTRING (114.0110743 22.5425455, 114.0106508 22.5424215)",,
6562269869,6562282578,0,698827750,False,,living_street,False,38.499,"LINESTRING (114.0110743 22.5425455, 114.011169 22.5422105)",,
6562269870,6562282572,0,698827750,False,,living_street,True,25.871,"LINESTRING (114.0115115 22.5411834, 114.0114368 22.5414056)",,
6562269870,2528818921,0,698827751,False,建业二街,residential,False,44.783,"LINESTRING (114.0115115 22.5411834, 114.0110973 22.5410575)",,
6562269870,6562269867,0,698827751,False,建业二街,residential,True,44.482,"LINESTRING (114.0115115 22.5411834, 114.0119229 22.5413085)",,
6562269870,6562282559,0,698827755,False,,living_street,False,90.683,"LINESTRING (114.0115115 22.5411834, 114.0116853 22.5406286, 114.0114391 22.5405584)",,
6562269871,2528818954,0,245746025,False,建业街,residential,True,188.052,"LINESTRING (114.0096511 22.5406178, 114.0082654 22.5417233)",,
6562269871,6562269875,0,698827751,False,建业二街,residential,True,83.803,"LINESTRING (114.0096511 22.5406178, 114.0104262 22.5408534)",,
6562269871,9929041529,0,1083453776,False,紫众道,residential,True,133.207,"LINESTRING (114.0096511 22.5406178, 114.0085308 22.5400141)",,yes
6562269871,6562269880,0,1080294604,False,建业街,residential,False,87.315,"LINESTRING (114.0096511 22.5406178, 114.0102491 22.5401625, 114.0103071 22.5401183)",,
6562269874,6562282568,0,698827748,False,,living_street,True,24.923,"LINESTRING (114.0124694 22.5414747, 114.0123952 22.5416881)",,
6562269874,2528818901,0,698827751,False,建业二街,residential,False,37.757,"LINESTRING (114.0124694 22.5414747, 114.0121202 22.5413685)",,
6562269874,7988360992,0,698827751,False,建业二街,residential,True,22.615,"LINESTRING (114.0124694 22.5414747, 114.0126786 22.5415382)",,
6562269875,2528818956,0,245746031,False,建业一街,residential,True,159.324,"LINESTRING (114.0104262 22.5408534, 114.0100015 22.5422315)",,
6562269875,6562269871,0,698827751,False,建业二街,residential,False,83.803,"LINESTRING (114.0104262 22.5408534, 114.0096511 22.5406178)",,
